date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,GBPJPY,GBPCAD,EURAUD,EURNZD,AUDCAD,NZDCAD,AUDNZD,empty,sum
2020.02.10,2.000000000002,36.999999999998145,13.999999999980695,-2.0000000000131024,-40.00000000000669,11.999999999989797,42.999999999993044,13.999999999995794,-17.000000000000348,-33.000000000005244,80.0000000000125,-89.00000000000574,-76.99999999999375,82.99999999998863,-85.00000000000173,17.999999999995797,-54.0000000000207,,-94.00000000009089
2020.02.10,4.999999999999449,11.999999999989797,10.999999999983245,25.999999999992696,-63.99999999999739,24.999999999997247,55.99999999998939,24.999999999991473,-32.0000000000098,-69.00000000000794,81.00000000001728,-92.00000000000318,-93.99999999999409,103.99999999999298,-125.00000000000844,61.999999999995396,-64.0000000000196,,-133.00000000009152
2020.02.10,-70.99999999999883,12.999999999996348,30.999999999981043,65.00000000000395,-68.99999999999685,11.999999999989797,-31.000000000003247,15.000000000000568,-79.00000000000685,-139.00000000000023,49.000000000006594,-133.00000000000534,-58.99999999998684,-53.00000000001415,-153.00000000000313,75.00000000000284,-139.00000000000023,,-666.0000000000346
2020.02.10,14.000000000002899,32.0000000000098,66.99999999999484,90.99999999999665,-29.000000000001247,-52.000000000007596,24.999999999986144,18.999999999991246,-3.0000000000085514,-43.999999999999595,-44.999999999987494,-182.99999999999983,98.0000000000203,-270.00000000001467,-118.00000000000699,4.999999999999449,-175.00000000001404,,-568.0000000000388
2020.02.10,13.00000000000745,66.99999999999484,86.99999999999264,28.999999999990145,-100.00000000000009,-20.0000000000089,5.999999999994898,78.00000000000296,-34.000000000000696,-114.00000000000298,70.0000000000216,-151.00000000001222,-46.999999999997044,-212.00000000001216,-174.00000000000747,9.999999999998899,-235.00000000000742,,-727.0000000000456
2020.02.10,31.000000000003247,69.00000000000794,101.99999999997988,31.000000000003247,-124.00000000000189,41.9999999999976,12.999999999996348,78.00000000000296,-21.00000000000435,-123.00000000000644,42.00000000000159,-158.99999999999804,-83.9999999999952,-70.99999999999883,-207.00000000000162,95.00000000000064,-170.00000000000347,,-456.0000000000164
2020.02.10,-3.999999999992898,56.99999999999594,91.99999999998099,62.000000000006494,-112.000000000001,-64.0000000000085,-19.999999999997797,61.99999999999761,-26.000000000003798,-131.99999999999878,61.00000000000705,-177.00000000000495,-70.99999999999883,-334.00000000001205,-211.00000000000563,-53.00000000000304,-323.0000000000066,,-1193.000000000046
2020.02.10,-57.99999999999139,69.9999999999923,79.99999999999119,48.000000000003595,-217.0000000000005,50.99999999998994,-63.99999999999739,108.99999999999466,-79.00000000000685,-273.000000000001,209.00000000000318,-178.00000000001148,-340.9999999999913,-18.0000000000069,-338.00000000000495,117.00000000000044,-304.00000000001535,,-1186.0000000000518
2020.02.10,-107.99999999999699,119.00000000000244,95.00000000000064,-66.99999999999484,-331.0000000000035,97.9999999999981,-136.00000000000279,99.99999999999432,-181.00000000000892,-419.9999999999982,325.00000000001705,-93.00000000000975,-595.9999999999966,79.99999999999119,-409.99999999999926,107.99999999999699,-399.00000000001603,,-1816.0000000000264
2020.02.10,-95.99999999999609,137.00000000000932,109.99999999998789,-103.99999999999298,-351.0000000000013,108.99999999999244,-137.9999999999937,115.99999999999966,-193.00000000000983,-431.99999999999903,347.0000000000084,-73.00000000001194,-618.9999999999918,80.99999999999774,-417.0000000000007,99.00000000000463,-425.0000000000087,,-1849.0000000000061
