date,CADJPY,AUDNZD,empty,sum
2016.09.12,100.00000000000853,-5.000000000010552,,94.99999999999798
2016.09.12,61.99999999999761,-83.00000000001084,,-21.00000000001323
2016.09.12,-9.999999999990905,-109.00000000000354,,-118.99999999999444
2016.09.12,-137.99999999999102,-22.0000000000109,,-160.00000000000193
2016.09.12,-91.99999999999875,-107.00000000001265,,-199.0000000000114
2016.09.12,-21.99999999999136,-136.00000000000279,,-157.99999999999415
2016.09.12,23.000000000010346,-136.00000000000279,,-112.99999999999244
2016.09.12,9.000000000000341,-231.0000000000034,,-222.00000000000307
2016.09.12,-88.99999999999864,-231.0000000000034,,-320.00000000000205
2016.09.12,-174.99999999999716,-209.00000000001472,,-384.0000000000119
2016.09.12,-81.00000000000307,-113.00000000000753,,-194.0000000000106
2016.09.12,-54.99999999999261,-138.0000000000159,,-193.0000000000085
2016.09.12,-79.9999999999983,-56.000000000011596,,-136.0000000000099
2016.09.12,-79.9999999999983,-82.00000000000429,,-162.0000000000026
2016.09.12,-93.00000000000352,-36.999999999998145,,-130.00000000000168
2016.09.12,-66.0000000000025,-48.000000000003595,,-114.0000000000061
2016.09.12,-76.99999999999818,-131.00000000001444,,-208.00000000001262
2016.09.12,-104.99999999998977,-138.0000000000159,,-243.00000000000566
2016.09.12,-81.00000000000307,-148.00000000001478,,-229.00000000001785
2016.09.12,-137.99999999999102,28.999999999990145,,-109.00000000000088
2016.09.12,-219.99999999999886,1.999999999990898,,-218.00000000000796
2016.09.12,-390.00000000000057,-161.00000000001114,,-551.0000000000117
2016.09.12,-536.0000000000014,-167.00000000000603,,-703.0000000000074
2016.09.12,-610.99999999999,-95.00000000000064,,-705.9999999999907
2016.09.12,-603.9999999999992,-207.00000000000162,,-811.0000000000008
2016.09.12,-658.0000000000013,-214.00000000000307,,-872.0000000000043
2016.09.12,-715.0000000000034,-134.99999999999625,,-849.9999999999997
2016.09.12,-712.9999999999939,-194.0000000000053,,-906.9999999999991
2016.09.12,-882.9999999999956,-202.9999999999976,,-1085.9999999999932
2016.09.12,-857.9999999999899,-173.00000000000094,,-1030.999999999991
2016.09.12,-849.0000000000038,-126.0000000000039,,-975.0000000000076
2016.09.12,-896.9999999999914,-21.00000000000435,,-917.9999999999957
2016.09.12,-814.9999999999977,-140.0000000000068,,-955.0000000000045
2016.09.12,-679.9999999999926,-119.00000000000244,,-798.999999999995
2016.09.12,-597.999999999999,-200.00000000000017,,-797.9999999999991
2016.09.12,-609.9999999999994,-192.99999999999872,,-802.9999999999982
2016.09.12,-530.9999999999917,-139.00000000000023,,-669.9999999999919
2016.09.12,-564.9999999999977,-188.00000000001037,,-753.0000000000081
2016.09.12,-596.0000000000036,-172.0000000000166,,-768.0000000000202
2016.09.12,-601.9999999999897,-78.00000000000028,,-679.99999999999
2016.09.12,-698.9999999999981,-95.00000000000064,,-793.9999999999987
2016.09.12,-676.0000000000019,-85.00000000000173,,-761.0000000000036
2016.09.12,-558.9999999999975,-102.00000000000209,,-660.9999999999995
2016.09.12,-463.99999999999864,-120.00000000000898,,-584.0000000000076
2016.09.12,-512.0000000000005,-103.00000000000864,,-615.0000000000091
2016.09.12,-504.99999999999545,-101.00000000001774,,-606.0000000000132
2016.09.12,-466.99999999999875,-104.99999999999955,,-571.9999999999983
2016.09.12,-453.00000000000296,-97.00000000001374,,-550.0000000000167
2016.09.13,-481.9999999999993,-116.00000000000499,,-598.0000000000043
2016.09.13,-399.0000000000009,-80.99999999999774,,-479.99999999999864
2016.09.13,-423.9999999999924,-80.99999999999774,,-504.9999999999901
2016.09.13,-442.99999999999784,-189.00000000001694,,-632.0000000000148
2016.09.13,-436.9999999999976,-181.00000000000892,,-618.0000000000066
2016.09.13,-478.9999999999992,-160.00000000000458,,-639.0000000000038
2016.09.13,-608.9999999999947,-252.0000000000078,,-861.0000000000025
2016.09.13,-712.9999999999939,-224.000000000002,,-936.9999999999959
2016.09.13,-692.9999999999978,-178.00000000001148,,-871.0000000000093
2016.09.13,-725.9999999999991,-107.99999999999699,,-833.9999999999961
2016.09.13,-734.9999999999994,-141.00000000001333,,-876.0000000000127
2016.09.13,-631.9999999999908,-191.00000000000784,,-822.9999999999986
2016.09.13,-613.9999999999901,-233.00000000001654,,-847.0000000000066
2016.09.13,-590.999999999994,-219.00000000001364,,-810.0000000000076
2016.09.13,-424.99999999999716,-238.0000000000049,,-663.000000000002
2016.09.13,-432.00000000000216,-234.00000000000088,,-666.0000000000031
2016.09.13,-441.0000000000025,-255.00000000000523,,-696.0000000000077
2016.09.13,-506.9999999999908,-299.00000000000483,,-805.9999999999957
2016.09.13,-536.0000000000014,-256.99999999999613,,-792.9999999999975
2016.09.13,-679.000000000002,-141.00000000001333,,-820.0000000000153
