date,CADJPY,AUDNZD,empty,sum
2016.09.12,0.0,-113.00000000000753,,-113.00000000000753
2016.09.12,55.00000000000682,-117.00000000001154,,-62.00000000000472
2016.09.12,-15.000000000000568,-118.00000000001809,,-133.00000000001864
2016.09.12,-218.00000000000352,-131.99999999999878,,-350.0000000000023
2016.09.12,-158.00000000000125,-124.00000000001299,,-282.0000000000142
2016.09.12,-161.99999999999193,-163.00000000000205,,-324.999999999994
2016.09.12,-51.00000000000193,-178.00000000001148,,-229.00000000001342
2016.09.12,-49.99999999999716,-249.00000000001032,,-299.0000000000075
2016.09.12,-122.99999999999045,-270.00000000001467,,-393.0000000000051
2016.09.12,-182.99999999999272,-309.0000000000037,,-491.9999999999964
2016.09.12,-207.9999999999984,-221.00000000000452,,-429.00000000000296
2016.09.12,-93.00000000000352,-168.99999999999693,,-262.00000000000045
2016.09.12,-105.99999999999454,-139.00000000000023,,-244.99999999999477
2016.09.12,-114.99999999999488,-113.00000000000753,,-228.00000000000242
2016.09.12,-167.0000000000016,-124.00000000001299,,-291.00000000001455
2016.09.12,-109.99999999999943,-95.00000000000064,,-205.00000000000006
2016.09.12,-107.99999999998988,-139.00000000000023,,-246.9999999999901
2016.09.12,-104.99999999998977,-164.00000000000858,,-268.99999999999835
2016.09.12,-125.0,-207.00000000000162,,-332.0000000000016
2016.09.12,-147.99999999999613,-160.00000000000458,,-308.0000000000007
2016.09.12,-322.00000000000273,-107.99999999999699,,-429.9999999999997
2016.09.12,-400.99999999999625,-167.00000000000603,,-568.0000000000023
2016.09.12,-563.999999999993,-179.00000000001802,,-743.0000000000109
2016.09.12,-634.0000000000003,-204.00000000000418,,-838.0000000000045
2016.09.12,-640.9999999999911,-211.00000000000563,,-851.9999999999968
2016.09.12,-724.0000000000038,-263.99999999999756,,-988.0000000000014
2016.09.12,-733.9999999999947,-212.99999999999653,,-946.9999999999911
2016.09.12,-763.9999999999958,-243.99999999999977,,-1007.9999999999956
2016.09.12,-884.0000000000003,-224.000000000002,,-1108.0000000000023
2016.09.12,-914.999999999992,-207.00000000000162,,-1121.9999999999936
2016.09.12,-891.9999999999959,-207.00000000000162,,-1098.9999999999975
2016.09.12,-917.0000000000016,-154.0000000000097,,-1071.0000000000114
2016.09.12,-902.9999999999916,-141.99999999999767,,-1044.9999999999893
2016.09.12,-826.9999999999982,-184.00000000000637,,-1011.0000000000045
2016.09.12,-709.9999999999937,-212.99999999999653,,-922.9999999999902
2016.09.12,-713.9999999999986,-222.00000000001108,,-936.0000000000098
2016.09.12,-628.9999999999907,-200.00000000000017,,-828.9999999999909
2016.09.12,-578.9999999999935,-209.9999999999991,,-788.9999999999926
2016.09.12,-637.0000000000005,-208.00000000000819,,-845.0000000000086
2016.09.12,-616.9999999999902,-173.00000000000094,,-789.9999999999911
2016.09.12,-837.0000000000033,-165.9999999999995,,-1003.0000000000027
