,names,week,needed_features,accuracy
0,USDCHF,20,"['AUDNZD', 'AUDCHF']",80.0
1,GBPUSD,10,['EURCAD'],100.0
2,USDJPY,20,"['GBPAUD', 'GBPUSD', 'EURCAD']",100.0
3,USDCAD,10,['EURUSD'],100.0
4,AUDUSD,15,['AUDJPY'],100.0
5,GBPCHF,10,"['EURUSD', 'NZDJPY']",80.0
6,EURCHF,15,"['AUDCAD', 'NZDJPY']",100.0
7,CHFJPY,10,"['EURUSD', 'NZDJPY']",80.0
8,NZDCHF,10,"['USDCAD', 'CADJPY']",80.0
9,EURGBP,10,"['EURCAD', 'EURAUD', 'GBPAUD']",100.0
10,GBPJPY,20,"['EURUSD', 'NZDJPY', 'EURCAD', 'CADCHF']",100.0
11,GBPCAD,10,"['EURCAD', 'CADCHF', 'EURAUD']",80.0
12,GBPAUD,10,"['EURCAD', 'EURAUD', 'GBPAUD']",100.0
13,EURJPY,50,"['EURCAD', 'EURGBP', 'CADCHF']",80.0
14,EURAUD,10,"['EURCAD', 'EURGBP', 'GBPCAD']",80.0
15,EURNZD,10,"['EURCAD', 'GBPAUD', 'EURGBP', 'GBPCAD']",80.0
16,CADJPY,20,"['EURUSD', 'AUDJPY']",80.0
17,NZDJPY,10,"['NZDJPY', 'AUDCAD', 'EURCHF']",80.0
18,AUDCAD,15,"['EURAUD', 'EURCAD', 'GBPAUD']",80.0
19,NZDCAD,30,"['EURNZD', 'AUDUSD', 'NZDUSD', 'NZDJPY', 'USDCAD', 'NZDCHF', 'EURGBP']",100.0
20,AUDNZD,10,"['USDCAD', 'CADJPY']",80.0
