date,AUDUSD,NZDUSD,GBPCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURAUD,EURNZD,AUDNZD,empty,sum
2017.01.23,-68.00000000000139,-130.99999999999224,-38.0000000000047,-180.99999999999784,-39.999999999995595,-104.00000000001342,-36.999999999998145,-113.00000000000753,-184.99999999999073,-18.999999999991246,,-915.9999999999928
2017.01.23,-95.00000000000064,-122.99999999999534,102.99999999998644,-160.00000000000458,-56.0000000000005,-102.00000000000387,92.00000000000318,18.0000000000069,-65.00000000000395,80.99999999999774,,-307.00000000001467
2017.01.23,-130.0000000000079,-280.9999999999979,127.99999999999478,-284.0000000000065,-92.99999999999864,-549.0000000000066,39.00000000001125,36.999999999998145,-282.0000000000045,-41.000000000002146,,-1456.00000000002
2017.01.23,-192.00000000000327,-286.99999999999284,136.99999999998712,-291.0000000000079,-85.99999999999719,-627.0000000000095,-4.000000000004,-15.999999999993797,-265.0000000000041,-26.999999999999247,,-1658.000000000025
2017.01.23,-193.00000000000983,-283.99999999999534,147.99999999999258,-289.0000000000059,-103.99999999999298,-623.9999999999952,-14.999999999987246,-22.999999999995246,-245.0000000000063,-14.999999999987246,,-1643.999999999983
2017.01.23,-182.99999999999983,-290.9999999999968,123.99999999999079,-274.00000000000756,-161.00000000000003,-610.0000000000136,-34.99999999998504,89.99999999999008,-200.00000000000017,-12.999999999996348,,-1553.0000000000186
2017.01.23,-109.00000000000354,-254.99999999999412,91.99999999998099,-226.00000000000398,-191.99999999999218,-633.0000000000098,-41.99999999998649,289.0000000000059,-43.999999999999595,-113.99999999999189,,-1233.9999999999948
2017.01.23,-167.00000000000603,-378.999999999996,104.99999999999955,-273.000000000001,-195.9999999999962,-599.9999999999943,-75.99999999998718,374.0000000000077,-86.0000000000083,-167.00000000000603,,-1464.9999999999877
2017.01.23,-223.00000000000654,-467.9999999999906,161.99999999999548,-297.9999999999983,-158.99999999999804,-610.0000000000136,99.00000000000463,346.0000000000019,-188.00000000001037,-187.00000000000384,,-1526.0000000000198
2017.01.23,-241.00000000000233,-441.99999999999795,231.99999999998778,-292.9999999999988,-84.99999999999064,-512.0000000000005,141.99999999999767,296.9999999999917,-163.00000000000205,-190.00000000000128,,-1255.0000000000164
2017.01.23,-258.0000000000027,-500.9999999999959,253.99999999999866,-297.00000000000284,-74.99999999999174,-427.99999999999727,253.99999999999866,333.9999999999899,-198.99999999999363,-224.000000000002,,-1139.9999999999989
2017.01.23,-226.99999999999943,-467.9999999999906,306.9999999999906,-290.00000000000136,-29.999999999996696,-372.0000000000141,313.00000000000773,394.00000000000546,-167.9999999999904,-205.99999999999508,,-746.9999999999837
2017.01.23,-181.00000000000892,-451.9999999999969,253.99999999999866,-292.9999999999988,-46.999999999997044,-403.99999999999636,310.0000000000103,408.9999999999927,-192.99999999999872,-261.9999999999845,,-858.9999999999795
2017.01.23,-186.00000000000838,-431.99999999999903,229.99999999999687,-248.00000000000378,-61.999999999995396,-421.99999999999704,292.00000000000335,414.00000000000324,-102.00000000000209,-194.0000000000053,,-710.0000000000075
2017.01.23,-132.0000000000099,-345.99999999999073,173.99999999998528,-202.9999999999976,-95.99999999999609,-457.9999999999984,212.00000000001216,439.99999999999596,-25.999999999992696,-177.00000000000495,,-611.999999999997
2017.01.23,-192.00000000000327,-428.9999999999905,208.99999999999253,-212.00000000000108,-64.99999999999284,-687.0000000000118,253.99999999999866,424.00000000000216,-79.00000000000685,-190.99999999998562,,-967.9999999999984
2017.01.23,-232.00000000000998,-520.9999999999936,178.99999999999582,-263.99999999999756,-71.99999999999429,-743.9999999999998,270.99999999999903,428.00000000000614,-212.99999999999653,-262.999999999991,,-1430.9999999999818
2017.01.23,-247.00000000000833,-551.9999999999969,286.99999999999284,-322.00000000000006,-19.999999999997797,-759.9999999999909,256.00000000001177,340.00000000000693,-304.9999999999997,-292.00000000000335,,-1614.9999999999857
2017.01.23,-249.00000000001032,-590.999999999997,336.9999999999873,-348.9999999999993,23.00000000000635,-638.0000000000052,297.0000000000139,336.00000000000296,-373.00000000000114,-384.00000000000654,,-1591.000000000009
2017.01.23,-173.00000000000094,-522.9999999999957,513.9999999999923,-295.0000000000008,141.00000000000225,-328.00000000000296,470.00000000001484,468.00000000000176,-266.999999999995,-333.9999999999899,,-326.9999999999741
2017.01.23,-123.00000000000644,-441.99999999999795,465.99999999998863,-261.0000000000001,76.0000000000094,-397.99999999999613,414.00000000000324,537.9999999999941,-106.99999999999044,-302.9999999999866,,-139.99999999998244
2017.01.23,-43.00000000000415,-343.9999999999999,510.99999999999477,-243.00000000000432,93.00000000000975,-328.00000000000296,378.999999999996,560.9999999999893,-5.000000000010552,-261.9999999999845,,318.99999999998346
2017.01.23,-82.99999999999974,-333.9999999999899,513.9999999999923,-258.9999999999981,85.00000000000173,-344.99999999999886,395.99999999999636,422.9999999999956,-80.99999999999774,-217.99999999998488,,98.00000000001677
2017.01.23,-79.00000000000685,-318.99999999999153,589.9999999999794,-240.00000000000688,237.00000000000944,-157.99999999998704,531.0000000000148,404.9999999999887,-83.9999999999952,-168.99999999999693,,714.0000000000078
2017.01.23,-72.0000000000054,-312.9999999999966,585.9999999999976,-136.99999999999824,245.0000000000063,-118.99999999999977,565.0000000000155,530.9999999999926,28.999999999990145,-180.99999999998673,,1134.0000000000152
2017.01.23,-96.00000000000719,-314.99999999999864,462.9999999999912,-113.00000000000753,199.00000000000472,-219.99999999999886,592.9999999999991,531.9999999999991,79.99999999999119,-212.99999999999653,,909.9999999999764
