date,GBPUSD,EURUSD,USDJPY,EURCHF,AUDCHF,GBPAUD,EURJPY,EURCAD,EURAUD,AUDNZD,empty,sum
2018.02.26,-139.9999999999846,-41.000000000002146,40.99999999999682,66.00000000001049,-37.00000000000925,-87.99999999999919,-115.0000000000091,55.000000000005045,-45.99999999999049,-8.999999999992347,,-313.99999999997476
2018.02.26,-197.99999999998707,-49.00000000001015,36.99999999999193,119.00000000000244,-82.00000000000429,-191.00000000000784,-115.0000000000091,38.0000000000047,-64.99999999998174,-100.99999999999554,,-606.9999999999967
2018.02.26,-158.99999999999804,-19.00000000001345,96.9999999999942,97.9999999999981,-28.000000000005798,-123.00000000000644,-155.00000000000114,100.0000000000112,-22.999999999995246,-180.0000000000024,,-392.000000000019
2018.02.26,-191.99999999999218,-46.0000000000127,15.000000000000568,154.0000000000097,-53.00000000000304,-83.9999999999952,-87.99999999999386,119.00000000000244,13.000000000018552,-180.99999999998673,,-342.9999999999524
2018.02.26,-225.99999999999287,-100.99999999999554,70.99999999999795,45.000000000006146,47.9999999999925,18.999999999991246,-212.99999999999386,129.00000000000134,74.0000000000185,-64.99999999998174,,-218.99999999995634
2018.02.26,-148.99999999999915,-32.0000000000098,215.0000000000034,32.0000000000098,118.99999999999133,178.99999999999582,-318.9999999999884,273.0000000000121,215.00000000000963,-30.999999999981043,,502.00000000004377
2018.02.26,-165.9999999999995,-49.00000000001015,278.0000000000058,59.000000000009045,41.9999999999976,29.999999999996696,-414.0000000000157,200.00000000000017,84.0000000000174,-11.999999999989797,,52.00000000001157
2018.02.26,-63.99999999999739,45.99999999999049,426.00000000000193,-14.000000000002899,69.9999999999923,-21.00000000000435,-495.00000000000455,214.00000000000307,45.000000000006146,1.0000000000065512,,207.9999999999913
2018.02.26,107.00000000001265,174.99999999999181,539.0000000000015,-8.999999999992347,0.999999999995449,-146.00000000000168,-491.9999999999902,248.00000000000378,-92.99999999998754,39.00000000001125,,369.0000000000445
2018.02.26,148.00000000001478,221.00000000000452,594.9999999999989,8.999999999992347,-37.00000000000925,-234.00000000000088,-514.00000000001,269.00000000000813,-156.99999999998494,31.000000000003247,,331.0000000000169
2018.02.26,157.00000000000713,207.99999999998596,539.0000000000015,18.0000000000069,-45.000000000006146,-204.99999999998852,-461.00000000001273,217.0000000000005,-155.99999999997837,79.00000000000685,,351.0000000000231
2018.02.26,101.00000000001774,171.99999999999437,516.0000000000053,26.999999999999247,-52.000000000007596,-215.00000000000963,-471.00000000000364,180.0000000000024,-152.99999999998093,68.00000000000139,,173.00000000001864
2018.02.26,114.0000000000141,167.9999999999904,489.0000000000043,45.000000000006146,-37.00000000000925,-136.00000000000279,-443.00000000001205,205.00000000001074,-101.99999999997988,112.000000000001,,415.00000000002274
2018.02.26,145.00000000001734,191.99999999999218,468.0000000000035,56.000000000011596,-79.00000000000685,-211.00000000000563,-390.99999999999113,206.00000000001728,-171.99999999999437,117.00000000001154,,331.0000000000556
2018.02.26,214.00000000000307,234.99999999998522,423.9999999999924,49.99999999999449,-82.99999999999974,-208.99999999999253,-289.99999999999204,215.00000000000963,-190.99999999998562,119.00000000000244,,484.0000000000174
2018.02.26,311.0000000000168,348.9999999999993,575.0000000000028,69.9999999999923,-131.00000000000333,-333.0000000000055,-353.00000000000864,270.00000000001467,-264.9999999999819,86.0000000000083,,579.0000000000349
2018.02.26,320.00000000000915,329.00000000000153,569.9999999999932,36.999999999998145,-111.00000000000554,-296.0000000000074,-368.9999999999998,253.99999999999866,-267.99999999997937,52.000000000007596,,518.0000000000163
2018.02.26,376.00000000002075,371.99999999999454,596.0000000000036,34.000000000000696,-82.99999999999974,-229.99999999999687,-356.9999999999993,327.00000000001063,-218.99999999999142,52.000000000007596,,868.0000000000506
2018.02.26,316.0000000000052,268.9999999999859,679.9999999999926,-19.999999999997797,-186.00000000000838,-479.99999999999153,-569.9999999999932,208.00000000000819,-503.99999999999335,53.00000000001415,,-233.9999999999783
