date,USDCHF,GBPUSD,EURUSD,USDCAD,NZDUSD,GBPCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,GBPCAD,GBPAUD,EURCAD,EURAUD,EURNZD,NZDJPY,NZDCAD,AUDNZD,empty,sum
2018.05.28,-58.99999999999794,41.000000000002146,4.999999999988347,-38.99999999998904,-114.99999999999844,-15.999999999993797,34.99999999999659,53.00000000000304,-82.99999999999974,-180.0000000000024,74.0000000000185,66.99999999999484,5.999999999994898,-4.000000000004,79.00000000000685,-153.0000000000058,-123.00000000000644,60.99999999999994,,-350.99999999999244
2018.05.28,-123.00000000000644,34.000000000000696,55.99999999998939,39.999999999995595,-172.00000000000549,-116.00000000000499,0.0,52.000000000007596,-104.00000000000409,-234.99999999999633,-8.999999999992347,123.99999999999079,-153.00000000000313,-38.99999999998904,75.00000000000284,-225.00000000000853,-253.0000000000032,34.000000000000696,,-1014.0000000000261
2018.05.28,-145.00000000000622,83.9999999999952,-22.0000000000109,72.0000000000054,-153.99999999999858,-85.00000000000173,46.999999999997044,57.00000000000705,-97.00000000000264,-236.00000000000287,-5.999999999994898,70.99999999999883,-80.99999999999774,-9.999999999998899,35.00000000000725,-109.99999999999943,-245.0000000000063,35.999999999991594,,-789.000000000018
2018.05.28,-194.0000000000053,24.000000000001798,64.99999999998174,90.00000000001229,-146.00000000000168,-211.99999999998997,126.00000000000477,88.00000000001029,-140.0000000000068,-263.99999999999756,-100.99999999999554,-14.000000000002899,-212.99999999999653,-137.9999999999937,187.00000000000384,-88.99999999999864,-242.00000000000887,46.999999999997044,,-1125.9999999999857
2018.05.28,-177.00000000000495,32.999999999994145,64.99999999998174,110.00000000001009,-119.00000000000244,-194.99999999998963,131.00000000000023,73.00000000000084,-136.00000000000279,-234.00000000000088,-118.99999999998023,12.999999999996348,-245.0000000000063,-116.99999999998934,266.0000000000107,-37.9999999999967,-223.00000000000654,112.000000000001,,-799.9999999999847
2018.05.28,-141.00000000000225,42.999999999993044,63.99999999999739,136.00000000000279,-109.00000000000354,-129.99999999998568,88.00000000000807,28.000000000005798,-85.00000000000173,-197.00000000000273,-140.99999999999113,-34.000000000000696,-270.99999999999903,-168.99999999999693,292.00000000000335,-25.99999999999625,-228.00000000000597,95.00000000000064,,-784.999999999975
2018.05.28,-143.9999999999997,-56.99999999999594,187.99999999998818,106.00000000000608,-197.00000000000273,-238.0000000000049,40.00000000000625,50.0000000000056,-156.00000000000057,-287.0000000000039,-228.99999999999034,-12.000000000012001,-395.99999999999636,-194.0000000000053,251.00000000000122,-159.9999999999966,-322.00000000000006,48.000000000003595,,-1708.9999999999975
2018.05.28,-131.00000000000333,0.0,152.99999999998093,241.00000000000233,-157.00000000000713,-163.00000000000205,213.00000000000807,-39.999999999995595,-58.99999999999794,-236.00000000000287,-335.9999999999808,-131.00000000001444,-507.9999999999973,-324.9999999999975,307.99999999999716,16.999999999995907,-361.0000000000002,-5.000000000010552,,-1520.0000000000252
2018.05.28,-85.00000000000173,-38.99999999998904,266.999999999995,235.00000000000742,-277.000000000005,-140.0000000000068,164.00000000000148,-71.99999999999429,-141.99999999999767,-326.0000000000041,-378.999999999996,98.99999999998244,-648.0000000000041,-229.99999999999687,167.9999999999904,-115.99999999999966,-515.0000000000099,-25.00000000000835,,-2061.000000000037
2018.05.28,-87.00000000000374,-56.99999999999594,231.99999999998778,232.99999999999432,-382.00000000000455,-160.00000000000458,269.00000000000546,-69.9999999999923,-155.00000000000514,-429.99999999999704,-400.9999999999847,96.99999999999153,-604.9999999999889,-163.00000000000205,-127.00000000001043,-158.00000000000125,-648.0000000000041,-170.00000000000347,,-2782.000000000019
