date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,NZDUSD,GBPCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,GBPCAD,GBPAUD,EURCAD,EURNZD,NZDJPY,NZDCAD,AUDNZD,empty,sum
2018.05.28,-131.99999999999878,-78.00000000000028,-32.0000000000098,-158.00000000000125,-49.99999999999449,-134.0000000000008,-153.00000000000313,-123.99999999999523,-93.99999999999409,-104.99999999999955,-195.00000000000074,-115.00000000002063,-50.0000000000167,-120.00000000000898,-52.99999999999194,-162.9999999999967,-157.00000000000713,-4.000000000004,,-1917.0000000000443
2018.05.28,-219.00000000000253,11.00000000000545,-16.000000000016,9.000000000000341,-38.99999999998904,-173.9999999999964,-202.9999999999976,-126.00000000000477,18.0000000000069,-163.99999999999747,-290.00000000000136,-115.00000000002063,7.0000000000014495,-181.00000000000892,66.00000000001049,-231.00000000000875,-258.0000000000027,8.999999999992347,,-1896.0000000000296
2018.05.28,-199.00000000000472,-11.00000000000545,-70.0000000000145,-114.00000000000432,15.999999999993797,-190.99999999999673,-180.99999999998673,-48.99999999999238,23.00000000000635,-150.00000000000568,-273.9999999999965,-32.0000000000098,-56.000000000011596,-160.99999999998892,-72.99999999998974,-230.00000000000398,-294.00000000000534,-21.999999999988695,,-2068.000000000005
2018.05.28,-228.00000000000597,21.00000000000435,-22.0000000000109,-100.00000000000853,56.000000000011596,-173.00000000000094,-228.99999999999034,16.000000000005343,58.000000000002494,-182.00000000000438,-294.00000000000534,-19.00000000001345,-18.0000000000069,-225.99999999999287,22.0000000000109,-177.0000000000067,-266.0000000000107,11.999999999989797,,-1749.0000000000327
2018.05.28,-204.00000000000418,11.00000000000545,40.99999999997994,-118.99999999999977,83.9999999999952,-151.9999999999966,-229.99999999999687,88.99999999999864,59.000000000009045,-145.00000000000622,-270.99999999999903,70.99999999999883,-39.00000000001125,-265.0000000000041,175.99999999999838,-88.99999999999864,-251.00000000000122,34.000000000000696,,-1200.0000000000316
2018.05.28,-180.99999999999784,19.999999999997797,18.999999999991246,-120.00000000000455,99.00000000000463,-129.00000000000134,-194.99999999998963,52.99999999999727,28.000000000005798,-138.00000000000477,-234.99999999999633,105.99999999998388,-59.000000000009045,-270.99999999999903,207.00000000000162,-79.00000000000773,-247.00000000000833,66.00000000001049,,-1056.0000000000261
2018.05.28,-170.99999999999892,-69.00000000000794,17.000000000000348,-126.00000000000477,99.00000000000463,-207.99999999999707,-256.99999999999613,-24.999999999991473,21.00000000000435,-177.00000000000495,-302.9999999999977,101.99999999997988,-42.0000000000087,-405.0000000000109,150.99999999999002,-186.9999999999976,-336.00000000000296,32.999999999994145,,-1883.0000000000462
2018.05.28,-175.00000000000293,-83.9999999999952,134.99999999999625,-265.00000000000057,103.99999999999298,-219.99999999999798,-282.0000000000045,33.00000000000125,-40.99999999999105,-177.00000000000495,-300.0000000000003,183.99999999998417,-137.00000000000932,-524.9999999999977,215.99999999999397,-174.99999999999716,-384.00000000000654,-11.00000000000545,,-2104.000000000045
2018.05.28,-139.00000000000023,-53.999999999998494,130.99999999999224,-305.0000000000068,197.00000000000273,-292.9999999999988,-165.9999999999995,125.0,-101.99999999999099,-146.99999999999713,-346.9999999999973,290.9999999999968,-219.99999999999798,-689.9999999999907,133.00000000000534,-135.00000000000512,-535.0000000000077,-62.99999999999084,,-2318.9999999999845
2018.05.28,-95.00000000000064,-92.00000000000318,231.99999999998778,-415.00000000000625,198.99999999999363,-387.000000000004,-188.9999999999947,114.00000000000432,-98.99999999999353,-163.99999999999747,-434.000000000001,362.99999999998,-6.000000000017103,-679.9999999999917,-130.99999999999224,-221.00000000000364,-650.0000000000061,-185.99999999999727,,-2841.0000000000427
2018.05.28,-135.00000000000733,-87.99999999999919,166.99999999998383,-356.00000000000875,202.9999999999976,-387.99999999999943,-217.0000000000005,246.9999999999999,-73.99999999999629,-219.00000000000253,-448.000000000004,352.9999999999811,70.99999999999883,-619.9999999999983,-165.9999999999995,-180.00000000000682,-665.9999999999999,-170.00000000000347,,-2686.000000000065
2018.05.28,-131.00000000000333,-70.99999999999883,198.99999999999363,-362.000000000009,248.00000000000378,-387.000000000004,-218.99999999999142,222.99999999999898,-94.99999999998954,-218.00000000000708,-453.0000000000034,400.00000000000034,17.999999999984695,-679.0000000000074,-140.0000000000068,-174.99999999999716,-670.000000000004,-171.99999999999437,,-2684.000000000035
2018.05.28,-136.00000000000279,-114.99999999999844,241.99999999998667,-328.00000000000296,208.99999999999253,-353.99999999999875,-251.99999999998556,207.00000000000784,-79.99999999999119,-185.00000000000182,-429.99999999999704,417.99999999998505,-9.000000000014552,-720.0000000000095,-41.000000000002146,-198.99999999999807,-646.0000000000022,-171.00000000001003,,-2590.000000000043
