names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
GBPUSD,10,"['NZDCHF', 'CADCHF', 'GBPJPY']",100.0,-0.82,B
EURUSD,20,"['EURCHF', 'NZDCHF']",80.0,-0.6038412698412702,B
USDCAD,15,"['AUDCHF', 'USDCAD', 'GBPCHF', 'CADCHF', 'NZDCHF', 'NZDJPY']",100.0,0.98,S
AUDUSD,10,"['GBPCAD', 'EURGBP']",100.0,-1.0,B
NZDUSD,10,['EURCHF'],80.0,-1.0,B
GBPCHF,10,"['GBPCHF', 'GBPCAD', 'EURNZD', 'GBPJPY']",80.0,-0.94,B
EURCHF,30,"['AUDCHF', 'EURNZD']",80.0,0.25713185017596785,S
CHFJPY,30,"['NZDJPY', 'GBPJPY']",80.0,-0.3653682830757134,B
CADCHF,10,"['AUDJPY', 'USDJPY', 'GBPCHF']",100.0,-0.18,B
AUDCHF,50,"['GBPCHF', 'GBPCAD', 'EURNZD', 'GBPJPY', 'EURGBP', 'NZDCAD']",100.0,0.13849999999999998,S
NZDCHF,10,"['AUDJPY', 'AUDNZD', 'USDJPY']",80.0,-0.04866666666666666,B
EURGBP,20,"['GBPJPY', 'GBPCAD', 'CADJPY', 'CADCHF']",100.0,0.452,S
GBPJPY,10,"['NZDCAD', 'AUDJPY']",100.0,0.9075238095238095,S
GBPCAD,10,"['GBPJPY', 'USDJPY', 'NZDCHF', 'CADJPY', 'AUDJPY']",100.0,0.74,S
EURJPY,30,"['NZDJPY', 'GBPJPY']",100.0,-0.4244342576927716,B
EURCAD,30,['EURNZD'],80.0,0.25597053620912813,S
EURAUD,30,"['EURNZD', 'GBPCAD', 'GBPCHF', 'NZDCAD', 'GBPJPY']",100.0,-0.62,B
EURNZD,10,"['AUDCHF', 'USDCAD', 'GBPCHF', 'CADCHF', 'NZDCHF']",100.0,1.0,S
CADJPY,10,['NZDCAD'],100.0,0.84,S
AUDJPY,10,['EURCAD'],100.0,-0.43073015873015874,B
NZDJPY,15,"['AUDUSD', 'NZDUSD']",80.0,-0.01224314574314573,B
AUDCAD,30,"['EURCHF', 'GBPUSD']",100.0,-0.4009347351994411,B
NZDCAD,15,['NZDUSD'],80.0,0.3809992784992786,S
