date,GBPUSD,AUDUSD,GBPCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,AUDNZD,empty,sum
2016.11.21,34.000000000000696,29.999999999996696,90.99999999999665,-9.999999999998899,-21.999999999999797,-1093.0000000000177,171.99999999999437,-84.99999999997954,,-883.0000000000075
2016.11.21,66.00000000001049,-24.000000000001798,126.0000000000039,-98.0000000000092,-9.999999999998899,-1183.9999999999975,192.99999999999872,-118.99999999998023,,-1049.9999999999745
2016.11.21,-206.99999999997942,127.99999999999478,-76.0000000000094,-42.0000000000087,-164.99999999999292,-1278.9999999999964,-131.99999999999878,-156.00000000000057,,-1928.9999999999914
2016.11.21,-200.00000000000017,56.99999999999594,-39.999999999995595,-126.99999999999933,-159.9999999999935,-1453.000000000003,-87.00000000001484,-178.99999999999582,,-2189.000000000006
2016.11.21,65.00000000000395,-29.999999999996696,2.999999999997449,-164.00000000000858,-166.99999999999494,-1325.000000000017,11.999999999989797,-289.9999999999903,,-1896.0000000000164
2016.11.21,67.00000000001705,-26.999999999999247,56.99999999999594,-207.00000000000162,-95.00000000000064,-1181.0000000000116,-91.00000000001884,-319.999999999987,,-1797.000000000006
2016.11.21,103.00000000000864,-65.00000000000395,68.00000000000139,-214.99999999999852,-127.99999999999478,-1263.0000000000052,-78.00000000000028,-293.99999999999426,,-1871.999999999987
2016.11.21,29.00000000001235,-7.9999999999968985,-51.000000000001044,-114.99999999999844,-190.99999999999673,-1362.9999999999995,-236.00000000001398,-242.99999999999324,,-2177.9999999999877
2016.11.21,-2.999999999997449,7.0000000000014495,-107.99999999999699,-37.00000000000925,-241.00000000000233,-1370.0000000000045,-299.00000000000483,-187.99999999998818,,-2239.0000000000023
2016.11.21,-24.999999999986144,43.999999999999595,-96.99999999999153,-11.00000000000545,-239.99999999999577,-1234.0000000000089,-265.0000000000041,-176.99999999998272,,-2004.999999999975
2016.11.21,-46.999999999997044,83.9999999999952,-58.000000000002494,-109.99999999999899,-204.99999999999963,-1169.0000000000111,-153.00000000000313,-325.99999999998187,,-1983.999999999999
2016.11.21,-29.999999999996696,119.99999999999788,5.999999999994898,-124.00000000000189,-153.99999999999858,-1062.0000000000118,-181.00000000000892,-362.99999999998,,-1788.000000000005
2016.11.21,-24.999999999986144,83.9999999999952,21.999999999988695,-137.00000000000932,-129.9999999999968,-1105.9999999999945,-261.0000000000001,-318.9999999999804,,-1871.9999999999836
2016.11.21,-32.999999999994145,56.99999999999594,-12.999999999996348,-141.00000000000225,-153.00000000000313,-1116.0000000000139,-250.00000000001688,-306.9999999999906,,-1956.0000000000211
2016.11.21,-23.999999999979593,21.999999999999797,-19.999999999997797,-150.00000000000568,-168.99999999999693,-1048.0000000000018,-246.99999999999721,-283.99999999999534,,-1919.9999999999745
2016.11.21,-30.999999999981043,51.000000000001044,-32.0000000000098,-182.00000000000438,-202.9999999999976,-1064.9999999999977,-297.9999999999983,-380.9999999999869,,-2140.9999999999745
2016.11.21,-79.99999999999119,17.000000000000348,-79.99999999999119,-148.0000000000037,-231.99999999999886,-1171.999999999997,-429.00000000001273,-274.9999999999808,,-2398.9999999999754
2016.11.21,-81.9999999999821,-29.999999999996696,-120.99999999999334,-146.00000000000168,-285.9999999999974,-1176.0000000000161,-448.000000000004,-242.99999999999324,,-2531.9999999999845
2016.11.21,200.00000000000017,-143.9999999999997,63.99999999999739,-203.00000000000873,-224.9999999999974,-968.9999999999941,-259.0000000000092,-248.99999999998812,,-1784.9999999999995
2016.11.21,65.00000000000395,-173.9999999999964,-82.00000000000429,-238.0000000000049,-375.9999999999986,-1193.000000000012,-399.00000000001603,-257.99999999998045,,-2655.0000000000086
2016.11.21,9.000000000014552,-251.00000000000122,-235.99999999999176,-214.00000000000307,-466.9999999999952,-1361.9999999999948,-651.0000000000016,-200.00000000000017,,-3371.9999999999736
2016.11.21,-50.99999999997884,-244.99999999999523,-279.99999999999136,-242.00000000000887,-559.9999999999939,-1620.0000000000045,-660.0000000000161,-234.99999999998522,,-3892.9999999999745
2016.11.21,-231.99999999998778,-229.99999999999687,-273.0000000000121,-291.0000000000079,-603.9999999999934,-1786.0000000000014,-643.0000000000158,-173.99999999998528,,-4233.000000000001
2016.11.21,-85.99999999998609,-170.00000000000347,-97.9999999999981,-234.00000000000088,-490.00000000000153,-1496.0000000000093,-355.0000000000164,-152.99999999998093,,-3081.9999999999964
2016.11.21,-101.99999999997988,-161.00000000000003,-52.000000000007596,-245.0000000000063,-432.9999999999945,-1462.9999999999939,-428.00000000000614,-129.99999999998568,,-3013.9999999999736
2016.11.21,-89.99999999999008,-227.99999999999488,-164.99999999999292,-202.0000000000022,-487.99999999999955,-1599.000000000018,-429.99999999999704,-70.99999999999883,,-3272.999999999993
2016.11.21,41.000000000002146,-268.99999999999704,56.99999999999594,-314.0000000000032,-329.999999999997,-1450.9999999999934,-192.00000000001438,-108.99999999998133,,-2566.9999999999886
2016.11.21,409.99999999999926,-370.9999999999991,337.99999999999386,-346.0000000000019,-151.00000000000114,-1259.0000000000146,129.00000000000134,-82.99999999998863,,-1333.000000000011
2016.11.21,559.0000000000206,-348.9999999999993,540.0000000000072,-465.0000000000043,-53.999999999998494,-956.0000000000173,312.00000000000114,-244.9999999999841,,-657.9999999999746
2016.11.21,552.0000000000191,-409.99999999999926,469.99999999999267,-494.00000000000557,-53.00000000000304,-1019.0000000000055,278.00000000000045,-250.99999999997902,,-926.9999999999802
2016.11.21,1102.000000000003,-402.9999999999978,909.9999999999886,-426.00000000000415,282.0000000000045,-174.0000000000066,1049.9999999999955,-272.99999999998994,,2067.999999999993
2016.11.21,1333.0000000000064,-468.9999999999972,1184.0000000000073,-689.0000000000063,431.99999999999903,3.9999999999906777,975.9999999999991,-523.9999999999911,,2247.000000000008
2016.11.21,1225.0000000000093,-358.0000000000028,1090.9999999999975,-595.0000000000011,472.00000000000574,36.000000000001364,669.9999999999928,-524.9999999999977,,2016.000000000005
2016.11.21,1356.0000000000016,-316.0000000000052,1334.9999999999973,-668.0000000000019,590.0000000000016,360.99999999999,905.9999999999845,-605.9999999999955,,2957.9999999999727
2016.11.21,1514.0000000000152,-441.99999999999795,1363.0000000000032,-704.0000000000047,656.000000000001,207.9999999999984,914.9999999999991,-585.9999999999976,,2924.000000000017
2016.11.21,1306.000000000007,-360.0000000000048,1227.0000000000002,-704.0000000000047,551.9999999999969,198.99999999998386,581.9999999999936,-634.9999999999856,,2166.9999999999873
2016.11.21,1255.0000000000061,-321.0000000000046,1336.9999999999882,-753.9999999999991,577.0000000000052,185.00000000000227,672.9999999999902,-638.9999999999895,,2312.9999999999995
2016.11.21,1299.0000000000057,-258.0000000000027,1490.999999999998,-719.000000000003,751.9999999999972,450.9999999999934,1014.9999999999882,-579.9999999999806,,3450.999999999996
2016.11.21,1421.0000000000057,-338.00000000000495,1503.9999999999943,-718.0000000000075,746.0000000000023,390.99999999999113,1052.9999999999927,-556.0000000000009,,3502.9999999999727
2016.11.21,1351.0000000000132,-277.000000000005,1473.9999999999975,-707.000000000002,712.9999999999969,465.0000000000034,914.9999999999991,-592.9999999999991,,3341.0000000000036
2016.11.21,1221.0000000000055,-168.99999999999693,1435.9999999999927,-595.0000000000011,741.0000000000027,597.0000000000084,914.9999999999991,-526.9999999999886,,3619.0000000000214
2016.11.21,1190.0000000000023,-205.99999999999508,1344.9999999999961,-565.9999999999999,644.0000000000001,438.99999999999295,927.9999999999955,-480.99999999999807,,3292.9999999999936
2016.11.21,1214.0000000000039,-190.99999999999673,1343.9999999999895,-547.0000000000086,655.0000000000056,480.99999999999454,963.999999999987,-495.000000000001,,3424.9999999999745
2016.11.21,1439.0000000000125,-270.0000000000036,1486.9999999999939,-547.0000000000086,736.9999999999987,597.9999999999848,1088.9999999999845,-442.9999999999934,,4089.999999999968
2016.11.21,1480.0000000000146,-317.0000000000006,1483.9999999999964,-602.0000000000025,702.9999999999981,626.9999999999811,1072.9999999999907,-493.99999999999443,,3953.9999999999827
2016.11.21,1509.0000000000048,-344.99999999999534,1421.0000000000057,-595.0000000000011,663.999999999998,570.999999999998,1038.99999999999,-526.9999999999886,,3737.0000000000114
2016.11.21,1457.0000000000193,-348.00000000000387,1358.999999999999,-590.0000000000016,624.0000000000023,308.9999999999975,1034.0000000000016,-526.9999999999886,,3318.000000000026
2016.11.21,1457.0000000000193,-375.0000000000031,1309.0000000000045,-581.0000000000093,706.0000000000066,216.99999999998454,1027.9999999999845,-611.9999999999903,,3148.999999999997
2016.11.22,1514.0000000000152,-419.9999999999982,1336.9999999999882,-634.0000000000013,656.000000000001,73.0000000000075,1098.9999999999834,-580.999999999987,,3044.000000000009
2016.11.22,1493.000000000011,-378.00000000000057,1218.9999999999923,-639.0000000000007,597.9999999999985,207.9999999999984,1021.9999999999895,-652.9999999999925,,2869.9999999999964
2016.11.22,1447.0000000000205,-422.00000000000017,1306.000000000007,-707.000000000002,619.0000000000028,131.00000000000023,970.9999999999885,-606.9999999999798,,2738.0000000000373
2016.11.22,1490.0000000000136,-465.9999999999998,1244.0000000000007,-704.0000000000047,560.0000000000049,63.99999999999295,969.999999999982,-623.9999999999801,,2534.00000000001
2016.11.22,1618.0000000000084,-543.0000000000045,1292.0000000000043,-661.0000000000005,558.9999999999984,-128.00000000001432,1073.9999999999973,-523.9999999999911,,2686.999999999998
2016.11.22,1605.000000000012,-517.0000000000008,1364.0000000000095,-652.0000000000082,629.9999999999973,8.99999999998613,1039.9999999999966,-475.99999999998755,,3003.000000000005
2016.11.22,1631.0000000000048,-605.0,1349.0000000000002,-719.9999999999984,614.9999999999989,49.000000000006594,1014.9999999999882,-484.9999999999799,,2849.00000000002
2016.11.22,1567.0000000000073,-616.0000000000055,1374.999999999993,-761.0000000000006,626.0000000000043,97.00000000000841,996.9999999999812,-450.9999999999792,,2834.0000000000086
2016.11.22,1563.0000000000032,-629.9999999999973,1418.0000000000082,-775.0000000000034,660.000000000005,131.00000000000023,1090.9999999999975,-413.99999999998107,,3044.000000000032
2016.11.22,1546.000000000003,-561.9999999999958,1435.9999999999927,-778.0000000000009,665.0000000000044,353.999999999985,971.9999999999951,-483.99999999999557,,3148.999999999988
2016.11.22,1520.0000000000102,-636.0000000000032,1410.0000000000002,-808.0000000000088,648.9999999999995,274.0000000000009,891.9999999999817,-418.9999999999916,,2881.999999999989
2016.11.22,1478.0000000000016,-673.9999999999968,1363.0000000000032,-797.9999999999987,595.0000000000011,110.99999999999,868.000000000002,-360.9999999999891,,2582.0000000000136
2016.11.22,1490.0000000000136,-658.9999999999985,1401.999999999992,-758.9999999999985,602.0000000000025,205.99999999998886,927.9999999999955,-300.99999999999574,,2908.9999999999995
2016.11.22,1489.000000000007,-687.9999999999998,1424.000000000003,-828.0000000000065,629.9999999999973,235.99999999999,892.9999999999883,-344.99999999999534,,2810.9999999999836
2016.11.22,1486.0000000000095,-680.0000000000028,1459.9999999999945,-809.9999999999997,641.0000000000027,259.9999999999909,895.9999999999857,-296.9999999999917,,2955.999999999989
