date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURJPY,EURCAD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2018.02.05,-26.000000000003798,-56.000000000011596,-54.0000000000207,-117.999999999995,-69.00000000000794,-51.99999999999649,-48.000000000003595,-87.99999999999386,-95.00000000000064,-56.0000000000005,-68.00000000000139,-57.00000000000705,-68.9999999999884,-198.99999999999363,-111.99999999999477,-68.00000000000139,-49.99999999999449,-77.99999999998875,-54.000000000002046,-73.99999999999807,-151.9999999999966,0.0,-21.00000000000435,,-1664.000000000005
2018.02.05,-41.9999999999976,-6.000000000017103,-55.000000000005045,-117.999999999995,58.000000000002494,-19.00000000000235,-15.00000000000945,-6.999999999990791,-36.999999999998145,-3.0000000000085514,-47.00000000000814,-54.00000000000959,-1.0000000000047748,-161.99999999999548,14.999999999986358,32.0000000000098,-113.00000000000753,-33.999999999991815,-37.9999999999967,-57.00000000000216,-112.99999999999643,80.00000000000229,-4.999999999988347,,-741.0000000000241
2018.02.05,-46.999999999997044,59.99999999999339,-99.00000000000463,-105.99999999999454,-52.000000000007596,41.000000000002146,24.000000000001798,-115.99999999999966,-68.99999999999685,52.99999999999194,2.999999999997449,-124.00000000000189,-355.99999999999454,-153.00000000000313,-194.00000000001683,-40.99999999997994,-309.99999999998806,-151.9999999999868,-299.99999999999716,-236.0000000000042,-59.99999999999339,-17.000000000000348,-83.9999999999952,,-2334.999999999975
2018.02.05,83.9999999999952,-116.00000000000499,62.99999999999084,64.00000000000716,-49.99999999999449,36.0000000000027,12.999999999996348,4.0000000000048885,-87.99999999999919,167.9999999999904,100.99999999999554,-137.00000000000932,-276.9999999999868,-153.9999999999875,-74.00000000001228,92.00000000000318,-411.99999999999017,-118.99999999999977,-265.99999999999113,-230.00000000000398,14.000000000002899,-51.99999999999649,-8.999999999992347,,-1344.999999999979
2018.02.05,51.99999999999649,-147.00000000000824,56.99999999999594,2.0000000000095497,-93.99999999999409,-12.999999999996348,29.999999999996696,-42.999999999992156,-98.99999999999353,122.99999999999534,34.000000000000696,-92.00000000000318,-276.00000000001046,-184.00000000000637,-133.00000000000978,100.0000000000112,-341.99999999999784,-167.99999999999216,-221.00000000000364,-222.0000000000084,-21.999999999999797,-7.0000000000014495,-36.999999999998145,,-1702.0000000000095
2018.02.05,129.00000000000134,-214.00000000000307,144.99999999999514,192.00000000000728,-204.00000000000418,-151.9999999999966,29.999999999996696,-143.99999999999125,-32.999999999994145,39.00000000000014,-20.0000000000089,-74.00000000000739,-330.99999999998886,-143.99999999998857,-262.00000000000045,31.000000000003247,-212.99999999999653,-175.99999999998772,-266.9999999999959,-256.0000000000002,-73.99999999999629,24.999999999997247,-24.000000000001798,,-1996.9999999999607
2018.02.05,85.00000000000173,-212.00000000001216,98.99999999998244,243.0000000000092,-202.9999999999976,-146.00000000000168,18.0000000000069,-196.99999999998852,-18.999999999991246,35.999999999991594,-20.0000000000089,-118.00000000000699,-504.99999999999545,-60.99999999999994,-319.9999999999932,19.00000000001345,-333.9999999999899,-218.9999999999941,-256.9999999999908,-328.00000000000296,-78.99999999999574,-12.999999999996348,12.000000000012001,,-2518.9999999999486
2018.02.05,92.99999999999864,-148.00000000001478,139.00000000000023,200.00000000000284,-235.99999999999176,-192.99999999999872,-22.999999999995246,-140.00000000000057,31.000000000003247,-46.00000000000159,-63.00000000000195,-113.00000000000753,-358.0000000000041,28.000000000005798,-200.9999999999934,-4.999999999988347,-147.00000000000824,-120.99999999999511,-159.9999999999966,-203.00000000000296,-116.99999999998934,36.0000000000027,49.00000000001015,,-1697.9999999999663
2018.02.05,75.00000000000284,-120.00000000000898,93.99999999999409,157.0000000000107,-221.00000000000452,-192.99999999999872,-1.0000000000065512,-123.99999999999523,26.000000000003798,-39.00000000000014,-42.0000000000087,-133.00000000000534,-372.0000000000141,38.0000000000047,-210.00000000000796,-12.999999999996348,-350.00000000000585,-119.99999999999034,-110.99999999999,-237.99999999999955,-122.99999999999534,-82.00000000000429,131.99999999999878,,-1970.000000000017
2018.02.05,112.000000000001,-201.00000000000674,168.99999999999693,210.00000000000796,-251.00000000000122,-168.99999999999693,-1.999999999990898,-114.99999999999488,9.00000000000345,-19.00000000000235,39.00000000000014,-112.000000000001,-346.00000000000364,5.000000000010552,-176.00000000001614,-12.999999999996348,-385.99999999999744,-99.99999999999432,-129.99999999999545,-278.0000000000058,-76.99999999999375,-87.99999999999919,123.00000000000644,,-1795.9999999999695
2018.02.05,173.00000000000094,-248.00000000000378,240.9999999999801,211.00000000001273,-270.99999999999903,-204.99999999999963,-12.999999999996348,-42.00000000000159,-18.999999999991246,32.999999999994145,27.999999999994696,-124.00000000000189,-274.0000000000009,-24.000000000001798,-103.00000000000864,68.00000000000139,-287.9999999999994,-81.99999999999363,-126.99999999999534,-210.99999999999852,-103.99999999999298,-9.999999999998899,95.00000000000064,,-1295.9999999999989
2018.02.05,138.00000000000477,-243.00000000001543,195.9999999999962,210.00000000000796,-242.99999999999324,-209.00000000000364,22.999999999995246,-19.99999999999602,-13.999999999991797,0.0,19.999999999997797,-101.00000000000664,-216.00000000000819,-52.000000000007596,-87.00000000001751,40.0000000000178,-225.99999999999287,-61.99999999999761,-30.9999999999917,-164.00000000000148,-127.99999999999478,11.00000000000545,137.9999999999937,,-1019.9999999999995
