,names,week,needed_features,accuracy
0,GBPUSD,10,"['CHFJPY', 'AUDJPY']",100.0
1,EURUSD,10,['USDCHF'],100.0
2,USDCAD,30,"['EURGBP', 'EURCAD', 'CHFJPY', 'EURAUD']",100.0
3,AUDUSD,10,['USDCHF'],100.0
4,NZDUSD,10,['AUDNZD'],80.0
5,GBPCHF,10,"['CHFJPY', 'GBPJPY', 'AUDJPY', 'NZDJPY', 'NZDUSD']",80.0
6,CHFJPY,10,['AUDNZD'],80.0
7,EURGBP,15,"['GBPJPY', 'EURUSD', 'NZDUSD', 'CHFJPY']",80.0
8,GBPJPY,30,"['AUDNZD', 'USDJPY', 'EURGBP']",100.0
9,GBPCAD,15,"['AUDNZD', 'AUDJPY']",100.0
10,GBPAUD,15,"['AUDJPY', 'CHFJPY']",100.0
11,EURJPY,10,['USDCHF'],100.0
12,CADJPY,10,"['EURCHF', 'EURCAD']",100.0
13,NZDJPY,10,"['AUDCHF', 'GBPCAD']",80.0
14,AUDCAD,10,['USDCHF'],100.0
15,NZDCAD,10,"['AUDCHF', 'GBPAUD', 'EURAUD', 'USDJPY', 'CADCHF']",100.0
16,AUDNZD,10,"['USDJPY', 'NZDCHF', 'EURAUD']",80.0
