date,CHFJPY,empty,sum
2020.11.16,-118.99999999999977,,-118.99999999999977
2020.11.16,-54.000000000002046,,-54.000000000002046
2020.11.16,6.000000000000227,,6.000000000000227
2020.11.16,105.99999999999454,,105.99999999999454
2020.11.16,54.99999999999261,,54.99999999999261
2020.11.16,107.99999999998988,,107.99999999998988
2020.11.16,70.99999999999795,,70.99999999999795
2020.11.16,54.99999999999261,,54.99999999999261
2020.11.16,-2.0000000000095497,,-2.0000000000095497
2020.11.16,-17.000000000010118,,-17.000000000010118
2020.11.16,-23.000000000010346,,-23.000000000010346
2020.11.16,-23.000000000010346,,-23.000000000010346
2020.11.16,-8.000000000009777,,-8.000000000009777
2020.11.16,6.999999999990791,,6.999999999990791
2020.11.16,24.999999999991473,,24.999999999991473
2020.11.16,0.999999999990564,,0.999999999990564
2020.11.16,-19.000000000005457,,-19.000000000005457
2020.11.16,-21.000000000000796,,-21.000000000000796
2020.11.16,-26.00000000001046,,-26.00000000001046
2020.11.16,-33.00000000000125,,-33.00000000000125
2020.11.16,3.0000000000001137,,3.0000000000001137
2020.11.16,39.99999999999204,,39.99999999999204
2020.11.16,-64.00000000000716,,-64.00000000000716
2020.11.16,0.999999999990564,,0.999999999990564
2020.11.16,54.99999999999261,,54.99999999999261
2020.11.16,63.99999999999295,,63.99999999999295
2020.11.16,37.9999999999967,,37.9999999999967
2020.11.16,-76.99999999999818,,-76.99999999999818
2020.11.16,101.99999999998965,,101.99999999998965
2020.11.16,149.99999999999147,,149.99999999999147
2020.11.16,83.99999999998897,,83.99999999998897
2020.11.16,0.999999999990564,,0.999999999990564
2020.11.16,-30.000000000001137,,-30.000000000001137
2020.11.16,-151.00000000001046,,-151.00000000001046
2020.11.16,-135.00000000000512,,-135.00000000000512
2020.11.16,-58.9999999999975,,-58.9999999999975
2020.11.16,-19.000000000005457,,-19.000000000005457
2020.11.16,-23.000000000010346,,-23.000000000010346
2020.11.16,-22.00000000000557,,-22.00000000000557
2020.11.16,-37.00000000000614,,-37.00000000000614
2020.11.16,-66.0000000000025,,-66.0000000000025
2020.11.16,-76.00000000000762,,-76.00000000000762
2020.11.16,-57.00000000000216,,-57.00000000000216
2020.11.16,-57.00000000000216,,-57.00000000000216
2020.11.16,-70.99999999999795,,-70.99999999999795
2020.11.16,-66.0000000000025,,-66.0000000000025
2020.11.16,-33.00000000000125,,-33.00000000000125
2020.11.16,-85.99999999999852,,-85.99999999999852
2020.11.17,-85.00000000000796,,-85.00000000000796
2020.11.17,-47.000000000011255,,-47.000000000011255
2020.11.17,-64.99999999999773,,-64.99999999999773
2020.11.17,-60.000000000002274,,-60.000000000002274
2020.11.17,-115.99999999999966,,-115.99999999999966
2020.11.17,-115.99999999999966,,-115.99999999999966
2020.11.17,-85.00000000000796,,-85.00000000000796
2020.11.17,-103.00000000000864,,-103.00000000000864
2020.11.17,-40.00000000000625,,-40.00000000000625
2020.11.17,-50.00000000001137,,-50.00000000001137
2020.11.17,-90.00000000000341,,-90.00000000000341
2020.11.17,-97.99999999999898,,-97.99999999999898
2020.11.17,-94.99999999999886,,-94.99999999999886
2020.11.17,-103.00000000000864,,-103.00000000000864
2020.11.17,-123.00000000000466,,-123.00000000000466
2020.11.17,-125.0,,-125.0
2020.11.17,-128.0000000000001,,-128.0000000000001
2020.11.17,-72.00000000000273,,-72.00000000000273
2020.11.17,-85.00000000000796,,-85.00000000000796
2020.11.17,-158.00000000000125,,-158.00000000000125
2020.11.17,-204.9999999999983,,-204.9999999999983
2020.11.17,-200.00000000000284,,-200.00000000000284
2020.11.17,-157.0000000000107,,-157.0000000000107
2020.11.17,-152.00000000000102,,-152.00000000000102
2020.11.17,-102.00000000000387,,-102.00000000000387
2020.11.17,-49.000000000006594,,-49.000000000006594
2020.11.17,-142.00000000001012,,-142.00000000001012
2020.11.17,-144.00000000000546,,-144.00000000000546
2020.11.17,-145.00000000001023,,-145.00000000001023
2020.11.17,-234.00000000000887,,-234.00000000000887
2020.11.17,-177.0000000000067,,-177.0000000000067
2020.11.17,-212.0000000000033,,-212.0000000000033
2020.11.17,-145.00000000001023,,-145.00000000001023
2020.11.17,-275.0000000000057,,-275.0000000000057
2020.11.17,-328.00000000000296,,-328.00000000000296
2020.11.17,-285.0000000000108,,-285.0000000000108
2020.11.17,-253.0000000000001,,-253.0000000000001
2020.11.17,-239.00000000000432,,-239.00000000000432
2020.11.17,-222.99999999999898,,-222.99999999999898
2020.11.17,-222.0000000000084,,-222.0000000000084
2020.11.17,-195.0000000000074,,-195.0000000000074
2020.11.17,-175.00000000001137,,-175.00000000001137
2020.11.17,-200.00000000000284,,-200.00000000000284
2020.11.17,-209.00000000000318,,-209.00000000000318
2020.11.17,-231.99999999999932,,-231.99999999999932
2020.11.17,-245.00000000000455,,-245.00000000000455
2020.11.17,-293.00000000000637,,-293.00000000000637
