date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,empty,sum
2021.09.20,-39.00000000000014,-219.00000000001364,-15.999999999993797,-33.00000000000125,-17.000000000000348,-17.000000000000348,-2.999999999997449,-174.00000000000747,-171.00000000000648,-70.99999999999883,0.0,0.0,-263.99999999999756,-212.99999999999653,-134.99999999999625,-72.0000000000054,-93.00000000000975,-85.99999999999852,-46.999999999997044,-21.000000000000796,,-1691.0000000000214
2021.09.20,-39.00000000000014,-246.00000000001288,-31.000000000003247,-18.000000000000682,-72.99999999998974,-5.999999999994898,-0.999999999995449,-180.0000000000024,-225.00000000000853,-100.99999999999554,36.999999999998145,63.99999999999295,-2.999999999997449,-80.99999999999774,-144.99999999999514,-106.00000000000608,-87.99999999999919,-144.99999999999602,-60.99999999999284,-21.000000000000796,,-1468.9999999999977
2021.09.20,-2.000000000002,-141.99999999999767,-12.000000000012001,26.00000000001046,-69.9999999999923,-19.999999999997797,-71.99999999999429,-252.0000000000078,-173.00000000000182,-117.99999999999588,106.00000000000608,20.999999999986585,11.00000000000545,-80.99999999999774,-207.00000000000162,-113.99999999999189,-274.00000000001864,-99.99999999999432,-111.99999999999477,-13.999999999995794,,-1598.9999999999877
2021.09.20,60.99999999999994,-15.00000000000945,0.0,37.00000000000614,103.00000000000864,-22.999999999995246,-76.99999999999375,-232.00000000000998,-117.999999999995,-56.99999999999594,163.99999999999747,58.9999999999975,137.00000000000932,-34.000000000000696,-251.99999999998556,-43.999999999999595,-283.000000000011,-79.9999999999983,-90.99999999999397,-30.000000000001137,,-774.9999999999707
2021.09.20,52.99999999999194,-39.00000000001125,-18.0000000000069,70.00000000000739,75.00000000000284,-13.999999999991797,-23.999999999990695,-229.99999999999687,-144.00000000000546,-91.99999999999208,179.00000000000693,102.00000000000387,117.00000000001154,-4.999999999988347,-190.00000000000128,-31.000000000003247,-221.00000000000452,-103.9999999999992,-106.99999999999932,16.000000000005343,,-606.9999999999611
2021.09.20,49.99999999999449,-46.0000000000127,-22.999999999995246,76.00000000000762,109.00000000000354,7.0000000000014495,2.000000000002,-225.00000000000853,-162.00000000000614,-67.9999999999903,163.99999999999747,121.00000000000932,178.99999999999582,19.999999999997797,-170.99999999998784,7.0000000000014495,-157.00000000000713,-94.99999999999886,-105.99999999999454,52.00000000000671,,-265.99999999998363
2021.09.20,60.99999999999994,-48.000000000003595,-25.00000000000835,79.9999999999983,52.000000000007596,11.00000000000545,14.000000000002899,-236.99999999999832,-182.00000000000216,-107.99999999999699,165.00000000000404,147.99999999999613,106.00000000000608,-34.000000000000696,-164.99999999999292,-70.99999999999883,-155.00000000001623,-158.99999999999181,-168.99999999999693,75.00000000000284,,-640.9999999999836
2021.09.20,76.99999999999375,-36.999999999998145,4.999999999988347,118.99999999999977,58.000000000002494,-22.999999999995246,20.0000000000089,-232.00000000000998,-177.0000000000067,-112.99999999999643,165.00000000000404,156.0000000000059,97.9999999999981,-34.000000000000696,-109.99999999998789,-72.0000000000054,-62.000000000006494,-158.99999999999181,-161.99999999999193,111.0000000000042,,-371.9999999999852
2021.09.20,78.99999999999574,-4.000000000004,31.999999999987594,85.99999999999852,111.00000000001664,-105.99999999999498,-44.99999999999504,-199.00000000001583,-170.0000000000017,-79.99999999999119,165.9999999999995,45.99999999999227,137.00000000000932,127.00000000001043,-225.99999999999287,59.000000000009045,-168.0000000000126,-118.99999999999977,-75.9999999999934,18.000000000000682,,-331.9999999999817
2021.09.20,69.9999999999923,51.99999999998539,52.000000000007596,28.000000000005798,221.00000000000452,-182.99999999999983,-37.99999999999359,-180.0000000000024,-158.00000000000125,-15.999999999993797,184.00000000000637,-94.99999999999886,215.99999999999397,241.00000000000233,-251.99999999998556,185.99999999999727,-147.00000000000824,-28.999999999996362,19.000000000005457,-9.000000000000341,,162.00000000002075
2021.09.20,89.99999999999008,117.99999999999588,82.00000000000429,6.000000000000227,286.00000000000847,-341.99999999999784,-106.99999999999044,-217.0000000000005,-61.99999999999761,-24.999999999997247,202.0000000000022,-224.99999999999432,141.00000000001333,375.9999999999986,-243.99999999999977,341.00000000001353,-200.00000000000017,70.00000000000739,164.00000000000148,-93.99999999999409,,360.0000000000634
2021.09.20,92.99999999999864,158.99999999999804,131.99999999999878,-30.000000000001137,341.00000000001353,-346.0000000000019,-92.99999999999864,-168.99999999999693,-28.000000000005798,6.0000000000060005,187.00000000000384,-216.00000000000819,180.0000000000024,578.9999999999961,-343.99999999998875,509.00000000000387,-181.00000000000892,90.00000000000341,293.00000000000637,-81.99999999999363,,1080.000000000027
2021.09.20,83.9999999999952,109.99999999998789,123.00000000000644,-13.999999999995794,365.0000000000153,-309.99999999999915,-63.99999999999739,-137.00000000000932,-91.00000000000819,54.00000000000959,168.00000000000148,-211.00000000001273,323.0000000000066,544.9999999999955,-378.999999999996,434.000000000001,-106.00000000000608,94.0000000000083,219.0000000000083,-79.9999999999983,,1127.0000000000127
2021.09.20,84.99999999999064,120.99999999999334,141.99999999999767,29.000000000010573,356.00000000000074,-307.99999999999716,-134.99999999999625,-123.00000000000644,-64.99999999999773,51.000000000001044,161.00000000000003,-132.000000000005,317.0000000000117,551.9999999999969,-286.99999999999284,435.0000000000076,-258.0000000000027,115.0000000000091,250.0,-123.99999999999523,,1182.000000000026
