date,EURCHF,empty,sum
2017.10.23,-31.000000000003247,,-31.000000000003247
2017.10.23,18.0000000000069,,18.0000000000069
2017.10.23,39.999999999995595,,39.999999999995595
2017.10.23,15.999999999993797,,15.999999999993797
2017.10.23,19.999999999997797,,19.999999999997797
2017.10.23,-11.999999999989797,,-11.999999999989797
2017.10.23,-52.000000000007596,,-52.000000000007596
2017.10.23,-60.99999999999994,,-60.99999999999994
2017.10.23,-53.999999999998494,,-53.999999999998494
2017.10.23,-52.99999999999194,,-52.99999999999194
2017.10.23,-78.00000000000028,,-78.00000000000028
2017.10.23,-53.999999999998494,,-53.999999999998494
2017.10.23,-34.000000000000696,,-34.000000000000696
2017.10.23,-29.999999999996696,,-29.999999999996696
2017.10.23,-28.000000000005798,,-28.000000000005798
2017.10.23,-58.99999999998684,,-58.99999999998684
2017.10.23,-75.99999999998718,,-75.99999999998718
2017.10.23,-113.99999999999189,,-113.99999999999189
2017.10.23,-157.99999999999147,,-157.99999999999147
2017.10.23,-150.00000000000568,,-150.00000000000568
2017.10.23,-174.00000000000747,,-174.00000000000747
2017.10.23,-147.99999999999258,,-147.99999999999258
2017.10.23,-180.99999999998673,,-180.99999999998673
2017.10.23,-161.99999999999548,,-161.99999999999548
2017.10.23,-140.99999999999113,,-140.99999999999113
2017.10.23,-31.999999999987594,,-31.999999999987594
2017.10.23,-19.999999999997797,,-19.999999999997797
2017.10.23,38.0000000000047,,38.0000000000047
2017.10.23,49.99999999999449,,49.99999999999449
2017.10.23,-69.9999999999923,,-69.9999999999923
2017.10.23,-96.99999999999153,,-96.99999999999153
2017.10.23,-147.99999999999258,,-147.99999999999258
2017.10.23,-131.99999999999878,,-131.99999999999878
2017.10.23,-92.00000000000318,,-92.00000000000318
2017.10.23,-85.00000000000173,,-85.00000000000173
2017.10.23,-127.99999999999478,,-127.99999999999478
2017.10.23,-121.99999999999989,,-121.99999999999989
2017.10.23,-45.000000000006146,,-45.000000000006146
2017.10.23,-28.999999999990145,,-28.999999999990145
2017.10.23,-100.99999999999554,,-100.99999999999554
2017.10.23,-100.99999999999554,,-100.99999999999554
2017.10.23,-112.000000000001,,-112.000000000001
2017.10.23,-157.00000000000713,,-157.00000000000713
2017.10.23,-116.00000000000499,,-116.00000000000499
2017.10.23,-124.99999999999733,,-124.99999999999733
2017.10.23,-188.9999999999947,,-188.9999999999947
2017.10.23,-164.99999999999292,,-164.99999999999292
2017.10.23,-174.00000000000747,,-174.00000000000747
2017.10.24,-235.99999999999176,,-235.99999999999176
2017.10.24,-214.00000000000307,,-214.00000000000307
2017.10.24,-175.99999999999838,,-175.99999999999838
2017.10.24,-181.9999999999933,,-181.9999999999933
2017.10.24,-177.99999999998929,,-177.99999999998929
2017.10.24,-173.00000000000094,,-173.00000000000094
2017.10.24,-168.99999999999693,,-168.99999999999693
2017.10.24,-157.00000000000713,,-157.00000000000713
2017.10.24,-153.9999999999875,,-153.9999999999875
2017.10.24,-123.00000000000644,,-123.00000000000644
2017.10.24,-110.99999999999443,,-110.99999999999443
2017.10.24,-112.000000000001,,-112.000000000001
2017.10.24,-93.99999999999409,,-93.99999999999409
2017.10.24,-102.00000000000209,,-102.00000000000209
2017.10.24,-79.99999999999119,,-79.99999999999119
2017.10.24,-70.99999999999883,,-70.99999999999883
2017.10.24,-78.00000000000028,,-78.00000000000028
2017.10.24,-72.99999999998974,,-72.99999999998974
2017.10.24,-46.999999999997044,,-46.999999999997044
2017.10.24,11.00000000000545,,11.00000000000545
2017.10.24,-110.99999999999443,,-110.99999999999443
2017.10.24,-123.00000000000644,,-123.00000000000644
2017.10.24,-17.000000000000348,,-17.000000000000348
2017.10.24,-25.00000000000835,,-25.00000000000835
2017.10.24,52.000000000007596,,52.000000000007596
2017.10.24,39.00000000001125,,39.00000000001125
2017.10.24,53.999999999998494,,53.999999999998494
2017.10.24,97.9999999999981,,97.9999999999981
