date,EURUSD,USDCAD,AUDUSD,AUDCHF,AUDJPY,NZDCAD,AUDNZD,empty,sum
2015.10.26,-28.999999999990145,10.999999999983245,-82.99999999999974,-73.00000000000084,-3.0000000000001137,88.00000000001029,-99.99999999998899,,-188.9999999999863
2015.10.26,-119.00000000000244,17.000000000000348,-89.00000000000574,-89.00000000000574,-37.00000000000614,111.00000000000554,-90.99999999999665,,-297.0000000000108
2015.10.26,-142.99999999998204,61.99999999998429,-114.99999999999844,-90.99999999999665,-64.00000000000716,107.00000000000153,-170.00000000000347,,-414.00000000000193
2015.10.26,-112.000000000001,59.99999999999339,-119.99999999999788,-116.00000000000499,-22.999999999996135,101.00000000000664,-195.9999999999962,,-405.99999999999613
2015.10.26,-220.99999999998232,76.99999999999375,-204.99999999999963,-177.00000000000495,31.999999999996476,180.0000000000024,-232.99999999999432,,-546.9999999999886
2015.10.26,-134.99999999999625,168.99999999999693,-184.00000000000637,-175.99999999999838,10.99999999999568,186.00000000000838,-275.000000000003,,-404.00000000000307
2015.10.26,-203.99999999998198,5.999999999994898,-350.00000000000585,-300.99999999999574,-132.000000000005,246.00000000000176,-313.99999999999204,,-1048.9999999999839
2015.10.26,-175.99999999999838,29.999999999996696,-323.0000000000066,-253.0000000000032,-165.00000000000625,268.0000000000016,-265.0000000000041,,-884.0000000000202
2015.10.26,-254.999999999983,14.000000000002899,-343.9999999999999,-192.00000000000327,-150.99999999999625,342.000000000009,-194.0000000000053,,-779.9999999999759
2015.10.26,-263.99999999999756,-11.00000000000545,-351.0000000000013,-209.00000000000364,-186.00000000000705,358.0000000000028,-164.00000000000858,,-827.0000000000209
2015.10.26,-313.99999999999204,-131.00000000001444,-500.00000000000045,-343.9999999999999,-362.99999999999955,413.0000000000078,-225.00000000000853,,-1464.0000000000073
2015.10.26,-304.9999999999997,-124.99999999999733,-477.0000000000052,-278.9999999999959,-298.0000000000018,417.0000000000007,-177.00000000000495,,-1244.0000000000043
2015.10.26,-313.99999999999204,-158.0000000000137,-543.0000000000045,-348.9999999999993,-361.0000000000042,450.00000000000597,-215.00000000000963,,-1490.0000000000173
2015.10.26,-280.9999999999979,-129.00000000000134,-451.0000000000014,-265.0000000000041,-265.00000000000057,453.0000000000034,-113.99999999999189,,-1051.9999999999939
