names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
GBPUSD,15,"['NZDJPY', 'EURUSD', 'EURCHF']",100.0,0.98,B
USDJPY,20,"['AUDCAD', 'GBPAUD', 'EURJPY']",100.0,0.816,B
AUDUSD,50,"['USDCAD', 'EURUSD', 'NZDJPY', 'USDJPY']",100.0,-0.9623333333333334,S
NZDUSD,20,"['USDCHF', 'CHFJPY', 'GBPJPY', 'USDCAD', 'AUDCAD', 'EURJPY', 'CADJPY']",80.0,-0.08,S
GBPCHF,15,"['EURUSD', 'NZDJPY', 'AUDCHF', 'USDJPY', 'USDCAD', 'EURAUD', 'EURCAD', 'USDCHF']",80.0,0.08,B
CADCHF,10,"['CHFJPY', 'USDCHF']",100.0,-1.0,S
AUDCHF,10,['NZDUSD'],100.0,0.89,B
NZDCHF,20,['CADJPY'],100.0,0.2707200577200576,B
EURGBP,15,"['EURUSD', 'NZDJPY', 'AUDCHF', 'USDJPY', 'USDCAD', 'EURAUD', 'EURCAD', 'CHFJPY', 'USDCHF', 'CADCHF', 'NZDUSD']",80.0,0.02,B
GBPJPY,10,"['EURGBP', 'GBPCHF']",80.0,-0.19164285714285711,S
GBPCAD,10,['EURCHF'],100.0,1.0,B
GBPAUD,30,"['EURNZD', 'AUDCHF', 'NZDCHF']",80.0,-0.0387883962442786,S
EURJPY,10,"['CHFJPY', 'USDCHF']",100.0,1.0,B
EURCAD,15,['CHFJPY'],100.0,1.0,B
EURAUD,10,['NZDUSD'],100.0,-0.812,S
EURNZD,10,['USDJPY'],80.0,1.0,B
AUDJPY,30,"['EURGBP', 'GBPCHF', 'EURJPY', 'CADCHF', 'EURUSD']",100.0,-0.54,S
AUDCAD,50,"['NZDJPY', 'GBPCAD', 'EURCHF', 'CADJPY', 'AUDCAD']",100.0,-0.96,S
AUDNZD,15,['CADJPY'],100.0,-0.2808992673992673,S
