date,GBPUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,GBPJPY,GBPCAD,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2021.02.08,-136.00000000000279,0.0,-65.99999999999939,-92.99999999999864,-333.0000000000055,-49.00000000001015,-100.99999999999909,-108.00000000000809,-134.0000000000008,-158.99999999999804,-262.00000000000045,-297.9999999999983,-106.00000000000608,-107.99999999999699,-146.00000000000168,-58.000000000006935,-103.00000000000864,-134.00000000000034,-141.00000000000225,-156.99999999999602,-48.000000000003595,,-2740.000000000044
2021.02.08,-149.9999999999835,-9.999999999998899,-70.99999999999883,-95.00000000000064,-312.00000000000114,-60.000000000015596,-243.99999999999977,-86.0000000000083,-127.99999999999478,-161.00000000000003,-347.99999999998477,-329.00000000000153,22.999999999995246,-79.99999999999119,-45.99999999999049,-108.99999999999466,-169.00000000001114,-168.99999999999693,-153.99999999999858,-151.9999999999966,-75.00000000000284,,-2924.9999999999745
2021.02.08,-227.99999999998377,-19.999999999997797,-124.99999999999733,-216.0000000000051,-354.9999999999942,-124.00000000001299,-234.99999999999943,-126.0000000000039,-171.99999999999437,-264.999999999993,-405.00000000000114,-351.99999999999676,56.99999999999594,-52.99999999999194,-169.99999999998127,-140.00000000000057,-212.0000000000033,-289.0000000000015,-187.9999999999993,-268.0000000000016,-97.9999999999981,,-3983.999999999961
2021.02.08,-227.99999999998377,-2.999999999997449,-158.0000000000026,-273.9999999999965,-363.0000000000022,-118.00000000001809,-201.99999999999818,-116.00000000000499,-204.99999999999963,-317.0000000000006,-388.9999999999816,-370.999999999988,78.00000000000028,-88.99999999998354,-265.99999999998846,-126.99999999999534,-230.00000000000398,-337.99999999999386,-218.00000000000708,-349.99999999999477,17.000000000000348,,-4266.999999999941
2021.02.08,-242.99999999999324,-1.0000000000065512,-141.00000000000225,-265.0000000000041,-443.99999999999994,-129.00000000000134,-237.00000000000898,-147.00000000000824,-215.99999999999397,-317.9999999999961,-484.9999999999852,-397.0000000000029,55.99999999998939,-100.99999999999554,-253.99999999999866,-171.00000000000648,-261.0000000000099,-355.000000000004,-209.9999999999991,-347.9999999999928,17.000000000000348,,-4650.000000000019
2021.02.08,-222.99999999999542,31.999999999987594,-102.99999999999754,-226.99999999999943,-496.00000000000756,-152.0000000000188,-219.0000000000083,-170.99999999999892,-221.99999999999997,-339.99999999999585,-515.9999999999911,-415.99999999999415,8.999999999992347,-122.99999999998423,-295.0000000000008,-174.0000000000066,-248.00000000000466,-361.99999999999477,-200.00000000000017,-324.9999999999975,55.000000000005045,,-4716.00000000001
2021.02.08,-147.99999999999258,45.99999999999049,-66.99999999999484,-184.00000000000637,-465.0000000000043,-134.00000000001188,-183.9999999999975,-196.00000000000728,-226.99999999999943,-324.9999999999975,-465.99999999997976,-350.9999999999902,-46.999999999997044,-115.99999999998278,-269.9999999999925,-174.99999999999716,-228.00000000000864,-347.999999999999,-169.00000000000804,-302.9999999999977,21.999999999988695,,-4334.999999999985
2021.02.08,-156.99999999998494,43.999999999999595,-122.99999999999534,-214.99999999999852,-462.0000000000068,-144.0000000000108,-182.00000000000216,-194.0000000000053,-239.99999999999577,-324.9999999999975,-437.9999999999882,-332.9999999999833,-39.00000000001125,-177.99999999998929,-288.99999999998374,-183.9999999999975,-271.0000000000008,-346.00000000000364,-211.00000000000563,-298.9999999999937,12.999999999996348,,-4572.999999999957
2021.02.08,-154.99999999999403,41.000000000002146,-126.99999999999933,-216.0000000000051,-434.000000000001,-130.0000000000079,-180.99999999999739,-165.00000000000404,-256.0000000000007,-329.999999999997,-436.9999999999834,-327.99999999999494,0.0,-205.99999999999508,-287.9999999999994,-168.00000000000637,-279.0000000000106,-346.00000000000364,-226.00000000000398,-295.99999999999625,-5.000000000010552,,-4532.000000000009
2021.02.08,-139.00000000000023,79.99999999999119,-90.0000000000012,-158.99999999999804,-446.9999999999974,-136.00000000000279,-164.00000000000148,-169.00000000000804,-227.99999999999488,-297.9999999999983,-437.9999999999882,-346.9999999999862,11.00000000000545,-122.99999999998423,-195.9999999999962,-156.99999999999648,-240.0000000000091,-299.99999999999716,-196.00000000000728,-259.9999999999936,-25.00000000000835,,-4020.9999999999723
2021.02.08,-159.99999999998238,61.99999999998429,-97.00000000000264,-157.00000000000713,-442.9999999999934,-129.00000000000134,-159.9999999999966,-157.00000000000713,-225.99999999999287,-287.9999999999994,-385.9999999999957,-350.9999999999902,29.999999999996696,-124.99999999999733,-170.99999999998784,-123.00000000000466,-212.0000000000033,-263.00000000000523,-199.00000000000472,-246.00000000000176,-36.999999999998145,,-3837.99999999999
2021.02.08,-167.9999999999904,75.00000000000284,-95.99999999999609,-140.0000000000068,-425.99999999999307,-104.99999999999955,-186.00000000000705,-133.00000000000534,-209.9999999999991,-249.99999999999466,-432.9999999999927,-376.9999999999829,42.999999999993044,-127.99999999999478,-107.99999999999699,-140.00000000000057,-233.0000000000041,-257.000000000005,-204.00000000000418,-225.99999999999287,-65.00000000000395,,-3766.9999999999736
2021.02.08,-184.99999999999073,48.000000000003595,-129.9999999999968,-165.00000000000404,-432.9999999999945,-108.00000000001918,-198.99999999999807,-147.00000000000824,-232.99999999999432,-268.99999999999704,-459.99999999997954,-376.9999999999829,15.999999999993797,-177.99999999998929,-160.99999999998892,-162.9999999999967,-273.00000000001035,-290.9999999999968,-231.0000000000034,-240.99999999999122,-65.00000000000395,,-4244.999999999948
2021.02.08,-170.99999999998784,58.000000000002494,-107.00000000000153,-150.00000000000568,-426.9999999999996,-99.00000000000463,-225.9999999999991,-147.00000000000824,-222.99999999999542,-257.9999999999916,-466.99999999998454,-363.9999999999866,14.999999999987246,-163.00000000000205,-139.9999999999846,-168.99999999999693,-264.00000000001,-281.9999999999965,-209.00000000000364,-224.9999999999974,-70.0000000000145,,-4087.9999999999795
2021.02.08,-170.99999999998784,43.999999999999595,-117.99999999999588,-179.00000000000693,-401.99999999999125,-114.0000000000141,-246.9999999999999,-136.99999999999824,-206.99999999999054,-264.999999999993,-460.9999999999843,-368.9999999999971,31.000000000003247,-109.99999999998789,-131.99999999999878,-167.0000000000016,-263.00000000000523,-307.00000000000216,-224.000000000002,-264.999999999993,-36.0000000000138,,-4098.999999999961
