timeframe,profit
,
2021.11.09 08:05,-2522
2021.11.09 08:10,-2475
2021.11.09 07:50,-2466
2021.11.09 07:45,-2465
2021.11.08 18:45,-2428
2021.11.09 08:00,-2408
2021.11.08 17:30,-2374
2021.11.09 07:30,-2367
2021.11.08 19:30,-2363
2021.11.09 07:40,-2362
2021.11.09 07:20,-2360
2021.11.09 08:15,-2346
2021.11.09 07:35,-2329
2021.11.08 19:20,-2325
2021.11.09 07:25,-2316
2021.11.09 08:20,-2310
2021.11.09 08:25,-2303
2021.11.08 17:25,-2303
2021.11.08 18:50,-2289
2021.11.08 19:15,-2284
2021.11.08 17:45,-2283
2021.11.08 19:25,-2280
2021.11.09 07:55,-2275
2021.11.08 21:35,-2269
2021.11.08 18:40,-2263
2021.11.08 19:35,-2257
2021.11.08 17:10,-2256
2021.11.08 21:40,-2253
2021.11.09 00:05,-2246
2021.11.09 09:05,-2244
2021.11.08 20:35,-2235
2021.11.08 19:10,-2231
2021.11.09 07:05,-2231
2021.11.09 07:15,-2222
2021.11.09 08:30,-2220
2021.11.08 20:45,-2219
2021.11.09 09:10,-2216
2021.11.08 21:05,-2209
2021.11.08 20:30,-2203
2021.11.09 08:35,-2199
2021.11.08 21:10,-2196
2021.11.09 07:10,-2194
2021.11.09 00:10,-2191
2021.11.08 19:40,-2179
2021.11.08 20:25,-2151
2021.11.08 17:35,-2148
2021.11.08 20:55,-2148
2021.11.08 18:55,-2147
2021.11.08 17:20,-2141
2021.11.08 21:15,-2139
2021.11.08 20:50,-2133
2021.11.08 21:30,-2126
2021.11.09 07:00,-2126
2021.11.08 21:45,-2114
2021.11.09 09:20,-2112
2021.11.08 21:00,-2108
2021.11.08 20:40,-2106
2021.11.09 08:40,-2101
2021.11.08 17:15,-2090
2021.11.08 18:00,-2086
2021.11.09 08:50,-2076
2021.11.08 21:20,-2074
2021.11.08 18:35,-2073
2021.11.08 22:50,-2071
2021.11.08 19:55,-2064
2021.11.09 09:15,-2057
2021.11.08 21:50,-2055
2021.11.08 23:15,-2055
2021.11.09 00:00,-2054
2021.11.09 06:50,-2051
2021.11.08 23:00,-2049
2021.11.08 23:10,-2048
2021.11.09 06:55,-2046
2021.11.08 17:50,-2045
2021.11.08 23:25,-2044
2021.11.08 19:00,-2039
2021.11.08 23:20,-2037
2021.11.08 21:55,-2029
2021.11.08 22:15,-2029
2021.11.08 23:05,-2028
2021.11.09 06:40,-2018
2021.11.08 20:20,-2016
2021.11.09 06:45,-2014
2021.11.08 22:20,-2014
2021.11.09 08:55,-2012
2021.11.09 09:25,-2009
2021.11.08 23:35,-2006
2021.11.08 22:25,-2004
2021.11.08 23:55,-2002
2021.11.08 17:40,-2001
2021.11.08 22:30,-1994
2021.11.08 22:00,-1993
2021.11.08 19:05,-1991
2021.11.09 02:10,-1985
2021.11.08 22:35,-1983
2021.11.09 08:45,-1982
2021.11.08 19:45,-1979
2021.11.08 21:25,-1969
2021.11.08 22:55,-1966
2021.11.08 23:30,-1966
2021.11.08 17:55,-1965
2021.11.08 19:50,-1965
2021.11.08 22:40,-1965
2021.11.08 20:15,-1956
2021.11.08 22:45,-1944
2021.11.08 18:05,-1939
2021.11.09 06:30,-1935
2021.11.08 18:30,-1928
2021.11.08 23:40,-1925
2021.11.08 20:05,-1924
2021.11.09 00:25,-1923
2021.11.08 22:10,-1923
2021.11.09 06:35,-1922
2021.11.09 09:00,-1920
2021.11.08 20:00,-1919
2021.11.09 02:00,-1911
2021.11.09 00:35,-1904
2021.11.09 00:30,-1903
2021.11.08 18:25,-1895
2021.11.08 20:10,-1887
2021.11.09 06:20,-1885
2021.11.08 23:45,-1879
2021.11.09 02:20,-1879
2021.11.08 18:20,-1874
2021.11.09 00:20,-1872
2021.11.09 06:25,-1872
2021.11.09 06:15,-1872
2021.11.09 00:40,-1871
2021.11.09 02:05,-1869
2021.11.09 06:10,-1867
2021.11.09 05:05,-1863
2021.11.09 02:15,-1861
2021.11.08 23:50,-1859
2021.11.09 01:05,-1856
2021.11.09 05:25,-1845
2021.11.09 00:15,-1829
2021.11.09 01:00,-1829
2021.11.08 17:05,-1824
2021.11.09 00:55,-1824
2021.11.09 01:10,-1812
2021.11.09 06:05,-1808
2021.11.08 18:10,-1805
2021.11.09 05:15,-1799
2021.11.08 15:30,-1797
2021.11.09 00:50,-1796
2021.11.09 01:55,-1793
2021.11.09 01:40,-1790
2021.11.09 05:30,-1790
2021.11.09 09:30,-1784
2021.11.09 00:45,-1776
2021.11.09 01:35,-1771
2021.11.09 05:20,-1770
2021.11.09 12:20,-1768
2021.11.09 05:10,-1767
2021.11.08 16:20,-1755
2021.11.09 01:15,-1754
2021.11.09 11:40,-1753
2021.11.09 01:45,-1748
2021.11.09 04:00,-1746
2021.11.08 15:25,-1743
2021.11.09 03:15,-1737
2021.11.08 18:15,-1733
2021.11.08 22:05,-1730
2021.11.09 16:40,-1730
2021.11.08 16:15,-1726
2021.11.09 01:50,-1724
2021.11.08 15:35,-1714
2021.11.09 02:25,-1707
2021.11.09 03:20,-1696
2021.11.09 06:00,-1691
2021.11.09 05:00,-1686
