date,USDCHF,GBPUSD,USDJPY,NZDUSD,EURCHF,CHFJPY,CADCHF,GBPJPY,GBPCAD,CADJPY,AUDJPY,NZDCAD,empty,sum
2018.07.23,-54.00000000000959,-92.00000000000318,-1.0000000000047748,-77.00000000000485,-97.9999999999981,-42.00000000000159,-131.00000000000333,-7.000000000005002,0.0,-18.999999999991246,0.0,-14.999999999998348,,-536.0000000000199
2018.07.23,-90.0000000000012,-89.99999999999008,-23.000000000010346,-80.00000000000229,-121.00000000001555,-52.99999999999727,-129.00000000000134,-13.00000000000523,103.00000000000864,-69.99999999999318,4.9999999999954525,75.00000000000284,,-486.00000000000955
2018.07.23,-57.00000000000705,-130.99999999999224,30.9999999999917,-170.99999999999892,-75.00000000000284,73.0000000000075,-129.00000000000134,105.99999999999454,209.9999999999991,-27.999999999991587,91.99999999999875,151.00000000000114,,71.99999999999875
2018.07.23,-37.00000000000925,-194.99999999998963,-75.00000000000284,-258.0000000000027,-103.00000000000864,45.000000000001705,-156.00000000000057,89.99999999997499,219.99999999999798,9.000000000000341,97.99999999999898,221.99999999999997,,-140.0000000000396
2018.07.23,-6.0000000000060005,-258.99999999998704,-177.99999999999727,-277.000000000005,-137.00000000000932,20.000000000010232,-156.99999999999602,20.999999999986585,197.00000000000273,-33.999999999991815,60.000000000002274,243.00000000000432,,-506.99999999998636
2018.07.23,46.999999999997044,-270.99999999999903,-311.9999999999976,-294.00000000000534,-76.0000000000094,-101.99999999998965,-129.9999999999968,-148.00000000002456,235.00000000000742,-135.99999999999568,-51.9999999999925,265.0000000000041,,-974.0000000000018
2018.07.23,65.99999999999939,-289.0000000000059,-517.0000000000101,-309.99999999999915,-85.00000000000173,-253.0000000000001,-119.00000000000244,-416.00000000002524,195.00000000001182,-289.99999999999204,-234.99999999999943,292.9999999999988,,-1960.0000000000261
2018.07.23,73.00000000000084,-296.0000000000074,-503.0000000000001,-325.00000000000864,-91.00000000001884,-236.99999999999477,-112.99999999999643,-360.00000000001364,236.99999999999832,-274.0000000000009,-230.00000000000398,250.00000000000577,,-1869.0000000000398
2018.07.23,29.999999999996696,-275.000000000003,-460.00000000000796,-286.00000000000847,-70.99999999999883,-209.00000000000318,-88.99999999999464,-360.00000000001364,256.00000000001177,-274.9999999999915,-262.00000000000045,280.00000000000244,,-1721.0000000000107
2018.07.23,104.99999999999955,-360.0000000000048,-617.0000000000044,-328.0000000000061,-68.00000000000139,-320.99999999999795,-64.99999999999284,-441.0000000000025,316.0000000000052,-366.9999999999902,-331.99999999999363,268.0000000000016,,-2209.9999999999873
2018.07.23,48.99999999999905,-285.99999999998624,-514.00000000001,-247.00000000000833,-87.00000000001484,-265.99999999999113,-68.99999999999685,-388.00000000000523,354.0000000000099,-345.9999999999894,-319.0000000000026,292.00000000000335,,-1826.9999999999925
2018.07.23,40.99999999999105,-231.0000000000034,-466.99999999999875,-239.0000000000003,-78.00000000000028,-287.9999999999967,-63.99999999999739,-414.0000000000157,361.0000000000113,-340.999999999994,-308.9999999999975,258.0000000000027,,-1770.9999999999993
2018.07.23,39.999999999995595,-242.99999999999324,-472.0000000000084,-240.00000000000688,-63.000000000013046,-280.9999999999917,-63.00000000000195,-368.0000000000234,377.0000000000051,-325.9999999999934,-290.9999999999968,267.00000000000614,,-1663.0000000000223
2018.07.23,60.99999999999994,-287.9999999999994,-507.000000000005,-268.0000000000016,-60.99999999999994,-284.9999999999966,-60.99999999999994,-382.000000000005,402.9999999999978,-344.99999999999886,-265.99999999999113,325.00000000000864,,-1673.9999999999911
2018.07.23,81.9999999999932,-289.0000000000059,-484.99999999999943,-268.0000000000016,-51.000000000001044,-265.99999999999113,-39.00000000000014,-401.00000000001046,398.9999999999938,-345.9999999999894,-278.99999999999636,295.0000000000008,,-1648.0000000000077
2018.07.23,59.99999999999339,-255.00000000000523,-468.0000000000035,-254.00000000000978,-25.00000000000835,-269.999999999996,-43.999999999999595,-373.0000000000189,408.00000000000836,-338.99999999999864,-280.00000000000114,316.0000000000052,,-1524.000000000034
2018.07.23,57.99999999999139,-285.99999999998624,-468.0000000000035,-304.00000000000426,-25.00000000000835,-257.99999999999557,-59.99999999999339,-355.0000000000182,371.99999999999454,-337.99999999999386,-262.00000000000045,346.0000000000019,,-1580.0000000000164
2018.07.23,14.999999999998348,-283.99999999999534,-466.99999999999875,-302.0000000000023,-31.000000000003247,-246.9999999999999,-73.00000000000084,-355.0000000000182,364.9999999999931,-313.0000000000024,-257.000000000005,335.0000000000075,,-1614.0000000000266
2018.07.23,0.999999999995449,-219.99999999999798,-472.0000000000084,-251.00000000000122,-9.999999999998899,-274.9999999999915,-80.99999999999774,-423.0000000000018,316.0000000000052,-331.00000000000307,-266.9999999999959,314.0000000000032,,-1698.9999999999927
2018.07.23,-30.000000000007798,-224.000000000002,-460.9999999999985,-254.00000000000978,-3.0000000000196536,-292.99999999999216,-87.99999999999919,-424.0000000000066,313.00000000000773,-335.9999999999985,-274.0000000000009,280.00000000000244,,-1794.0000000000248
2018.07.23,-31.000000000003247,-285.00000000000193,-404.0000000000106,-278.00000000000045,-16.000000000016,-253.0000000000001,-80.99999999999774,-356.00000000002296,343.00000000000443,-313.0000000000024,-278.99999999999636,265.0000000000041,,-1688.0000000000432
2018.07.23,46.999999999997044,-373.00000000000114,-430.0000000000068,-306.00000000000625,-47.00000000001925,-223.99999999998954,-24.999999999997247,-254.0000000000191,534.9999999999966,-365.99999999999966,-274.0000000000009,400.00000000000034,,-1317.000000000046
