date,USDCHF,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,EURGBP,GBPJPY,GBPAUD,EURJPY,EURCAD,EURAUD,CADJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2020.03.23,-39.999999999995595,-72.0000000000054,-301.00000000000193,-1188.9999999999957,-914.9999999999991,-767.0000000000066,-82.99999999998863,-388.00000000000523,-353.99999999999875,-800.0000000000007,-510.99999999999477,-1051.9999999999925,-1528.0000000000182,-335.9999999999985,-780.000000000003,-2456.999999999998,-477.99999999999443,-768.9999999999975,-680.9999999999983,-114.99999999999844,,-13615.999999999993
2020.03.23,337.99999999999386,278.00000000000045,141.00000000000534,-1387.000000000005,-970.9999999999997,-880.9999999999984,-102.00000000000209,-233.0000000000041,-427.99999999999505,-856.9999999999967,-673.9999999999968,-1167.0000000000016,-1920.0000000000107,-224.00000000000375,-941.9999999999984,-2812.9999999999986,-572.9999999999933,-707.000000000002,-619.0000000000028,-39.00000000001125,,-13780.00000000002
2020.03.23,285.9999999999974,109.99999999998789,22.00000000000557,-1388.999999999996,-951.0000000000018,-795.0000000000013,-56.99999999999594,-305.9999999999974,-405.9999999999952,-844.0000000000003,-838.9999999999898,-1465.0000000000034,-1307.999999999998,-215.99999999999397,-1055.9999999999902,-2696.9999999999936,-611.9999999999948,-665.0000000000044,-544.0,-9.000000000014552,,-13740.99999999998
2020.03.23,54.999999999993946,-94.00000000001629,-493.9999999999998,-1231.0000000000043,-807.0000000000022,-653.0000000000035,-31.000000000003247,-594.9999999999989,-462.9999999999912,-687.0000000000043,-775.9999999999989,-1300.0000000000114,-1201.0000000000077,-465.999999999994,-1127.9999999999957,-2462.999999999993,-858.9999999999947,-551.9999999999969,-358.9999999999982,-86.0000000000083,,-14190.00000000003
2020.03.23,19.00000000000235,-114.99999999999844,-521.0000000000008,-1187.0000000000048,-624.9999999999977,-522.0000000000002,-31.000000000003247,-683.0000000000069,-489.99999999999045,-622.0000000000003,-462.9999999999912,-1341.0000000000082,-1577.9999999999905,-570.999999999998,-1288.0000000000002,-2130.0000000000095,-920.9999999999923,-301.0000000000068,-549.9999999999949,-80.00000000001339,,-14000.000000000004
2020.03.23,129.9999999999968,4.000000000004,-439.9999999999977,-1158.9999999999989,-844.0000000000003,-750.0000000000063,-31.000000000003247,-793.9999999999969,-401.99999999999125,-787.9999999999998,-530.9999999999926,-1314.9999999999977,-1688.0000000000007,-602.9999999999944,-977.99999999999,-2547.9999999999945,-802.9999999999973,-580.9999999999982,-526.9999999999997,-104.00000000001519,,-14751.999999999973
2020.03.23,85.00000000000173,11.999999999989797,-473.99999999998954,-1290.0000000000134,-1021.0000000000052,-812.0000000000016,-31.000000000003247,-611.0000000000042,-452.99999999999227,-997.9999999999989,-513.9999999999923,-1378.0,-2561.9999999999977,-521.9999999999914,-1106.000000000007,-3394.9999999999923,-906.9999999999965,-950.0000000000064,-666.9999999999953,-26.0000000000149,,-17620.00000000001
2020.03.23,-87.00000000000374,-270.00000000001467,-646.0000000000008,-1029.0000000000132,-980.0000000000031,-745.0000000000068,-31.000000000003247,-510.9999999999957,-452.99999999999227,-923.0000000000072,-579.9999999999916,-1355.9999999999945,-2207.9999999999877,-477.99999999999443,-1215.9999999999948,-3014.99999999999,-878.9999999999907,-883.0000000000005,-596.9999999999919,153.9999999999875,,-16732.999999999985
2020.03.23,-136.00000000000279,-338.0000000000161,-697.9999999999933,-827.0,-614.9999999999989,-457.0000000000074,14.000000000002899,-496.0000000000093,-451.9999999999969,-712.0000000000015,-599.9999999999894,-1282.999999999987,-1747.999999999994,-468.0000000000035,-1181.999999999994,-2617.0000000000027,-857.9999999999899,-482.00000000000466,-290.00000000000136,36.999999999998145,,-14207.99999999999
2020.03.23,-197.99999999999818,-358.9999999999982,-781.9999999999965,-865.0000000000047,-714.0000000000035,-499.000000000005,19.00000000001345,-524.0000000000009,-500.9999999999959,-875.999999999999,-453.99999999999886,-1269.0000000000055,-2190.000000000003,-492.00000000000443,-1234.0000000000018,-2980.000000000005,-945.999999999998,-609.9999999999994,-343.9999999999999,28.999999999990145,,-15789.000000000015
2020.03.23,-207.00000000000162,-360.0000000000048,-766.9999999999959,-707.9999999999975,-583.0000000000002,-499.000000000005,21.00000000000435,-466.99999999999875,-458.9999999999983,-722.0000000000005,-453.99999999999886,-1217.000000000013,-1763.0000000000034,-447.00000000000273,-1174.9999999999927,-2614.000000000005,-870.9999999999951,-540.0000000000072,-442.9999999999934,-28.000000000005798,,-14303.000000000015
2020.03.23,-141.99999999999767,-330.0000000000081,-597.999999999999,-852.0000000000083,-619.9999999999983,-563.0000000000024,17.000000000000348,-421.99999999999704,-422.9999999999956,-726.0000000000044,-412.9999999999967,-1057.9999999999927,-1886.00000000001,-399.0000000000009,-1133.9999999999907,-2577.9999999999914,-768.0000000000007,-543.0000000000045,-458.9999999999983,-85.00000000000173,,-13981.999999999996
2020.03.23,-202.9999999999976,-406.00000000001745,-670.9999999999923,-880.9999999999984,-470.00000000000375,-480.0000000000027,21.00000000000435,-393.0000000000007,-532.9999999999945,-607.0000000000019,-429.99999999999704,-1038.000000000011,-1482.99999999999,-352.00000000000387,-1407.999999999987,-2113.9999999999936,-893.0000000000007,-265.99999999999955,-288.9999999999948,-95.00000000000064,,-12990.99999999998
2020.03.23,-226.99999999999943,-433.0000000000167,-784.9999999999966,-886.000000000009,-497.99999999999847,-380.999999999998,48.000000000003595,-487.99999999999955,-561.0000000000003,-699.0000000000052,-505.99999999999534,-1229.9999999999898,-1526.0000000000052,-399.0000000000009,-1492.0000000000045,-2462.0000000000086,-982.9999999999899,-273.000000000001,-115.99999999999389,0.0,,-13897.00000000001
