date,EURUSD,USDCAD,NZDUSD,GBPCHF,CADCHF,EURGBP,EURJPY,EURCAD,EURAUD,CADJPY,NZDJPY,empty,sum
2017.08.07,-49.99999999999449,-25.00000000000835,-38.0000000000047,-348.9999999999993,-136.00000000000279,-65.99999999999939,-50.99999999998772,-137.9999999999937,-25.00000000000835,0.0,-13.00000000000523,,-891.000000000004
2017.08.07,-38.99999999998904,-1.0000000000065512,-24.999999999997247,-395.000000000012,-36.999999999998145,-34.000000000000696,-34.99999999999659,-123.00000000000644,-104.00000000001519,18.000000000000682,36.000000000001364,,-739.0000000000199
2017.08.07,-17.000000000000348,7.0000000000014495,39.00000000000014,-392.00000000001455,0.0,-9.00000000000345,-0.9999999999763531,-133.00000000000534,-151.9999999999966,96.9999999999942,92.99999999998931,,-468.0000000000115
2017.08.07,112.000000000001,132.99999999998312,91.99999999999208,-402.9999999999978,34.000000000000696,46.00000000000159,174.0000000000066,-147.99999999999258,-53.00000000001415,218.9999999999941,171.99999999999704,,377.9999999999717
2017.08.07,83.00000000001084,157.99999999999147,85.00000000000173,-399.00000000001603,43.999999999999595,51.99999999999649,210.00000000000796,-141.99999999999767,-127.99999999999478,239.99999999999488,193.9999999999884,,396.99999999998295
2017.08.07,35.00000000000725,107.99999999999699,47.9999999999925,-384.00000000000654,92.00000000000318,22.999999999995246,130.00000000002387,-80.00000000001339,-104.00000000001519,227.99999999999443,161.99999999999193,,257.99999999997027
2017.08.07,35.00000000000725,102.00000000000209,15.999999999993797,-441.0000000000025,56.99999999999594,22.999999999995246,116.00000000001387,-109.00000000000354,-66.99999999999484,214.9999999999892,114.99999999999488,,61.99999999999142
2017.08.07,106.00000000000608,154.99999999999403,48.99999999999905,-466.00000000001086,117.99999999999588,55.000000000005045,152.00000000001523,-127.00000000001043,-124.99999999999733,197.9999999999933,128.99999999999068,,243.99999999998064
2017.08.07,124.99999999999733,157.99999999999147,80.99999999999774,-382.0000000000157,83.9999999999952,60.99999999999994,159.00000000002024,-124.00000000001299,-205.00000000001074,217.9999999999893,128.0000000000001,,302.9999999999519
2017.08.07,110.00000000001009,119.00000000000244,60.99999999999994,-310.0000000000103,54.999999999993946,77.00000000000485,168.00000000000637,-136.00000000000279,-157.00000000000713,207.9999999999984,120.99999999999511,,315.999999999991
2017.08.07,182.0000000000155,183.99999999998417,49.99999999999449,-317.9999999999961,56.0000000000005,99.00000000000463,189.99999999999773,-202.9999999999976,-110.99999999999443,187.99999999998818,86.99999999998909,,403.99999999998613
2017.08.07,200.00000000000017,169.99999999998127,-2.999999999997449,-326.0000000000041,41.9999999999976,92.00000000000318,206.00000000001728,-214.00000000000307,-60.99999999999994,181.99999999998795,21.99999999999136,,309.9999999999743
2017.08.07,197.00000000000273,147.99999999999258,-36.0000000000027,-324.9999999999975,36.999999999998145,90.99999999999665,218.00000000001774,-207.00000000000162,-56.000000000011596,198.99999999999807,-7.000000000005002,,258.9999999999875
