date,GBPUSD,USDCAD,NZDUSD,GBPAUD,EURAUD,NZDJPY,empty,sum
2015.09.21,-34.000000000000696,-125.99999999998168,-46.00000000000159,0.0,-95.999999999985,-69.99999999999318,,-371.99999999996214
2015.09.21,-89.00000000000574,-105.99999999998388,-101.00000000000664,-48.000000000003595,-113.99999999999189,-123.99999999999523,,-581.9999999999869
2015.09.21,-62.99999999999084,-95.00000000000064,-48.99999999999905,-226.9999999999772,-201.00000000000674,-104.99999999998977,,-739.9999999999642
2015.09.21,-32.999999999994145,-21.999999999988695,19.999999999997797,-62.000000000006494,-129.99999999998568,-65.99999999998829,,-292.9999999999655
2015.09.21,-80.99999999999774,-3.999999999981796,4.999999999999449,10.000000000021103,-156.00000000000057,-66.99999999999307,,-292.9999999999526
2015.09.21,-28.000000000005798,-24.999999999986144,-115.00000000000954,-52.99999999999194,-130.99999999999224,-184.99999999998806,,-536.9999999999737
2015.09.21,-25.999999999992696,-27.999999999983594,-101.00000000000664,-118.99999999998023,-246.99999999999721,-229.99999999998977,,-750.9999999999502
2015.09.21,110.99999999999443,-35.999999999991594,-99.00000000000463,-229.99999999999687,-344.99999999999534,-339.9999999999892,,-938.9999999999832
2015.09.21,164.99999999999292,-3.999999999981796,-81.00000000000884,-295.99999999998516,-405.9999999999952,-299.99999999999716,,-921.9999999999752
2015.09.21,85.00000000000173,7.0000000000014495,-177.00000000000495,-817.9999999999854,-822.9999999999959,-390.00000000000057,,-2115.9999999999836
2015.09.21,78.00000000000028,2.0000000000131024,-218.00000000000708,-918.9999999999809,-923.9999999999915,-480.99999999999454,,-2461.9999999999604
2015.09.21,106.99999999999044,-2.999999999997449,-237.00000000000944,-906.9999999999911,-943.000000000005,-512.0000000000005,,-2495.0000000000127
2015.09.21,90.99999999999665,6.000000000017103,-241.00000000000233,-883.9999999999737,-912.999999999986,-504.99999999999545,,-2445.9999999999436
2015.09.21,99.99999999998899,18.0000000000069,-250.00000000000577,-774.000000000008,-838.0000000000055,-530.0000000000011,,-2274.0000000000246
2015.09.21,144.99999999999514,48.000000000003595,-326.9999999999995,-755.9999999999789,-893.9999999999948,-617.999999999995,,-2401.999999999969
2015.09.21,123.99999999999079,45.000000000006146,-329.00000000000153,-642.9999999999936,-804.9999999999891,-616.9999999999902,,-2224.9999999999773
2015.09.21,90.99999999999665,29.00000000001235,-420.00000000000927,-795.0000000000124,-866.9999999999956,-643.9999999999912,,-2605.9999999999995
2015.09.21,93.00000000000975,46.0000000000127,-406.00000000000637,-842.0000000000094,-875.999999999988,-655.0000000000011,,-2639.9999999999827
2015.09.21,87.99999999999919,52.000000000007596,-422.00000000000017,-795.0000000000124,-907.9999999999977,-631.9999999999908,,-2616.9999999999945
2015.09.21,52.99999999999194,69.00000000000794,-420.00000000000927,-937.00000000001,-733.9999999999902,-585.9999999999985,,-2555.000000000008
2015.09.21,146.00000000000168,202.00000000001327,-363.0000000000022,-795.0000000000124,-726.0000000000044,-545.0000000000017,,-2081.000000000006
2015.09.21,255.00000000000523,121.99999999999989,-372.0000000000057,-965.0000000000158,-831.9999999999883,-470.9999999999894,,-2262.999999999994
