date,GBPUSD,USDJPY,GBPCHF,CHFJPY,AUDCHF,EURGBP,GBPJPY,EURCAD,EURAUD,CADJPY,NZDCAD,AUDNZD,empty,sum
2020.09.07,-103.99999999999298,-34.000000000006025,-40.99999999997994,-155.00000000000114,-43.999999999999595,-154.99999999999403,-59.00000000002592,-253.99999999999866,-62.000000000006494,-147.99999999999613,0.0,-124.00000000001299,,-1180.0000000000139
2020.09.07,-55.99999999998939,-19.000000000005457,-41.99999999998649,-81.99999999999363,-58.000000000002494,-82.99999999999974,-70.0000000000216,-197.00000000000273,-92.99999999998754,-137.00000000000045,90.0000000000012,-86.0000000000083,,-832.9999999999967
2020.09.07,-17.999999999984695,-37.00000000000614,-89.99999999999008,-67.99999999999784,-179.00000000000693,-46.00000000000159,-193.00000000001205,-320.9999999999935,1.0000000000065512,-217.9999999999893,95.00000000000064,-49.00000000001015,,-1122.999999999985
2020.09.07,8.000000000008,-29.000000000010573,-57.99999999998029,-126.99999999999534,-60.99999999999994,7.9999999999968985,-136.0000000000241,-297.9999999999983,78.00000000000028,-170.99999999999227,136.99999999999824,-4.000000000004,,-653.0000000000015
2020.09.07,4.000000000004,-15.000000000000568,-37.99999999998249,-134.00000000000034,-33.000000000005244,-0.999999999995449,-87.00000000001751,-283.99999999999534,12.999999999996348,-152.9999999999916,156.00000000000057,12.999999999996348,,-558.9999999999912
2020.09.07,55.000000000005045,1.9999999999953388,-49.99999999999449,-141.9999999999959,-31.000000000003247,11.00000000000545,-74.00000000001228,-258.0000000000027,-22.999999999995246,-114.99999999999488,158.99999999999804,-14.000000000002899,,-479.99999999999767
2020.09.07,59.000000000009045,6.999999999990791,-27.999999999983594,-134.00000000000034,-24.000000000001798,-7.9999999999968985,-62.00000000001182,-251.00000000000122,-72.99999999998974,-143.00000000000068,140.99999999999113,15.999999999993797,,-500.0000000000013
2020.09.07,-2.999999999997449,9.000000000000341,-3.999999999981796,-235.99999999999,0.0,-27.999999999994696,-45.000000000015916,-235.99999999999176,-225.99999999999287,-134.00000000000034,126.99999999999933,56.99999999999594,,-718.9999999999693
2020.09.07,-0.9999999999843467,27.999999999991587,14.000000000002899,-191.99999999999307,4.999999999999449,-26.999999999999247,-4.000000000019099,-262.999999999991,-120.99999999999334,-118.99999999999977,132.99999999999423,100.99999999999554,,-445.99999999999613
2020.09.07,23.00000000001745,12.999999999991019,13.000000000018552,-117.999999999995,34.99999999999615,-10.999999999994348,-14.000000000010004,-245.99999999999068,-158.99999999999804,-113.99999999999011,126.99999999999933,116.99999999998934,,-333.99999999996635
