date,EURUSD,EURCHF,NZDCAD,empty,sum
2017.11.06,-39.999999999995595,-55.000000000005045,0.0,,-95.00000000000064
2017.11.06,-82.00000000000429,-68.00000000000139,112.000000000001,,-38.00000000000469
2017.11.06,-80.99999999999774,-126.0000000000039,80.99999999999774,,-126.00000000000391
2017.11.06,-73.99999999999629,-127.99999999999478,68.00000000000139,,-133.99999999998968
2017.11.06,-66.99999999999484,-100.99999999999554,36.999999999998145,,-130.99999999999224
2017.11.06,-38.99999999998904,-120.99999999999334,37.99999999999359,,-121.99999999998879
2017.11.06,8.000000000008,-165.9999999999995,17.999999999995797,,-139.99999999999568
2017.11.06,-42.999999999993044,-146.00000000000168,34.99999999999615,,-153.99999999999858
2017.11.06,-104.99999999999955,-146.99999999998602,-128.00000000000588,,-379.9999999999915
2017.11.06,-143.99999999998857,-122.99999999998423,-145.00000000000622,,-411.9999999999791
2017.11.06,-75.99999999998718,-116.00000000000499,-124.99999999999733,,-316.9999999999895
2017.11.06,-85.99999999998609,-113.99999999999189,-111.00000000000554,,-310.9999999999835
2017.11.06,-62.99999999999084,-147.99999999999258,-84.0000000000063,,-294.9999999999897
2017.11.06,-44.99999999998394,-160.00000000000458,-43.00000000000415,,-247.99999999999267
2017.11.06,-19.999999999997797,-204.00000000000418,-50.0000000000056,,-274.0000000000076
2017.11.06,-34.99999999998504,-205.99999999999508,-141.00000000000225,,-381.9999999999824
2017.11.06,-58.99999999998684,-243.99999999999977,-292.00000000000335,,-594.99999999999
2017.11.06,-68.00000000000139,-261.0000000000001,-280.00000000000244,,-609.0000000000039
2017.11.06,-4.999999999988347,-270.99999999999903,-219.99999999999798,,-495.99999999998533
2017.11.06,-66.99999999999484,-234.00000000000088,-253.0000000000032,,-553.999999999999
2017.11.06,-52.99999999999194,-305.9999999999841,-238.0000000000049,,-596.9999999999809
2017.11.06,-17.999999999984695,-287.9999999999994,-178.00000000000037,,-483.9999999999844
2017.11.06,-39.999999999995595,-221.99999999998886,-151.9999999999966,,-413.999999999981
2017.11.06,21.00000000000435,-157.99999999999147,-190.00000000000128,,-326.9999999999884
2017.11.06,24.000000000001798,-133.99999999998968,-223.00000000000654,,-332.99999999999443
2017.11.06,-43.999999999999595,-133.00000000000534,-201.00000000000674,,-378.0000000000117
2017.11.06,-4.000000000004,-92.99999999998754,-226.00000000000398,,-322.9999999999955
2017.11.06,109.00000000000354,-62.99999999999084,-201.00000000000674,,-154.99999999999403
2017.11.06,126.0000000000039,36.999999999998145,-148.0000000000037,,14.999999999998352
2017.11.06,192.99999999999872,76.0000000000094,-87.99999999999919,,181.00000000000892
2017.11.06,112.000000000001,62.000000000006494,-68.00000000000139,,106.00000000000611
2017.11.06,123.00000000000644,63.99999999999739,19.999999999997797,,207.00000000000165
2017.11.06,219.00000000001364,104.99999999999955,21.999999999999797,,346.00000000001296
2017.11.06,175.00000000001404,187.00000000000384,59.99999999999339,,422.00000000001125
2017.11.06,212.99999999999653,188.00000000001037,10.999999999994348,,412.0000000000013
2017.11.06,178.00000000001148,114.99999999999844,-38.0000000000047,,255.0000000000052
2017.11.06,202.00000000001327,158.0000000000137,-92.00000000000318,,268.00000000002376
2017.11.06,66.00000000001049,190.00000000000128,-80.00000000000229,,176.0000000000095
2017.11.06,-5.999999999994898,185.00000000001293,-19.00000000000235,,160.00000000001566
2017.11.06,-38.99999999998904,160.00000000000458,-9.00000000000345,,112.00000000001208
2017.11.06,-63.99999999999739,161.00000000001114,26.000000000003798,,123.00000000001755
2017.11.06,-18.999999999991246,187.00000000000384,14.999999999998348,,183.00000000001094
2017.11.06,-51.99999999998539,217.0000000000005,26.999999999999247,,192.00000000001438
2017.11.06,-11.999999999989797,245.0000000000063,34.99999999999615,,268.0000000000127
2017.11.06,19.00000000001345,278.00000000000045,48.99999999999905,,346.00000000001296
2017.11.06,0.0,273.9999999999965,12.999999999996348,,286.99999999999284
2017.11.06,-25.999999999992696,268.0000000000016,7.0000000000014495,,249.00000000001035
2017.11.06,-24.999999999986144,275.000000000003,95.99999999999609,,346.00000000001296
2017.11.07,-53.999999999998494,258.0000000000027,-53.00000000000304,,151.00000000000114
2017.11.07,-29.999999999996696,221.00000000000452,126.99999999999933,,318.00000000000716
2017.11.07,-7.999999999985796,246.00000000001288,100.00000000000009,,338.00000000002717
2017.11.07,-38.0000000000047,229.99999999999687,109.99999999999899,,301.9999999999912
2017.11.07,-26.999999999999247,243.00000000001543,165.9999999999995,,382.0000000000157
