,Unnamed: 0,names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
0,0,USDCHF,10,['EURJPY'],80.0,-0.9598599999999983,S
1,1,EURUSD,10,['EURJPY'],80.0,0.9531100000000029,B
2,2,USDJPY,15,['CADCHF'],80.0,-0.11227058108558229,S
3,3,USDCAD,10,"['CHFJPY', 'EURCHF', 'AUDCHF']",80.0,0.509,B
4,4,AUDUSD,20,"['EURCHF', 'AUDCHF']",100.0,-1.0,S
5,5,NZDUSD,10,['EURCHF'],80.0,-1.0,S
6,6,EURCHF,50,['GBPJPY'],80.0,-0.4625250305343632,S
7,7,CHFJPY,10,"['NZDCAD', 'GBPCAD', 'EURJPY']",100.0,-0.3959,S
8,8,CADCHF,10,['GBPAUD'],100.0,-0.7470063492062955,S
9,9,AUDCHF,15,['AUDCHF'],80.0,-0.7794779267954016,S
10,10,EURGBP,50,"['EURUSD', 'GBPCHF', 'USDCHF', 'USDCAD', 'EURGBP']",80.0,0.4989372402597479,B
11,11,GBPJPY,10,"['USDCHF', 'EURNZD', 'NZDCHF', 'EURUSD']",80.0,-0.4801,S
12,12,GBPAUD,50,"['USDCHF', 'EURCAD']",80.0,0.19990612776811928,B
13,13,EURJPY,10,"['GBPCAD', 'EURCAD', 'NZDCAD', 'USDJPY', 'GBPCHF', 'CADJPY', 'GBPUSD']",80.0,-0.9348,S
14,14,EURCAD,20,"['AUDCAD', 'AUDUSD']",80.0,0.45578926094201644,B
15,15,EURAUD,10,['EURCHF'],80.0,0.7498285714285186,B
16,16,CADJPY,20,"['AUDCAD', 'EURAUD', 'AUDUSD']",100.0,-0.39721671618456456,S
17,17,AUDCAD,30,['EURCHF'],100.0,-0.40918479678371394,S
18,18,NZDCAD,10,['EURCHF'],80.0,-0.7494958333332824,S
19,19,AUDNZD,50,"['CHFJPY', 'GBPCHF', 'GBPCAD', 'NZDCHF', 'GBPUSD', 'AUDUSD', 'EURCAD', 'EURUSD', 'GBPJPY', 'EURGBP']",100.0,-0.7385886904761909,S
