timeframe,profit,0,timeframe1,drawup,1,timeframe2,drawdown
2020.03.27 22:30,-17525.000000000004,,2020.03.23 03:00,14848.999999999984,,2020.03.25 10:00,-30033.0
2020.03.27 22:00,-17600.000000000022,,2020.03.23 07:00,13555.999999999978,,2020.03.25 10:30,-29920.00000000002
2020.03.27 21:30,-18812.000000000007,,2020.03.23 02:30,12698.000000000011,,2020.03.25 11:00,-29069.00000000007
2020.03.27 21:00,-21941.000000000022,,2020.03.23 07:30,12480.0,,2020.03.25 11:30,-28613.000000000015
2020.03.27 20:30,-22268.000000000015,,2020.03.23 04:30,12293.999999999976,,2020.03.25 09:30,-28399.000000000007
2020.03.27 20:00,-19939.00000000003,,2020.03.23 06:30,12059.999999999973,,2020.03.25 08:30,-27000.0
2020.03.27 19:30,-20638.000000000015,,2020.03.23 05:00,11876.000000000022,,2020.03.25 07:30,-26836.00000000005
2020.03.27 19:00,-17467.000000000007,,2020.03.23 12:30,11601.999999999949,,2020.03.25 09:00,-26296.000000000044
2020.03.27 18:30,-17791.000000000062,,2020.03.23 06:00,11386.999999999964,,2020.03.25 07:00,-25947.00000000003
2020.03.27 18:00,-16419.000000000022,,2020.03.23 13:30,11316.999999999987,,2020.03.25 08:00,-25708.999999999953
2020.03.27 17:30,-15194.000000000018,,2020.03.23 03:30,11218.000000000036,,2020.03.25 12:00,-25219.99999999998
2020.03.27 17:00,-12831.00000000003,,2020.03.23 05:30,11186.999999999989,,2020.03.25 15:00,-25117.000000000033
2020.03.27 16:30,-10332.000000000042,,2020.03.23 04:00,10783.999999999965,,2020.03.25 14:30,-23599.00000000004
2020.03.27 16:00,-11108.000000000011,,2020.03.23 10:30,10654.99999999997,,2020.03.25 14:00,-23351.999999999967
2020.03.27 15:30,-12013.000000000018,,2020.03.23 08:30,10518.999999999996,,2020.03.25 13:30,-22670.0
2020.03.27 15:00,-13802.999999999984,,2020.03.23 09:00,10466.999999999982,,2020.03.25 06:30,-22603.000000000015
2020.03.27 14:30,-10433.000000000015,,2020.03.23 00:30,10322.999999999993,,2020.03.27 20:30,-22268.000000000015
2020.03.27 14:00,-12633.000000000025,,2020.03.23 01:30,10282.99999999999,,2020.03.25 15:30,-22038.999999999993
2020.03.27 13:30,-13263.999999999984,,2020.03.23 13:00,10220.999999999996,,2020.03.27 21:00,-21941.000000000022
2020.03.27 13:00,-13523.000000000024,,2020.03.23 08:00,9926.999999999938,,2020.03.25 13:00,-21608.000000000033
2020.03.27 12:30,-16347.000000000045,,2020.03.23 11:00,9912.999999999973,,2020.03.25 12:30,-21185.00000000004
2020.03.27 12:00,-15208.000000000015,,2020.03.23 12:00,9843.0,,2020.03.27 19:30,-20638.000000000015
2020.03.27 11:30,-14432.000000000044,,2020.03.23 17:30,9726.999999999953,,2020.03.27 20:00,-19939.00000000003
2020.03.27 11:00,-15293.00000000001,,2020.03.23 11:30,9617.999999999976,,2020.03.25 16:00,-19800.999999999978
2020.03.27 10:30,-14322.000000000033,,2020.03.23 01:00,9517.999999999955,,2020.03.25 19:00,-19544.999999999975
2020.03.27 10:00,-14740.000000000027,,2020.03.23 17:00,8947.999999999975,,2020.03.25 06:00,-18964.000000000025
2020.03.27 09:30,-15951.000000000016,,2020.03.23 02:00,8676.00000000001,,2020.03.25 16:30,-18872.99999999995
2020.03.27 09:00,-14231.00000000004,,2020.03.23 10:00,8410.000000000004,,2020.03.27 21:30,-18812.000000000007
2020.03.27 08:30,-15272.000000000004,,2020.03.23 18:00,7478.00000000003,,2020.03.24 23:00,-18699.000000000055
2020.03.27 08:00,-16440.999999999985,,2020.03.23 09:30,6304.999999999947,,2020.03.26 21:00,-18540.000000000065
2020.03.27 07:30,-18057.000000000022,,2020.03.23 00:00,5943.999999999983,,2020.03.25 20:30,-18536.00000000003
2020.03.27 07:00,-17108.0,,2020.03.23 15:00,5785.000000000007,,2020.03.25 05:30,-18397.999999999993
2020.03.27 06:30,-15995.000000000045,,2020.03.23 21:00,5403.999999999979,,2020.03.25 18:30,-18299.00000000001
2020.03.27 06:00,-16175.000000000051,,2020.03.23 16:30,5018.999999999966,,2020.03.26 22:30,-18142.000000000036
2020.03.27 05:30,-17068.00000000008,,2020.03.23 14:00,4952.999999999987,,2020.03.27 07:30,-18057.000000000022
2020.03.27 05:00,-17172.000000000055,,2020.03.23 18:30,4777.999999999978,,2020.03.26 20:30,-17954.0
2020.03.27 04:30,-16363.000000000055,,2020.03.23 19:00,4134.999999999963,,2020.03.25 18:00,-17943.000000000004
2020.03.27 04:00,-14743.000000000027,,2020.03.23 14:30,4092.9999999999436,,2020.03.25 00:00,-17891.999999999996
2020.03.27 03:30,-16248.000000000031,,2020.03.23 21:30,4073.999999999957,,2020.03.27 18:30,-17791.000000000062
2020.03.27 03:00,-14900.000000000058,,2020.03.23 19:30,3263.9999999999454,,2020.03.25 22:30,-17790.00000000002
2020.03.27 02:30,-14535.000000000065,,2020.03.23 22:00,3239.9999999999795,,2020.03.25 21:00,-17730.999999999993
2020.03.27 02:00,-16250.000000000055,,2020.03.23 16:00,2814.999999999988,,2020.03.27 22:00,-17600.000000000022
2020.03.27 01:30,-16943.99999999994,,2020.03.23 15:30,2647.0000000000214,,2020.03.26 18:00,-17587.000000000036
2020.03.27 01:00,-16062.00000000003,,2020.03.23 20:00,2616.9999999999923,,2020.03.27 22:30,-17525.000000000004
2020.03.27 00:30,-13232.000000000031,,2020.03.23 20:30,2494.999999999992,,2020.03.26 18:30,-17474.999999999996
2020.03.27 00:00,-14141.000000000036,,2020.03.23 23:30,573.9999999999352,,2020.03.27 19:00,-17467.000000000007
2020.03.26 23:30,-14695.999999999953,,2020.03.23 23:00,536.9999999999752,,2020.03.25 22:00,-17428.000000000015
2020.03.26 23:00,-17128.999999999978,,2020.03.24 00:00,-44.0000000000277,,2020.03.25 01:00,-17299.000000000044
2020.03.26 22:30,-18142.000000000036,,2020.03.24 00:30,-1109.9999999999984,,2020.03.25 00:30,-17288.99999999997
2020.03.26 22:00,-16983.000000000004,,2020.03.24 01:00,-1427.9999999999714,,2020.03.26 16:00,-17215.00000000003
2020.03.26 21:30,-17133.00000000001,,2020.03.23 22:30,-1604.0000000000264,,2020.03.27 05:00,-17172.000000000055
2020.03.26 21:00,-18540.000000000065,,2020.03.24 14:00,-1636.999999999987,,2020.03.26 15:00,-17153.000000000036
2020.03.26 20:30,-17954.0,,2020.03.24 13:30,-1773.0000000000127,,2020.03.26 16:30,-17145.000000000036
2020.03.26 20:00,-16398.0,,2020.03.26 03:00,-2051.9999999999854,,2020.03.26 21:30,-17133.00000000001
2020.03.26 19:30,-16141.000000000027,,2020.03.26 03:30,-2783.000000000058,,2020.03.26 23:00,-17128.999999999978
2020.03.26 19:00,-15609.00000000005,,2020.03.24 01:30,-3557.000000000048,,2020.03.27 07:00,-17108.0
2020.03.26 18:30,-17474.999999999996,,2020.03.24 14:30,-3636.000000000052,,2020.03.27 05:30,-17068.00000000008
2020.03.26 18:00,-17587.000000000036,,2020.03.26 04:00,-3658.9999999999995,,2020.03.25 20:00,-17036.000000000025
2020.03.26 17:30,-16636.000000000007,,2020.03.24 02:30,-4200.000000000018,,2020.03.25 04:30,-17000.000000000004
2020.03.26 17:00,-16893.000000000044,,2020.03.24 02:00,-4897.000000000009,,2020.03.25 23:00,-16998.000000000044
2020.03.26 16:30,-17145.000000000036,,2020.03.24 13:00,-4941.000000000021,,2020.03.26 22:00,-16983.000000000004
2020.03.26 16:00,-17215.00000000003,,2020.03.24 03:00,-4941.000000000023,,2020.03.27 01:30,-16943.99999999994
2020.03.26 15:30,-16784.00000000002,,2020.03.24 06:30,-5275.999999999993,,2020.03.26 17:00,-16893.000000000044
2020.03.26 15:00,-17153.000000000036,,2020.03.26 02:30,-5294.999999999996,,2020.03.25 05:00,-16788.000000000047
2020.03.26 14:30,-14925.999999999985,,2020.03.24 07:30,-5352.999999999983,,2020.03.26 15:30,-16784.00000000002
2020.03.26 14:00,-11973.999999999995,,2020.03.24 07:00,-5759.999999999997,,2020.03.25 21:30,-16702.99999999996
2020.03.26 13:30,-12458.000000000036,,2020.03.24 06:00,-5841.000000000047,,2020.03.26 17:30,-16636.000000000007
2020.03.26 13:00,-13396.999999999998,,2020.03.26 04:30,-5976.000000000005,,2020.03.25 19:30,-16581.000000000033
2020.03.26 12:30,-11696.000000000038,,2020.03.26 05:00,-6243.000000000023,,2020.03.24 23:30,-16580.999999999996
2020.03.26 12:00,-10061.999999999984,,2020.03.24 12:30,-6243.999999999968,,2020.03.25 17:00,-16499.00000000004
2020.03.26 11:30,-10971.000000000015,,2020.03.24 03:30,-6295.000000000005,,2020.03.27 08:00,-16440.999999999985
2020.03.26 11:00,-10616.000000000033,,2020.03.24 15:00,-6392.000000000028,,2020.03.27 18:00,-16419.000000000022
2020.03.26 10:30,-9640.999999999975,,2020.03.26 08:30,-6400.000000000034,,2020.03.26 20:00,-16398.0
2020.03.26 10:00,-9773.0,,2020.03.24 05:30,-6507.000000000006,,2020.03.27 04:30,-16363.000000000055
2020.03.26 09:30,-9988.000000000007,,2020.03.26 07:30,-7383.000000000006,,2020.03.25 23:30,-16355.999999999998
2020.03.26 09:00,-8550.000000000013,,2020.03.26 01:00,-7557.000000000035,,2020.03.27 12:30,-16347.000000000045
2020.03.26 08:30,-6400.000000000034,,2020.03.24 04:00,-7645.000000000039,,2020.03.27 02:00,-16250.000000000055
2020.03.26 08:00,-7700.000000000038,,2020.03.26 08:00,-7700.000000000038,,2020.03.27 03:30,-16248.000000000031
2020.03.26 07:30,-7383.000000000006,,2020.03.26 01:30,-7725.0000000000455,,2020.03.27 06:00,-16175.000000000051
2020.03.26 07:00,-8095.0000000000355,,2020.03.26 05:30,-7897.000000000043,,2020.03.26 19:30,-16141.000000000027
2020.03.26 06:30,-9525.000000000031,,2020.03.26 07:00,-8095.0000000000355,,2020.03.25 17:30,-16074.00000000005
2020.03.26 06:00,-10135.0,,2020.03.26 02:00,-8314.999999999996,,2020.03.27 01:00,-16062.00000000003
2020.03.26 05:30,-7897.000000000043,,2020.03.26 09:00,-8550.000000000013,,2020.03.27 06:30,-15995.000000000045
2020.03.26 05:00,-6243.000000000023,,2020.03.26 00:30,-8877.00000000006,,2020.03.25 01:30,-15989.00000000003
2020.03.26 04:30,-5976.000000000005,,2020.03.24 08:00,-8895.999999999993,,2020.03.25 04:00,-15985.000000000024
2020.03.26 04:00,-3658.9999999999995,,2020.03.24 11:30,-8908.000000000011,,2020.03.27 09:30,-15951.000000000016
2020.03.26 03:30,-2783.000000000058,,2020.03.24 05:00,-8978.000000000013,,2020.03.26 19:00,-15609.00000000005
2020.03.26 03:00,-2051.9999999999854,,2020.03.24 04:30,-9081.999999999989,,2020.03.24 22:30,-15444.000000000031
2020.03.26 02:30,-5294.999999999996,,2020.03.24 12:00,-9094.000000000007,,2020.03.25 03:30,-15373.000000000018
2020.03.26 02:00,-8314.999999999996,,2020.03.26 06:30,-9525.000000000031,,2020.03.27 11:00,-15293.00000000001
2020.03.26 01:30,-7725.0000000000455,,2020.03.24 10:30,-9554.99999999997,,2020.03.27 08:30,-15272.000000000004
2020.03.26 01:00,-7557.000000000035,,2020.03.26 10:30,-9640.999999999975,,2020.03.24 17:00,-15255.000000000018
2020.03.26 00:30,-8877.00000000006,,2020.03.26 10:00,-9773.0,,2020.03.27 12:00,-15208.000000000015
2020.03.26 00:00,-14038.999999999989,,2020.03.24 09:30,-9821.999999999996,,2020.03.27 17:30,-15194.000000000018
2020.03.25 23:30,-16355.999999999998,,2020.03.24 08:30,-9838.000000000045,,2020.03.25 02:00,-15171.0
2020.03.25 23:00,-16998.000000000044,,2020.03.24 15:30,-9878.000000000025,,2020.03.25 03:00,-14950.000000000005
2020.03.25 22:30,-17790.00000000002,,2020.03.26 09:30,-9988.000000000007,,2020.03.26 14:30,-14925.999999999985
2020.03.25 22:00,-17428.000000000015,,2020.03.24 19:30,-10048.00000000002,,2020.03.27 03:00,-14900.000000000058
2020.03.25 21:30,-16702.99999999996,,2020.03.26 12:00,-10061.999999999984,,2020.03.27 04:00,-14743.000000000027
