date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,CHFJPY,AUDCHF,EURGBP,GBPJPY,empty,sum
2015.08.03,-181.9999999999933,-96.99999999999153,-26.999999999999247,-46.00000000000648,0.0,-315.0000000000097,-89.99999999999008,-298.9999999999924,-152.99999999999204,-34.000000000000696,0.0,,-1242.9999999999754
2015.08.03,-164.99999999999292,-64.99999999998174,53.999999999998494,-55.999999999997385,9.000000000014552,-92.00000000000318,-30.999999999992145,-244.99999999999034,-129.9999999999968,34.99999999999615,-9.000000000014552,,-694.9999999999599
2015.08.03,-224.9999999999974,-111.99999999997878,2.999999999997449,-125.0,-8.999999999992347,-102.00000000000209,-121.99999999999989,-215.99999999999397,-65.99999999999939,23.999999999990695,-81.00000000001728,,-1030.9999999999932
2015.08.03,-188.9999999999947,-60.99999999999994,31.000000000003247,-87.99999999999386,-15.999999999993797,-95.00000000000064,-130.99999999999224,-219.0000000000083,-59.99999999999339,20.999999999993246,-104.00000000001342,,-910.9999999999937
2015.08.03,-217.99999999999596,-25.999999999992696,22.999999999995246,-132.000000000005,-127.99999999999478,-95.00000000000064,-151.9999999999966,-209.99999999999375,-39.999999999995595,-10.000000000010001,-224.00000000001796,,-1212.0000000000077
2015.08.03,-244.99999999999523,-80.99999999999774,-49.00000000001015,-197.00000000000273,-395.99999999999636,-206.00000000000617,-245.99999999999068,-279.0000000000106,-122.99999999999534,-50.0000000000056,-354.0000000000134,,-2226.000000000024
2015.08.03,-234.99999999999633,-134.99999999999625,-59.99999999999339,-246.9999999999999,-453.99999999999886,-260.00000000000466,-297.9999999999983,-345.9999999999894,-192.99999999999872,-4.999999999999449,-248.99999999999523,,-2481.999999999971
2015.08.03,-188.9999999999947,-126.99999999998823,2.999999999997449,-227.99999999999443,-356.00000000000074,-189.00000000000583,-244.99999999999523,-409.000000000006,-163.99999999999747,24.999999999997247,-221.00000000000364,,-2099.999999999992
2015.08.03,-104.99999999999955,-72.99999999998974,49.99999999999449,-158.00000000000125,-317.9999999999961,-114.00000000000298,-188.9999999999947,-394.999999999996,-134.99999999999625,39.999999999995595,-167.0000000000016,,-1563.9999999999882
2015.08.03,-146.99999999999713,-115.99999999998278,9.999999999998899,-114.99999999999488,-353.0000000000033,-196.00000000000728,-230.99999999999233,-335.9999999999985,-180.0000000000024,41.9999999999976,-99.00000000001796,,-1721.0
2015.08.03,-169.99999999999238,-125.99999999998168,-8.000000000008,-170.0000000000017,-351.99999999999676,-178.00000000000037,-205.99999999999508,-323.99999999999807,-152.99999999999204,36.999999999998145,-88.99999999999864,,-1738.9999999999666
2015.08.03,-153.99999999999858,-111.99999999997878,8.000000000008,-146.0000000000008,-365.99999999999966,-155.00000000000514,-192.99999999999872,-380.999999999986,-171.99999999999437,41.9999999999976,-117.00000000001864,,-1745.999999999975
2015.08.03,-97.00000000000264,-107.99999999999699,11.999999999989797,-153.0000000000058,-320.9999999999935,-167.00000000000603,-205.99999999999508,-440.9999999999883,-197.99999999999818,48.99999999999905,-134.00000000001455,,-1764.0000000000123
2015.08.03,-63.99999999999739,-77.99999999997809,107.99999999999699,-159.00000000000603,-297.9999999999983,-155.00000000000514,-183.99999999999528,-507.99999999999557,-224.000000000002,73.99999999999629,-194.99999999999318,,-1682.9999999999775
2015.08.03,-51.99999999999649,-42.999999999993044,85.00000000000173,-147.00000000000557,-315.99999999998295,-202.0000000000022,-197.99999999999818,-469.0000000000083,-251.99999999999667,64.99999999999284,-187.00000000001182,,-1716.0000000000005
2015.08.03,-76.99999999999375,-102.99999999998644,51.000000000001044,-177.99999999999727,-409.99999999999926,-221.99999999999997,-197.99999999999818,-501.99999999999534,-278.9999999999959,67.9999999999903,-167.0000000000016,,-2016.9999999999764
