date,EURUSD,USDCAD,EURJPY,AUDJPY,NZDCAD,empty,sum
2015.12.07,-113.99999999999189,-40.0000000000178,-105.99999999999454,-103.9999999999992,-60.00000000000449,,-424.0000000000079
2015.12.07,-99.00000000000463,-37.00000000002035,-116.00000000001387,-105.99999999999454,-200.00000000000017,,-558.0000000000337
2015.12.07,-190.99999999998562,25.999999999992696,-191.0000000000025,-55.999999999997385,-209.9999999999991,,-621.9999999999919
2015.12.07,-185.99999999999727,85.99999999998609,-212.99999999999386,-75.9999999999934,-140.0000000000068,,-529.0000000000052
2015.12.07,-129.00000000000134,175.99999999999838,-164.0000000000157,-63.99999999999295,-130.0000000000079,,-311.0000000000195
2015.12.07,-78.99999999998464,200.99999999998454,-79.00000000000773,2.0000000000095497,-240.00000000000688,,-195.00000000000517
2015.12.07,-38.0000000000047,194.99999999998963,-51.00000000001614,-10.99999999999568,-240.00000000000688,,-145.00000000003376
2015.12.07,-31.999999999987594,157.99999999999147,-38.000000000010914,-36.99999999999193,-309.99999999999915,,-258.9999999999981
2015.12.07,-11.999999999989797,162.99999999997982,-51.00000000001614,-75.9999999999934,-390.0000000000015,,-366.00000000002103
2015.12.07,58.000000000002494,212.99999999999653,-8.000000000009777,-28.999999999996362,-400.00000000000034,,-166.00000000000745
2015.12.07,69.00000000000794,246.99999999999721,-18.000000000000682,-121.99999999999989,-380.00000000000256,,-203.99999999999795
2015.12.07,38.0000000000047,244.9999999999841,-28.999999999996362,-131.00000000000023,-460.00000000000483,,-337.0000000000126
2015.12.07,36.999999999998145,275.9999999999874,-18.000000000000682,-49.99999999999716,-470.00000000000375,,-225.0000000000161
2015.12.07,41.000000000002146,266.999999999995,-27.000000000015234,-51.9999999999925,-450.00000000000597,,-221.00000000001654
2015.12.07,35.00000000000725,230.9999999999812,-50.00000000001137,-87.0000000000033,-460.00000000000483,,-331.00000000003104
2015.12.07,29.999999999996696,265.99999999998846,-58.9999999999975,-36.000000000001364,-450.00000000000597,,-249.00000000001967
2015.12.07,1.0000000000065512,273.9999999999965,-84.00000000000318,-48.99999999999238,-430.00000000000813,,-288.0000000000007
2015.12.07,-8.999999999992347,229.99999999999687,-82.99999999999841,-93.00000000000352,-420.00000000000927,,-375.0000000000067
2015.12.07,-43.999999999999595,228.99999999999034,-99.99999999999432,-84.99999999999375,-409.99999999999926,,-409.9999999999966
2015.12.07,14.000000000002899,264.9999999999819,-58.9999999999975,-67.99999999999784,-380.00000000000256,,-228.00000000001307
2015.12.07,70.99999999999883,268.0000000000016,26.00000000001046,-46.999999999997044,-530.0000000000082,,-211.99999999999432
2015.12.07,316.0000000000052,449.9999999999948,205.99999999998886,153.99999999999636,-560.0000000000049,,565.9999999999803
2015.12.07,439.0000000000116,444.9999999999843,326.9999999999982,159.9999999999966,-550.000000000006,,820.9999999999847
2015.12.07,480.00000000001376,503.99999999999335,342.9999999999893,195.0000000000074,-550.000000000006,,971.9999999999976
2015.12.07,510.99999999999477,556.0000000000009,375.0,188.0000000000024,-640.0000000000073,,989.9999999999909
2015.12.07,539.0000000000006,550.9999999999903,454.00000000000773,168.99999999999693,-600.0000000000006,,1112.999999999995
2015.12.07,422.00000000001125,546.9999999999864,352.00000000000387,195.99999999999795,-540.0000000000072,,976.9999999999922
2015.12.07,422.9999999999956,605.9999999999955,346.00000000000364,252.00000000000955,-600.0000000000006,,1027.0000000000036
