date,USDCHF,GBPUSD,EURUSD,USDJPY,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2017.11.13,-65.00000000000395,-137.9999999999937,-25.00000000000835,-55.999999999997385,-26.000000000003798,-126.0000000000039,-304.9999999999997,0.0,-56.99999999999594,-45.000000000006146,-2.999999999997449,-221.99999999998,-218.99999999999142,-176.99999999998272,-135.99999999999568,0.0,-114.99999999999844,-181.9999999999933,-125.0,-15.999999999991132,0.0,-22.999999999995246,-216.0000000000051,-36.999999999998145,,-2313.9999999999413
2017.11.13,-112.99999999999643,-137.9999999999937,-18.0000000000069,-123.00000000000466,-43.00000000000415,-135.00000000000733,-295.99999999998516,81.00000000000307,-93.99999999999409,-69.00000000000794,-26.999999999999247,-246.99999999998568,-211.99999999998997,-240.9999999999801,-209.00000000000318,171.99999999999437,-171.00000000001003,-373.99999999998545,-174.0000000000066,-6.999999999990791,85.99999999999852,-7.9999999999968985,-215.00000000000963,-148.99999999999915,,-2723.9999999999604
2017.11.13,-112.99999999999643,-78.00000000000028,-5.999999999994898,-207.9999999999984,-19.00000000000235,-123.00000000000644,-337.99999999999386,103.9999999999992,-107.99999999999699,-53.00000000000304,-131.99999999999878,-265.99999999999113,-218.00000000000708,-213.99999999998087,-331.99999999999363,242.99999999999324,-226.99999999999943,-421.99999999998903,-224.00000000000375,42.00000000000159,128.0000000000001,62.000000000006494,-250.00000000000577,-120.99999999999334,,-2872.9999999999554
2017.11.13,-127.99999999999478,84.0000000000174,25.999999999992696,-221.00000000000364,-26.000000000003798,-124.00000000000189,-353.99999999998766,176.00000000000193,-129.00000000000134,-58.000000000002494,-373.99999999999653,-157.99999999998704,18.0000000000069,0.0,-347.0000000000084,276.9999999999939,-252.99999999999213,-370.00000000000364,-243.99999999999977,94.0000000000083,171.00000000000648,65.99999999999939,-248.99999999999923,-68.00000000000139,,-2190.9999999999573
2017.11.13,-226.00000000000398,357.00000000000733,-123.99999999999079,-227.00000000000387,-65.99999999999939,-136.00000000000279,-348.9999999999993,99.00000000000375,-188.9999999999947,-116.00000000000499,-378.999999999996,154.00000000002478,330.0000000000081,364.00000000000875,-335.00000000000796,129.99999999998568,-232.99999999999432,-303.9999999999932,-230.00000000000398,19.99999999999602,105.00000000000398,48.99999999999905,-269.00000000000813,-89.99999999999008,,-1664.999999999956
2017.11.13,-166.99999999999494,377.0000000000051,-124.99999999999733,-183.00000000000693,-30.000000000007798,-140.0000000000068,-269.9999999999925,99.00000000000375,-143.9999999999997,-101.00000000000664,-268.0000000000016,219.0000000000225,334.9999999999964,359.0000000000204,-147.99999999999613,118.99999999998023,-73.00000000001194,-278.00000000000045,-200.00000000000284,52.99999999999727,105.99999999999454,80.00000000000229,-273.000000000001,-99.99999999998899,,-752.999999999993
2017.11.13,-163.99999999999747,436.00000000001415,-126.0000000000039,-183.9999999999975,-43.00000000000415,-115.00000000000954,-268.9999999999859,128.0000000000001,-136.99999999999824,-69.00000000000794,-314.99999999999864,288.0000000000109,383.0,397.0000000000029,-164.99999999999204,139.00000000000023,-120.00000000000898,-248.99999999998812,-198.0000000000075,30.000000000001137,131.00000000000023,58.000000000002494,-250.00000000000577,-52.99999999999194,,-466.99999999996544
2017.11.13,-161.00000000000003,446.9999999999974,-106.99999999999044,-185.00000000000227,-28.000000000005798,-91.00000000000774,-261.0000000000001,135.99999999999568,-139.00000000000023,-90.0000000000012,-295.0000000000008,280.00000000000114,415.0000000000098,440.00000000001813,-170.99999999999227,135.9999999999806,-89.00000000000574,-282.9999999999888,-201.00000000000762,76.99999999999818,117.00000000000443,65.99999999999939,-213.00000000000762,-130.99999999999224,,-330.99999999999807
2017.11.13,-148.99999999999915,441.0000000000025,-78.00000000000028,-206.00000000000307,7.9999999999968985,-106.00000000000608,-275.000000000003,153.0000000000058,-139.00000000000023,-118.00000000000699,-331.0000000000035,255.00000000002387,425.99999999999307,504.0000000000156,-230.0000000000182,160.99999999998892,-39.999999999995595,-209.9999999999991,-228.9999999999992,109.00000000000887,155.00000000000114,104.99999999999955,-230.000000000008,-103.99999999999298,,-127.99999999999915
2017.11.13,-158.0000000000026,423.0000000000178,-85.00000000000173,-209.00000000000318,19.00000000000235,-126.99999999999933,-282.9999999999888,165.99999999999682,-147.99999999999258,-125.00000000000844,-314.99999999999864,216.00000000000819,422.00000000001125,526.0000000000042,-231.99999999999932,134.99999999999625,-12.000000000012001,-265.99999999998846,-233.0000000000041,144.99999999999602,170.0000000000017,121.99999999999989,-248.99999999999923,-144.99999999999514,,-242.99999999995902
