names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
USDCHF,15,"['GBPAUD', 'USDCHF', 'USDJPY']",80.0,1.0,S
GBPUSD,10,"['CADCHF', 'EURCAD']",100.0,0.6394523809523812,S
EURUSD,10,"['USDCHF', 'AUDCAD']",100.0,-0.8,B
USDJPY,50,"['GBPCAD', 'AUDNZD', 'GBPUSD', 'NZDUSD']",100.0,0.49818785462903137,S
AUDUSD,10,"['GBPCAD', 'EURCAD', 'CADCHF']",80.0,-0.76,B
NZDUSD,10,"['EURCAD', 'CADCHF', 'AUDCAD']",80.0,1.0,S
EURCHF,10,['AUDJPY'],80.0,1.0,S
CHFJPY,15,"['CHFJPY', 'USDJPY', 'GBPCAD', 'EURNZD']",100.0,-0.76,B
CADCHF,10,"['AUDCHF', 'NZDCAD', 'AUDCAD', 'EURCHF']",80.0,0.8316666666666666,S
AUDCHF,10,['USDCHF'],80.0,0.9680000000000001,S
EURGBP,20,"['EURGBP', 'GBPCAD']",100.0,0.6537034632034633,S
GBPJPY,15,"['CADCHF', 'EURCAD', 'USDCAD', 'GBPUSD']",100.0,0.3935,S
GBPCAD,10,"['CADJPY', 'EURCAD', 'CADCHF']",80.0,1.0,S
GBPAUD,10,['GBPCHF'],100.0,0.7301666666666666,S
EURJPY,30,"['NZDUSD', 'NZDCHF', 'AUDUSD', 'EURNZD', 'USDCAD', 'CADCHF', 'EURCAD']",80.0,0.92,S
EURCAD,10,"['AUDCHF', 'NZDCAD', 'AUDCAD', 'EURCHF']",80.0,-0.7979999999999999,B
EURAUD,20,"['AUDNZD', 'GBPCAD', 'NZDCHF', 'EURNZD', 'GBPCHF']",100.0,0.8606666666666668,S
EURNZD,20,['EURUSD'],100.0,0.6197045160721633,S
CADJPY,20,"['USDCAD', 'USDJPY', 'AUDUSD', 'EURAUD', 'AUDCAD']",80.0,0.9785714285714286,S
AUDJPY,30,['GBPCHF'],80.0,-0.34838326602877684,B
NZDJPY,15,['EURJPY'],100.0,-0.7815048840048837,B
AUDCAD,15,"['AUDCHF', 'NZDCAD']",80.0,-1.0,B
NZDCAD,15,"['CADCHF', 'EURCAD']",80.0,0.17241847041847042,S
AUDNZD,10,['USDCHF'],100.0,0.4023333333333333,S
