date,NZDCHF,GBPCAD,AUDJPY,AUDCAD,AUDNZD,empty,sum
2017.02.06,-56.0000000000005,-195.9999999999962,-318.00000000001205,-3.0000000000085514,-215.00000000000963,,-788.000000000027
2017.02.06,65.99999999999939,-187.00000000000384,56.99999999998795,264.999999999993,-170.00000000000347,,30.999999999973056
2017.02.06,121.99999999999989,-58.000000000002494,0.999999999990564,196.99999999999162,-170.00000000000347,,91.99999999997607
2017.02.06,147.99999999999258,-92.99999999998754,49.99999999999716,197.99999999999818,-131.99999999999878,,171.00000000000162
2017.02.06,132.99999999999423,-153.9999999999875,28.999999999996362,210.99999999999451,-178.99999999999582,,40.00000000000179
2017.02.06,136.99999999999824,-215.99999999999397,-192.00000000000728,59.99999999999339,-62.000000000006494,,-273.0000000000161
2017.02.06,188.9999999999947,-188.9999999999947,-214.00000000001285,151.00000000000114,1.999999999990898,,-61.00000000002081
2017.02.06,212.99999999999653,-175.99999999999838,-203.00000000000296,88.99999999999464,62.000000000006494,,-15.000000000003666
2017.02.06,224.9999999999974,-180.99999999998673,-222.0000000000084,56.99999999999594,123.00000000000644,,2.000000000004647
2017.02.06,219.99999999999798,-123.99999999999079,-157.0000000000107,71.99999999999429,89.99999999999008,,100.99999999998087
2017.02.06,256.0000000000007,-32.999999999994145,-166.00000000001103,65.99999999999939,139.00000000000023,,261.9999999999951
2017.02.06,226.99999999999943,-31.000000000003247,-171.00000000000648,60.99999999999994,80.99999999999774,,166.99999999998738
2017.02.06,217.99999999999596,8.000000000008,-143.00000000000068,73.99999999999629,79.99999999999119,,236.9999999999908
2017.02.06,206.99999999999054,-56.99999999999594,-139.00000000001,58.000000000002494,99.99999999998899,,168.99999999997607
2017.02.06,195.9999999999962,-62.99999999999084,-87.0000000000033,70.99999999999883,42.999999999993044,,159.99999999999392
2017.02.06,197.99999999999818,-157.00000000000713,-76.00000000000762,82.99999999999974,38.99999999998904,,86.99999999997222
2017.02.06,195.9999999999962,-102.00000000000209,-94.0000000000083,48.99999999999905,39.999999999995595,,88.99999999998045
2017.02.06,200.99999999999562,-175.99999999999838,-80.0000000000125,22.999999999995246,55.99999999998939,,23.999999999969376
2017.02.06,209.9999999999991,-140.99999999999113,-70.00000000000739,4.999999999999449,109.99999999998789,,113.9999999999879
2017.02.06,278.00000000000045,-52.99999999999194,-40.00000000000625,17.999999999995797,96.00000000000719,,299.00000000000523
2017.02.06,257.9999999999916,-126.0000000000039,-86.00000000001273,-14.999999999998348,70.99999999999883,,101.99999999997544
2017.02.06,292.9999999999988,113.00000000000753,-72.00000000000273,90.0000000000012,69.9999999999923,,493.99999999999716
2017.02.06,405.9999999999952,83.9999999999952,-63.00000000000239,70.99999999999883,117.99999999999588,,615.9999999999828
2017.02.06,348.9999999999993,-45.99999999999049,-52.00000000000671,34.99999999999615,21.00000000000435,,307.0000000000026
2017.02.06,330.9999999999924,60.99999999999994,-102.00000000000387,-39.00000000000014,15.999999999993797,,266.9999999999821
2017.02.06,349.99999999999477,-58.000000000002494,-132.000000000005,-39.00000000000014,35.00000000000725,,155.99999999999437
2017.02.06,370.9999999999991,-76.99999999999375,-216.00000000000819,-26.000000000003798,70.99999999999883,,122.9999999999922
2017.02.06,329.999999999997,-28.000000000005798,-212.0000000000033,12.000000000000899,93.99999999999409,,195.9999999999829
2017.02.06,282.99999999999994,-161.99999999999548,-260.0000000000051,39.00000000000014,96.99999999999153,,-3.0000000000089813
2017.02.06,286.99999999999284,-310.9999999999946,-417.0000000000016,19.999999999997797,100.99999999999554,,-320.00000000001
2017.02.06,234.99999999999633,-404.9999999999887,-569.0000000000026,110.99999999999443,75.99999999998718,,-552.0000000000134
2017.02.06,156.99999999999602,-540.0000000000072,-660.0000000000108,220.99999999999343,25.999999999992696,,-796.0000000000357
2017.02.06,163.99999999999747,-422.9999999999956,-556.0000000000116,229.99999999999687,-12.000000000012001,,-597.000000000025
2017.02.06,135.99999999999167,-546.9999999999864,-508.0000000000098,237.99999999999378,46.999999999997044,,-634.0000000000136
2017.02.06,81.9999999999932,-731.9999999999993,-553.0000000000115,295.99999999999625,90.99999999999665,,-816.0000000000248
2017.02.06,7.0000000000014495,-940.9999999999918,-529.0000000000106,504.9999999999888,109.00000000000354,,-849.0000000000085
2017.02.06,-18.0000000000069,-963.0000000000027,-529.0000000000106,450.9999999999903,70.99999999999883,,-988.0000000000312
2017.02.06,101.99999999999099,-828.9999999999909,-518.0000000000007,443.0000000000045,185.99999999999727,,-615.9999999999986
2017.02.06,139.00000000000023,-885.0000000000025,-543.0000000000064,501.000000000007,195.9999999999962,,-592.0000000000055
2017.02.06,121.99999999999989,-1129.0000000000023,-614.0000000000043,582.9999999999891,177.00000000000495,,-861.0000000000127
2017.02.06,117.99999999999588,-1059.9999999999943,-627.0000000000095,552.0000000000081,153.00000000000313,,-863.9999999999968
2017.02.06,115.99999999999389,-995.9999999999969,-847.0000000000084,582.0000000000048,154.99999999999403,,-990.0000000000125
2017.02.06,110.99999999999443,-968.9999999999976,-784.000000000006,542.9999999999935,174.99999999999181,,-924.0000000000236
2017.02.06,102.99999999999754,-873.999999999997,-783.0000000000013,531.0000000000036,181.9999999999933,,-841.000000000004
2017.02.06,114.99999999999844,-751.9999999999972,-769.0000000000055,473.0000000000012,214.00000000000307,,-718.9999999999999
2017.02.06,126.99999999999933,-655.0000000000056,-773.0000000000103,504.00000000000443,221.00000000000452,,-576.0000000000076
2017.02.06,119.99999999999788,-713.9999999999924,-779.0000000000106,497.9999999999873,192.99999999999872,,-682.000000000019
