date,AUDUSD,EURCHF,CADCHF,EURAUD,AUDCAD,NZDCAD,empty,sum
2020.04.27,-51.000000000001044,-19.999999999997797,-105.99999999999498,-70.99999999999883,-120.99999999999334,-262.00000000000665,,-630.9999999999926
2020.04.27,-51.99999999999649,-25.999999999992696,-112.99999999999643,-47.99999999998139,-139.99999999999568,-178.00000000000037,,-556.999999999963
2020.04.27,-60.99999999999994,-120.00000000000898,-130.99999999999224,-61.99999999998429,-224.9999999999974,-312.00000000000114,,-910.999999999984
2020.04.27,-73.00000000000084,-100.99999999999554,-108.99999999999244,-127.99999999999478,-270.99999999999903,-319.99999999999807,,-1001.9999999999807
2020.04.27,-160.00000000000458,-92.00000000000318,-110.99999999999443,-329.99999999998585,-373.00000000000114,-443.0000000000045,,-1508.9999999999936
2020.04.27,-167.00000000000603,-116.99999999998934,-114.99999999999844,-293.99999999999426,-374.999999999992,-411.0000000000058,,-1478.999999999986
2020.04.27,-219.00000000000253,-103.99999999999298,-170.99999999999892,-530.9999999999926,-427.99999999999505,-446.00000000000193,,-1898.999999999984
2020.04.27,-306.00000000000625,-106.99999999999044,-192.99999999999872,-705.0000000000001,-481.9999999999935,-470.00000000000375,,-2262.9999999999927
2020.04.27,-478.0000000000006,-124.99999999999733,-200.99999999999562,-1037.9999999999834,-672.9999999999902,-556.0000000000009,,-3070.999999999968
2020.04.27,-529.0000000000017,-163.00000000000205,-304.9999999999997,-1178.9999999999968,-629.9999999999973,-536.0000000000032,,-3342.0000000000005
2020.04.27,-519.9999999999983,-173.00000000000094,-337.99999999999386,-1192.9999999999995,-615.9999999999943,-475.99999999999864,,-3315.999999999986
2020.04.27,-478.9999999999961,-160.99999999998892,-312.9999999999966,-1088.0,-579.9999999999916,-426.00000000000415,,-3046.9999999999773
2020.04.27,-546.000000000002,-168.99999999999693,-312.00000000000114,-1197.999999999988,-654.9999999999944,-504.9999999999999,,-3384.9999999999827
2020.04.27,-534.9999999999966,-192.99999999999872,-287.9999999999994,-1091.9999999999818,-631.9999999999992,-470.00000000000375,,-3209.999999999979
2020.04.27,-556.9999999999964,-198.00000000000927,-286.99999999999284,-1159.9999999999832,-688.9999999999952,-523.0000000000068,,-3413.999999999984
2020.04.27,-694.0000000000057,-191.00000000000784,-292.9999999999988,-1402.9999999999986,-805.9999999999956,-653.999999999999,,-4041.0000000000055
2020.04.27,-800.0000000000007,-202.9999999999976,-270.99999999999903,-1554.9999999999952,-922.0000000000006,-750.0000000000063,,-4500.999999999999
2020.04.27,-795.9999999999967,-211.99999999998997,-241.00000000000233,-1552.9999999999823,-966.0000000000002,-797.0000000000033,,-4564.999999999975
2020.04.27,-775.9999999999989,-276.00000000000955,-234.99999999999633,-1369.9999999999823,-936.999999999999,-800.9999999999961,,-4394.999999999983
2020.04.27,-826.0000000000045,-326.0000000000041,-310.9999999999946,-1630.9999999999825,-1023.9999999999916,-843.0000000000049,,-4960.999999999982
2020.04.27,-780.000000000003,-266.999999999995,-390.99999999999693,-1556.0000000000018,-830.9999999999928,-651.0000000000016,,-4475.999999999991
2020.04.27,-726.0000000000044,-259.0000000000092,-383.99999999999545,-1420.9999999999834,-748.9999999999997,-563.0000000000024,,-4101.9999999999945
2020.04.27,-678.9999999999962,-195.9999999999962,-305.99999999999517,-1278.0000000000014,-731.9999999999993,-539.0000000000006,,-3729.9999999999886
2020.04.27,-761.0000000000006,-234.00000000000088,-351.99999999999676,-1393.999999999984,-772.9999999999903,-558.9999999999984,,-4072.999999999971
2020.04.27,-768.000000000002,-253.99999999999866,-322.00000000000006,-1434.9999999999864,-845.9999999999912,-619.9999999999983,,-4244.999999999977
2020.04.27,-800.0000000000007,-289.0000000000059,-337.99999999999386,-1549.0000000000005,-915.9999999999945,-692.9999999999992,,-4584.9999999999945
2020.04.27,-817.000000000001,-270.99999999999903,-312.9999999999966,-1527.9999999999961,-918.999999999992,-707.9999999999975,,-4555.999999999982
2020.04.27,-802.9999999999982,-381.99999999999346,-383.99999999999545,-1479.9999999999925,-894.9999999999902,-700.0000000000006,,-4643.999999999971
2020.04.27,-702.0000000000026,-392.9999999999989,-412.9999999999967,-1414.9999999999884,-830.9999999999928,-617.9999999999964,,-4371.999999999975
2020.04.27,-778.9999999999964,-364.00000000000875,-295.99999999999625,-1370.9999999999889,-929.9999999999975,-667.0000000000065,,-4406.999999999994
