date,AUDUSD,EURCHF,CADCHF,EURAUD,AUDCAD,NZDCAD,empty,sum
2020.04.27,-119.99999999999788,-43.999999999999595,-105.99999999999498,-531.9999999999991,-237.99999999999378,-299.00000000000483,,-1338.9999999999902
2020.04.27,-89.00000000000574,-41.000000000002146,-119.00000000000244,-123.99999999999079,-203.99999999999307,-265.0000000000041,,-841.9999999999983
2020.04.27,-134.0000000000008,-120.00000000000898,-178.99999999999582,-238.99999999998923,-269.9999999999925,-329.00000000000153,,-1270.9999999999889
2020.04.27,-85.99999999999719,-120.00000000000898,-132.99999999999423,-180.0000000000024,-298.9999999999937,-340.00000000000693,,-1158.0000000000032
2020.04.27,-161.00000000000003,-121.99999999999989,-141.00000000000225,-334.9999999999964,-373.99999999999653,-443.99999999999994,,-1576.9999999999952
2020.04.27,-179.00000000000693,-124.99999999999733,-126.99999999999933,-339.0000000000004,-397.99999999999835,-455.0000000000054,,-1623.0000000000077
2020.04.27,-238.0000000000049,-123.00000000000644,-176.99999999999383,-556.9999999999853,-454.9999999999943,-456.9999999999963,,-2006.9999999999811
2020.04.27,-341.0000000000024,-110.99999999999443,-202.0000000000022,-821.9999999999894,-554.9999999999944,-500.9999999999959,,-2531.9999999999786
2020.04.27,-483.0000000000001,-130.99999999999224,-219.00000000000253,-1038.99999999999,-678.0000000000008,-556.9999999999964,,-3106.9999999999823
2020.04.27,-580.9999999999982,-173.00000000000094,-309.99999999999915,-1230.999999999982,-756.9999999999966,-628.0000000000064,,-3679.9999999999827
2020.04.27,-575.9999999999987,-201.00000000000674,-365.99999999999966,-1298.9999999999834,-668.9999999999974,-550.000000000006,,-3660.9999999999914
2020.04.27,-539.0000000000006,-194.0000000000053,-361.0000000000002,-1218.9999999999923,-633.9999999999901,-502.00000000000244,,-3448.9999999999905
2020.04.27,-553.999999999999,-208.99999999999253,-368.00000000000165,-1266.999999999996,-657.9999999999919,-519.9999999999983,,-3575.999999999979
2020.04.27,-563.9999999999978,-207.00000000000162,-339.99999999999585,-1207.0000000000025,-666.9999999999953,-512.0000000000014,,-3496.9999999999945
2020.04.27,-568.0000000000018,-204.00000000000418,-303.9999999999932,-1175.9999999999993,-705.0000000000001,-551.9999999999969,,-3508.999999999995
2020.04.27,-736.9999999999987,-211.99999999998997,-314.99999999999864,-1458.9999999999882,-836.9999999999989,-722.0000000000005,,-4281.9999999999745
2020.04.27,-882.000000000005,-226.99999999999943,-308.9999999999926,-1726.9999999999895,-1034.999999999997,-829.0000000000019,,-5008.999999999985
2020.04.27,-839.0000000000009,-245.0000000000063,-286.99999999999284,-1644.9999999999854,-1014.9999999999992,-824.0000000000025,,-4854.999999999987
2020.04.27,-868.9999999999975,-280.9999999999979,-297.9999999999983,-1628.9999999999916,-980.9999999999985,-800.9999999999961,,-4858.99999999998
2020.04.27,-885.999999999998,-347.0000000000084,-312.00000000000114,-1661.9999999999857,-1074.9999999999927,-890.0000000000019,,-5171.999999999987
2020.04.27,-831.000000000004,-327.99999999999494,-427.99999999999505,-1661.9999999999857,-1027.0000000000002,-843.0000000000049,,-5118.9999999999845
2020.04.27,-792.9999999999993,-287.9999999999994,-400.9999999999958,-1598.9999999999948,-849.9999999999952,-663.999999999998,,-4594.999999999983
2020.04.27,-750.0000000000063,-262.999999999991,-403.99999999999324,-1509.999999999989,-790.9999999999973,-587.0000000000042,,-4304.999999999981
2020.04.27,-761.999999999996,-238.99999999998923,-352.9999999999922,-1430.9999999999823,-783.0000000000003,-584.0000000000067,,-4151.999999999967
2020.04.27,-780.9999999999984,-253.99999999999866,-381.99999999999346,-1488.0000000000005,-851.9999999999972,-623.0000000000069,,-4379.999999999995
2020.04.27,-833.0000000000059,-289.9999999999903,-378.00000000000057,-1586.999999999983,-915.9999999999945,-707.000000000002,,-4710.999999999976
2020.04.27,-817.9999999999965,-296.0000000000074,-347.9999999999928,-1556.9999999999861,-934.9999999999969,-722.0000000000005,,-4675.99999999998
2020.04.27,-851.0000000000017,-394.00000000000546,-396.9999999999918,-1539.999999999986,-925.9999999999935,-744.0000000000002,,-4851.999999999978
2020.04.27,-807.9999999999976,-409.99999999999926,-456.9999999999963,-1554.9999999999952,-907.9999999999977,-700.0000000000006,,-4837.999999999986
2020.04.27,-785.0000000000024,-401.00000000000693,-432.9999999999945,-1472.999999999991,-945.9999999999912,-687.9999999999998,,-4725.999999999985
