date,USDJPY,USDCAD,GBPCHF,EURCHF,CADCHF,AUDCHF,EURGBP,GBPCAD,EURJPY,EURCAD,EURNZD,NZDJPY,AUDCAD,NZDCAD,empty,sum
2021.04.26,-1.9999999999953388,0.0,-11.00000000000545,-55.99999999998939,0.0,-10.999999999994348,-48.000000000003595,-529.0000000000017,-84.99999999997954,-170.99999999998784,-83.00000000001084,-91.99999999999875,-197.00000000000273,-136.00000000000279,,-1420.9999999999723
2021.04.26,10.99999999999568,19.00000000001345,104.99999999999955,-99.00000000000463,63.99999999999739,39.00000000000014,-60.99999999999994,-551.0000000000126,-123.99999999999523,-201.99999999999108,-46.999999999997044,-69.00000000000261,-278.00000000000045,-135.00000000000733,,-1328.0000000000045
2021.04.26,3.0000000000001137,7.0000000000014495,153.00000000000313,-102.00000000000209,73.99999999999629,82.00000000000429,-75.00000000000284,-557.0000000000075,-135.99999999999568,-190.99999999998562,-5.000000000010552,-120.99999999999511,-253.0000000000032,-204.00000000000418,,-1325.0000000000014
2021.04.26,-22.00000000000557,-4.999999999988347,184.00000000000637,-90.99999999999665,125.99999999999278,121.00000000000443,-81.00000000000884,-517.9999999999962,-64.99999999999773,-179.99999999998016,4.999999999988347,-109.99999999999943,-257.0000000000072,-207.99999999999707,,-1100.9999999999852
2021.04.26,-18.000000000000682,35.00000000000725,150.00000000000568,-99.00000000000463,114.99999999999844,116.00000000000499,-110.00000000001009,-524.9999999999977,-58.9999999999975,-195.9999999999962,14.000000000002899,-111.0000000000042,-269.00000000000813,-226.99999999999943,,-1183.999999999999
2021.04.26,-19.99999999999602,73.00000000001194,133.00000000000534,-99.99999999998899,101.99999999999099,108.00000000000809,-113.00000000000753,-561.9999999999958,-49.99999999998295,-229.99999999999687,46.999999999997044,-93.99999999999409,-282.99999999999994,-233.00000000000543,,-1221.9999999999543
2021.04.26,-64.00000000000716,-97.9999999999981,143.00000000000423,-112.000000000001,91.99999999999208,91.00000000000774,-114.00000000000298,-548.9999999999995,-117.999999999995,-234.99999999998522,29.999999999996696,-140.00000000000057,-258.0000000000027,-212.00000000000108,,-1543.9999999999927
2021.04.26,-76.99999999999818,-156.99999999998494,212.99999999999653,-167.00000000000603,187.9999999999993,181.00000000000892,-85.00000000000173,-486.00000000000864,-156.99999999998226,-127.99999999999478,5.999999999994898,-159.9999999999966,-265.0000000000041,-199.00000000000472,,-1292.9999999999825
2021.04.26,-93.99999999999409,-166.99999999998383,251.00000000000122,-163.00000000000205,189.99999999999017,181.00000000000892,-93.00000000000975,-490.0000000000126,-150.99999999998204,-136.99999999998712,-80.99999999999774,-185.99999999999284,-314.0000000000032,-246.00000000000176,,-1499.9999999999668
2021.04.26,-140.00000000000057,-221.99999999998886,258.0000000000027,-153.00000000000313,193.99999999999417,214.00000000000307,-74.00000000000739,-489.0000000000061,-109.99999999998522,-112.000000000001,-197.00000000000273,-224.00000000000375,-352.00000000000784,-268.0000000000016,,-1675.0000000000084
2021.04.26,-180.99999999999739,-226.99999999999943,270.99999999999903,-151.9999999999966,193.99999999999417,255.00000000000523,-58.000000000002494,-511.000000000017,-90.99999999997976,-103.99999999999298,-147.99999999999258,-189.99999999999773,-380.999999999998,-273.000000000001,,-1595.9999999999764
2021.04.26,-174.99999999999716,-241.99999999998667,276.9999999999939,-123.99999999999079,192.99999999999872,253.0000000000032,-48.000000000003595,-497.0000000000141,-69.99999999999318,-78.99999999998464,-147.99999999999258,-185.99999999999284,-380.999999999998,-243.99999999999977,,-1470.9999999999575
