date,USDCHF,GBPUSD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURNZD,CADJPY,NZDJPY,AUDNZD,empty,sum
2015.04.13,101.00000000000664,-56.99999999999594,95.99999999999609,-134.0000000000008,34.99999999998504,15.999999999993797,84.99999999999375,-73.00000000000084,-48.000000000003595,-60.00000000000449,88.99999999999464,56.99999999998795,-173.00000000000094,-56.99999999999594,-16.999999999995907,-82.99999999999841,-54.0000000000207,,-277.0000000000597
2015.04.13,38.0000000000047,-41.000000000002146,96.99999999999153,-124.99999999999733,-31.000000000003247,-43.00000000001525,42.999999999992156,-114.99999999999844,-80.00000000000229,-107.99999999999699,69.9999999999923,63.99999999999295,-148.00000000001478,-124.99999999999733,-24.00000000000091,-96.9999999999942,-35.00000000000725,,-660.0000000000565
2015.04.13,68.00000000000139,17.000000000000348,40.99999999999105,-69.9999999999923,59.99999999999339,45.99999999999049,0.999999999990564,-39.00000000000014,-6.0000000000060005,-26.999999999999247,9.999999999998899,184.99999999997385,-124.00000000001299,-137.00000000000932,81.99999999999363,-12.999999999991019,-46.0000000000127,,47.99999999990991
2015.04.13,14.999999999998348,121.99999999999989,65.99999999999939,-73.99999999999629,90.99999999999665,84.99999999997954,12.000000000000455,-37.99999999999359,-62.000000000006494,-65.00000000000395,-3.0000000000085514,208.99999999997476,-226.00000000001506,-279.00000000000705,42.999999999992156,-68.9999999999884,-38.0000000000047,,-211.0000000000829
2015.04.13,11.00000000000545,129.00000000000134,58.99999999999794,-58.99999999999794,92.00000000000318,88.99999999998354,26.999999999986812,-44.99999999999504,-63.00000000000195,-46.00000000000159,-8.000000000008,165.99999999999682,-239.99999999999577,-263.00000000001324,12.999999999991019,-82.99999999999841,-25.00000000000835,,-246.0000000000542
2015.04.13,51.000000000001044,46.999999999997044,152.99999999999204,-66.99999999999484,60.99999999999994,65.99999999998829,65.99999999998829,-59.99999999999339,-126.0000000000039,-24.999999999997247,1.999999999990898,87.99999999999386,-242.00000000000887,-184.00000000000637,-31.00000000000591,-80.99999999998886,83.9999999999952,,-198.00000000005278
2015.04.13,-37.99999999999359,105.99999999998388,219.99999999999798,-85.00000000000173,0.0,31.999999999987594,-35.0000000000108,-91.99999999999208,-256.0000000000007,-106.00000000000608,-20.0000000000089,94.99999999999886,-228.00000000000597,-314.00000000001427,-22.00000000000557,-123.99999999999523,153.9999999999875,,-713.0000000000791
2015.04.13,-19.00000000000235,83.9999999999952,215.99999999999397,-76.99999999999375,1.999999999990898,4.999999999988347,-60.000000000002274,-175.99999999999838,-240.00000000000688,-87.00000000000374,2.999999999997449,121.99999999998568,-432.0000000000102,-239.00000000001143,-109.00000000000887,-85.99999999999852,162.99999999997982,,-930.0000000001053
2015.04.13,-73.99999999999629,107.99999999999699,188.9999999999947,-57.99999999999139,-53.999999999998494,-28.000000000005798,-118.99999999999977,-203.99999999999307,-255.00000000000523,-109.99999999999899,-1.0000000000065512,138.99999999998158,-419.0000000000138,-229.99999999999687,-94.0000000000083,-69.99999999999318,145.99999999997948,,-1134.000000000055
2015.04.13,-29.999999999996696,83.9999999999952,141.99999999999767,-39.00000000000014,-12.999999999996348,-5.000000000010552,-87.0000000000033,-209.9999999999991,-177.00000000000495,-60.99999999999994,-2.000000000002,146.99999999999136,-495.000000000001,-160.00000000000458,-128.0000000000001,-30.9999999999917,108.99999999998133,,-956.000000000045
2015.04.13,128.00000000000588,-161.00000000001114,803.9999999999936,-578.0000000000007,-22.0000000000109,-37.00000000002035,-5.000000000009663,-226.99999999999943,-704.0000000000047,-470.9999999999992,19.999999999997797,16.999999999995907,-517.9999999999962,-916.0000000000057,-209.00000000000318,-589.9999999999892,263.99999999999756,,-3205.000000000059
