,name,direction
0,USDCHF,S
1,USDJPY,B
2,USDCAD,S
3,AUDUSD,S
4,NZDUSD,S
5,GBPCHF,S
6,EURCHF,S
7,CHFJPY,B
8,AUDCHF,S
9,NZDCHF,S
10,EURGBP,S
11,GBPAUD,B
12,EURCAD,S
13,EURAUD,B
14,AUDCAD,S
15,NZDCAD,S
16,AUDNZD,S
