date,USDCAD,AUDUSD,CHFJPY,empty,sum
2018.11.12,-19.999999999997797,-27.999999999994696,-129.99999999999545,,-177.99999999998795
2018.11.12,-26.999999999999247,-44.99999999999504,-118.99999999999977,,-190.99999999999406
2018.11.12,-45.000000000006146,-36.999999999998145,-111.0000000000042,,-193.0000000000085
2018.11.12,48.000000000003595,33.000000000005244,-93.00000000000352,,-11.999999999994685
2018.11.12,73.99999999999629,17.999999999995797,-135.00000000000512,,-43.00000000001303
2018.11.12,78.00000000000028,34.000000000000696,-189.99999999999773,,-77.99999999999675
2018.11.12,109.00000000000354,63.00000000000195,-201.00000000000762,,-29.00000000000213
2018.11.12,113.99999999999189,97.00000000000264,-227.00000000000387,,-16.000000000009322
2018.11.12,124.99999999999733,102.99999999999754,-242.00000000000443,,-14.00000000000955
2018.11.12,176.99999999998272,131.00000000000333,-227.00000000000387,,80.99999999998215
2018.11.12,163.00000000000205,124.00000000000189,-237.99999999999955,,49.00000000000438
2018.11.12,167.9999999999904,116.00000000000499,-234.99999999999943,,48.999999999995964
2018.11.12,170.00000000000347,82.99999999999974,-218.00000000000352,,34.99999999999969
2018.11.12,163.9999999999864,51.99999999999649,-210.00000000000796,,5.999999999974932
2018.11.12,114.99999999999844,-26.000000000003798,-152.00000000000102,,-63.00000000000638
2018.11.12,82.00000000000429,-75.9999999999983,-179.00000000000205,,-172.99999999999605
2018.11.12,79.99999999999119,-90.0000000000012,-191.0000000000025,,-201.0000000000125
2018.11.12,1.999999999990898,-192.99999999999872,-240.99999999999966,,-432.0000000000075
2018.11.12,-22.999999999995246,-221.00000000000452,-120.00000000000455,,-364.0000000000043
2018.11.12,-43.999999999999595,-253.99999999999866,-82.99999999999841,,-380.99999999999665
2018.11.12,-66.00000000001049,-312.9999999999966,-30.000000000001137,,-409.0000000000082
2018.11.12,-73.99999999999629,-282.0000000000045,69.99999999999318,,-286.0000000000076
2018.11.12,-39.00000000001125,-232.99999999999432,36.000000000001364,,-236.0000000000042
2018.11.12,-77.00000000001594,-251.00000000000122,120.00000000000455,,-208.00000000001262
2018.11.12,-85.00000000000173,-266.999999999995,222.99999999999898,,-128.99999999999773
2018.11.12,-46.999999999997044,-204.00000000000418,194.00000000000261,,-56.99999999999861
2018.11.12,-93.00000000000975,-212.99999999999653,230.00000000000398,,-76.00000000000227
2018.11.12,-89.00000000000574,-197.99999999999818,243.99999999999977,,-43.00000000000415
2018.11.12,-9.999999999998899,-161.99999999999548,215.99999999999397,,43.9999999999996
2018.11.12,9.999999999998899,-112.000000000001,224.00000000000375,,122.00000000000165
2018.11.12,-18.0000000000069,-97.00000000000264,224.99999999999432,,109.99999999998477
2018.11.12,-8.000000000008,-58.000000000002494,212.0000000000033,,145.9999999999928
2018.11.12,-26.999999999999247,-107.99999999999699,218.00000000000352,,83.00000000000728
2018.11.12,-56.000000000011596,-126.0000000000039,256.0000000000002,,73.99999999998474
2018.11.12,-60.000000000015596,-126.99999999999933,281.9999999999965,,94.99999999998155
2018.11.12,-148.99999999999915,-187.9999999999993,271.0000000000008,,-65.99999999999761
2018.11.12,-235.00000000000742,-234.00000000000088,310.99999999999284,,-158.00000000001546
2018.11.12,-222.00000000001108,-239.0000000000003,280.00000000000114,,-181.00000000001023
2018.11.12,-121.99999999999989,-217.99999999999596,253.0000000000001,,-86.99999999999574
2018.11.12,-89.00000000000574,-253.99999999999866,262.00000000000045,,-81.00000000000398
2018.11.12,-202.9999999999976,-295.99999999999625,280.00000000000114,,-218.99999999999272
2018.11.12,-191.00000000000784,-295.0000000000008,317.99999999999784,,-168.0000000000108
2018.11.12,-156.00000000000057,-285.9999999999974,310.0000000000023,,-131.99999999999568
2018.11.12,-282.0000000000045,-307.99999999999716,319.9999999999932,,-270.0000000000084
2018.11.12,-311.0000000000168,-309.99999999999915,355.000000000004,,-266.00000000001194
2018.11.12,-399.00000000001603,-377.0000000000051,426.9999999999925,,-349.00000000002865
2018.11.12,-411.0000000000058,-429.0000000000016,474.9999999999943,,-365.0000000000131
2018.11.12,-456.00000000001194,-465.9999999999998,459.99999999999375,,-462.00000000001796
2018.11.13,-442.00000000000904,-487.0000000000041,427.99999999999727,,-501.0000000000159
2018.11.13,-439.0000000000116,-475.99999999999864,453.9999999999935,,-461.0000000000167
2018.11.13,-408.00000000000836,-470.00000000000375,457.9999999999984,,-420.00000000001364
2018.11.13,-404.0000000000044,-446.00000000000193,487.99999999999955,,-362.0000000000068
2018.11.13,-412.00000000001234,-546.000000000002,543.9999999999969,,-414.0000000000174
