date,USDCHF,USDCAD,GBPCHF,EURCHF,AUDCHF,EURGBP,GBPJPY,EURJPY,EURNZD,NZDJPY,AUDCAD,NZDCAD,empty,sum
2021.05.03,-78.00000000000028,-86.0000000000083,-221.00000000000452,-67.9999999999792,-114.99999999999844,-130.99999999999224,-258.0000000000098,-128.99999999999068,-598.999999999994,-380.00000000000966,-31.000000000003247,-134.0000000000008,,-2229.999999999991
2021.05.03,-88.99999999999464,-75.00000000000284,-202.9999999999976,-58.99999999998684,-102.99999999999754,-80.99999999999774,-353.999999999985,-91.99999999998454,-448.000000000004,-136.0000000000099,-11.00000000000545,-104.99999999999955,,-1755.999999999966
2021.05.03,-93.99999999999409,-43.00000000001525,-279.99999999999136,-73.99999999999629,-95.00000000000064,-80.99999999999774,-403.99999999999636,-126.99999999998113,-618.0000000000074,-61.99999999999761,-9.00000000000345,-2.999999999997449,,-1889.999999999979
2021.05.03,-107.99999999999699,-12.000000000012001,-324.9999999999975,-98.99999999998244,-107.00000000000153,-62.99999999999084,-375.0,-112.99999999999955,-605.9999999999955,-55.00000000000682,25.999999999992696,14.000000000002899,,-1822.9999999999875
2021.05.03,-117.00000000000044,-12.000000000012001,-324.0000000000132,-109.99999999998789,-119.00000000000244,-57.99999999999139,-387.00000000000045,-132.99999999998136,-625.0000000000089,-64.99999999999773,14.999999999998348,29.000000000001247,,-1905.9999999999961
2021.05.03,-105.99999999999498,11.999999999989797,-327.00000000001063,-109.99999999998789,-139.00000000000023,-59.99999999999339,-365.0000000000091,-115.99999999998545,-607.0000000000019,-57.00000000000216,-4.000000000004,31.999999999998696,,-1847.0000000000014
2021.05.03,-170.99999999999892,-2.999999999997449,-401.00000000000693,-157.99999999999147,-229.00000000000142,-75.9999999999983,-519.0000000000055,-218.9999999999941,-588.9999999999951,-32.00000000001069,-5.000000000010552,-26.999999999999247,,-2429.0000000000095
2021.05.03,-144.99999999999514,73.99999999999629,-459.0000000000094,-165.9999999999995,-256.99999999999613,-100.00000000000009,-592.9999999999893,-258.99999999998613,-375.9999999999986,131.9999999999908,92.99999999999864,-70.99999999999883,,-2126.999999999987
2021.05.03,-139.00000000000023,59.99999999999339,-487.99999999999955,-170.99999999998784,-246.99999999999721,-120.99999999999334,-644.0000000000055,-263.00000000000523,-418.9999999999916,128.99999999999068,108.99999999999244,-62.000000000006494,,-2256.0000000000105
2021.05.03,-147.99999999999258,24.000000000001798,-483.0000000000112,-177.99999999998929,-234.99999999999633,-110.99999999999443,-643.0000000000007,-283.9999999999918,-506.9999999999908,96.9999999999942,75.9999999999983,-43.00000000000415,,-2434.9999999999773
2021.05.03,-190.00000000000128,-85.00000000000173,-446.9999999999974,-156.99999999998494,-202.0000000000022,-107.99999999999699,-592.9999999999893,-252.9999999999859,-507.9999999999973,66.99999999999307,84.99999999999064,-129.00000000000134,,-2519.999999999975
2021.05.03,-207.99999999999707,-145.00000000001734,-476.9999999999941,-173.99999999998528,-210.99999999999451,-117.00000000000044,-638.0000000000052,-269.00000000000546,-326.0000000000041,164.99999999999204,118.99999999999133,-175.00000000000293,,-2456.000000000023
2021.05.03,-204.99999999999963,-154.0000000000097,-475.0000000000032,-158.99999999999804,-214.00000000000307,-117.99999999999588,-729.9999999999898,-335.00000000000796,-429.99999999999704,149.99999999999147,136.99999999999824,-143.00000000000423,,-2676.000000000019
