date,AUDUSD,GBPCHF,EURCHF,EURJPY,AUDJPY,empty,sum
2018.05.21,-43.999999999999595,-261.0000000000001,-59.99999999999339,-64.99999999999773,-97.00000000000841,,-526.9999999999993
2018.05.21,41.9999999999976,-201.00000000000674,-55.99999999998939,-91.99999999998454,-153.0000000000058,,-459.99999999998886
2018.05.21,20.999999999993246,-316.0000000000052,-62.000000000006494,-12.999999999976808,-85.99999999999852,,-455.99999999999375
2018.05.21,-18.0000000000069,-315.0000000000208,-69.00000000000794,16.000000000019554,-42.00000000000159,,-428.0000000000177
2018.05.21,-19.00000000000235,-336.00000000000296,-93.99999999999409,22.00000000001978,-62.00000000001182,,-488.9999999999914
2018.05.21,-13.00000000000745,-316.0000000000052,-62.000000000006494,20.000000000010232,-81.00000000000307,,-452.00000000001194
2018.05.21,-63.00000000000195,-314.00000000001427,-72.0000000000054,-66.99999999997885,-100.00000000000853,,-616.000000000009
2018.05.21,-80.99999999999774,-338.0000000000161,-62.99999999999084,0.0,-91.00000000000819,,-573.0000000000128
2018.05.21,-75.00000000000284,-362.00000000001785,-56.99999999999594,20.000000000010232,-163.0000000000109,,-637.0000000000173
2018.05.21,17.000000000000348,-302.0000000000023,-53.999999999998494,-8.99999999998613,-201.00000000000762,,-548.9999999999942
2018.05.21,24.000000000001798,-203.00000000001984,-65.99999999998829,-9.999999999990905,-252.00000000000955,,-507.0000000000068
2018.05.21,36.999999999998145,-236.00000000001398,-79.99999999999119,-24.999999999977263,-272.00000000000557,,-575.9999999999899
2018.05.21,21.999999999999797,-118.00000000001809,-82.00000000000429,-60.000000000002274,-245.00000000000455,,-483.0000000000294
2018.05.21,29.999999999996696,-79.00000000000685,-75.00000000000284,-118.99999999999977,-269.00000000000546,,-512.0000000000182
2018.05.21,-9.00000000000345,-76.0000000000094,-62.99999999999084,-198.99999999998386,-314.00000000000716,,-660.9999999999948
2018.05.21,-18.0000000000069,-32.0000000000098,-69.00000000000794,-235.99999999999,-285.0000000000108,,-640.0000000000255
2018.05.21,-43.00000000000415,-65.00000000000395,-68.00000000000139,-227.99999999998022,-295.0000000000017,,-698.9999999999914
2018.05.21,-36.999999999998145,-104.00000000001519,-70.99999999999883,-367.999999999995,-376.0000000000048,,-956.0000000000119
2018.05.21,-79.00000000000685,-60.99999999999994,-25.999999999992696,-289.99999999999204,-359.99999999999943,,-815.9999999999909
2018.05.21,-151.00000000000114,21.999999999988695,55.000000000005045,-243.99999999999977,-329.00000000000773,,-647.0000000000149
2018.05.21,-165.9999999999995,15.999999999993797,100.0000000000112,-133.99999999998613,-275.0000000000057,,-458.9999999999863
2018.05.21,-108.00000000000809,29.999999999996696,86.99999999999264,-110.99999999999,-337.0000000000033,,-439.00000000001205
2018.05.21,-68.00000000000139,157.99999999999147,69.00000000000794,-272.99999999999613,-430.0000000000068,,-544.000000000005
2018.05.21,-9.999999999998899,163.9999999999864,1.0000000000065512,-275.99999999998204,-412.00000000000614,,-532.9999999999941
2018.05.21,13.999999999991797,122.99999999998423,-36.999999999998145,-213.99999999999864,-432.00000000000216,,-546.000000000023
2018.05.21,-17.000000000000348,124.99999999999733,-80.99999999999774,-219.99999999999886,-347.999999999999,,-540.9999999999986
2018.05.21,-7.0000000000014495,101.99999999997988,-92.99999999998754,-281.99999999998226,-408.00000000000125,,-687.9999999999926
2018.05.21,51.000000000001044,122.99999999998423,-182.99999999999983,-390.99999999999113,-493.0000000000092,,-893.0000000000149
2018.05.21,42.999999999993044,92.99999999998754,-130.99999999999224,-353.999999999985,-462.0000000000033,,-811.0
2018.05.21,87.99999999999919,-35.00000000000725,-171.99999999999437,-367.999999999995,-496.0000000000093,,-983.0000000000068
2018.05.21,69.9999999999923,-46.0000000000127,-201.00000000000674,-400.99999999998204,-468.0000000000035,,-1046.0000000000127
2018.05.21,109.99999999999899,-24.000000000001798,-221.00000000000452,-507.99999999998136,-559.0000000000117,,-1202.0000000000005
2018.05.21,203.99999999999307,67.9999999999792,-205.99999999999508,-481.9999999999993,-632.000000000005,,-1048.0000000000273
2018.05.21,278.9999999999959,47.99999999998139,-231.99999999998778,-501.0000000000048,-670.0000000000017,,-1076.0000000000168
2018.05.21,320.9999999999935,119.99999999998678,-106.00000000000608,-378.9999999999907,-672.0000000000113,,-716.0000000000277
2018.05.21,322.00000000000006,240.9999999999801,46.0000000000127,-218.9999999999941,-727.0000000000039,,-337.000000000005
2018.05.21,380.999999999998,219.99999999999798,-22.999999999995246,-310.9999999999786,-808.0000000000069,,-540.9999999999848
2018.05.21,365.99999999999966,243.99999999999977,-55.000000000005045,-241.99999999999022,-674.0000000000066,,-361.0000000000024
2018.05.21,432.9999999999945,293.99999999999426,-104.99999999999955,-338.99999999999864,-765.0000000000006,,-482.00000000001
2018.05.21,461.99999999999574,350.9999999999902,-116.00000000000499,-264.99999999998636,-701.9999999999982,,-270.00000000000364
2018.05.21,444.9999999999954,327.99999999999494,-123.99999999999079,-260.9999999999957,-727.0000000000039,,-339.0
2018.05.21,483.0000000000001,266.999999999995,-150.99999999999002,-280.00000000000114,-730.000000000004,,-411.0
2018.05.21,454.9999999999943,289.9999999999903,-129.00000000000134,-305.9999999999832,-725.9999999999991,,-415.9999999999991
2018.05.21,461.0000000000003,327.99999999999494,-103.00000000000864,-317.99999999998363,-753.0000000000001,,-384.99999999999716
2018.05.21,478.9999999999961,299.99999999998914,-119.00000000000244,-328.00000000000296,-754.0000000000049,,-422.0000000000251
