date,USDCHF,GBPUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,AUDCHF,EURGBP,GBPJPY,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2015.07.13,67.00000000000594,14.999999999987246,-69.00000000000794,92.99999999999864,-12.999999999996348,-110.99999999999443,63.000000000013046,-70.99999999999795,70.99999999999883,106.99999999999044,-209.00000000000318,8.000000000008,-305.0000000000068,-168.99999999999693,-93.00000000000975,317.9999999999961,153.99999999999636,-110.99999999999,-7.0000000000014495,8.000000000008,,-254.00000000000222
2015.07.13,275.000000000003,144.99999999999514,-66.99999999999484,154.99999999999403,4.999999999999449,-235.99999999999176,39.999999999995595,-439.9999999999977,-9.00000000000345,220.99999999999343,-519.0000000000055,-65.99999999998829,-756.0000000000002,-519.0000000000028,-351.0000000000124,653.0000000000147,245.9999999999951,-206.99999999999363,-94.00000000000519,14.000000000002899,,-1510.0000000000023
2015.07.13,-15.999999999993797,-7.0000000000014495,-56.000000000011596,221.99999999999997,46.00000000000159,-41.000000000002146,-197.00000000000273,-299.99999999998295,260.00000000000466,276.9999999999939,-435.0000000000023,-304.9999999999997,-723.0000000000132,-401.00000000000693,-169.00000000001913,533.0000000000057,316.99999999999307,-289.99999999999204,-175.00000000000293,-35.999999999991594,,-1496.0000000000236
2015.07.13,-13.999999999991797,-31.000000000003247,-25.00000000000835,161.99999999999548,73.00000000000084,-41.000000000002146,-117.99999999999588,-185.99999999997863,212.99999999999653,232.99999999999432,-207.9999999999984,-154.99999999999403,-456.99999999999363,-323.0000000000066,-161.00000000001114,361.0000000000113,186.00000000000705,-233.99999999999466,-131.00000000000333,-95.99999999999609,,-951.9999999999723
2015.07.13,9.00000000000345,75.99999999998718,-72.0000000000054,259.9999999999936,85.99999999999719,26.999999999999247,-218.99999999999142,-308.9999999999975,287.9999999999994,283.99999999999534,-468.00000000001774,-292.9999999999655,-741.9999999999902,-459.99999999999375,-175.00000000001404,561.9999999999958,290.9999999999968,-305.9999999999974,-219.00000000000253,-78.99999999999574,,-1459.0000000000027
2015.07.13,50.0000000000056,93.99999999999409,-24.000000000001798,100.00000000000009,80.99999999999774,-11.999999999989797,-120.00000000000898,-301.9999999999925,109.99999999999899,235.99999999999176,-385.9999999999957,185.00000000001293,-591.0000000000082,-439.99999999999596,-418.0000000000073,482.00000000000466,207.9999999999984,-256.0000000000002,-58.000000000002494,-108.99999999999244,,-1169.9999999999911
2015.07.13,64.0000000000085,-26.999999999999247,-22.0000000000109,132.99999999999423,85.00000000000173,-160.00000000000458,-167.00000000000603,-356.9999999999993,126.99999999999933,336.9999999999984,-280.00000000000114,-70.99999999997664,-699.0000000000123,-523.0000000000068,-430.00000000001927,577.0000000000052,222.99999999999898,-274.9999999999915,-100.00000000000009,-111.99999999998988,,-1677.0000000000114
2015.07.13,128.00000000000588,32.999999999994145,-39.999999999995595,220.99999999999343,166.99999999999494,-201.00000000000674,-79.00000000000685,-425.9999999999877,163.00000000000205,301.9999999999912,-328.00000000000296,-235.99999999999176,-665.9999999999968,-483.99999999999557,-239.00000000001143,348.9999999999993,228.9999999999992,-368.9999999999998,-195.00000000000074,-204.99999999999963,,-1876.000000000015
2015.07.13,104.00000000000409,-16.000000000016,65.00000000000395,164.99999999999292,190.00000000000128,-205.99999999999508,-18.999999999991246,-399.0000000000009,126.0000000000039,262.999999999991,-274.0000000000009,-141.99999999999767,-556.0000000000116,-480.99999999999807,-229.00000000001253,158.99999999999804,152.00000000000102,-397.99999999999613,-197.00000000000273,-301.9999999999912,,-1995.0000000000182
2015.07.13,55.000000000005045,-86.0000000000083,129.00000000000134,131.99999999999878,134.0000000000008,-195.9999999999962,-43.999999999999595,-376.0000000000048,131.99999999999878,275.99999999999847,-257.000000000005,-136.00000000000279,-566.0000000000025,-524.0000000000133,-261.0000000000001,229.00000000001253,131.00000000000023,-361.99999999999477,-209.9999999999991,-283.99999999999534,,-2084.0000000000055
2015.07.13,98.0000000000092,-16.000000000016,24.999999999986144,300.99999999999574,334.00000000000097,-198.00000000000927,-100.99999999999554,-402.9999999999916,258.9999999999981,314.99999999999864,-292.0000000000016,-519.9999999999872,-664.999999999992,-541.0000000000136,-62.000000000006494,-82.00000000000429,186.9999999999976,-581.9999999999936,-346.0000000000019,-461.0000000000003,,-2750.0000000000273
2015.07.13,63.00000000000195,52.99999999999194,7.0000000000014495,336.9999999999984,336.9999999999984,-79.99999999999119,-110.99999999999443,-448.99999999998386,315.9999999999941,261.99999999999557,-514.00000000001,-540.9999999999915,-716.0000000000082,-466.00000000001086,66.99999999999484,-148.99999999999915,269.999999999996,-643.9999999999912,-375.0000000000031,-446.9999999999974,,-2780.000000000008
2015.07.13,34.000000000000696,71.99999999998319,-73.00000000001194,375.0000000000031,385.99999999999744,-12.999999999996348,-163.00000000000205,-411.9999999999777,375.0000000000031,263.99999999999756,-551.0000000000161,-617.999999999963,-756.0000000000002,-411.0000000000058,107.99999999999699,-224.99999999998633,340.999999999994,-710.9999999999985,-360.0000000000048,-458.9999999999983,,-2796.9999999999854
2015.07.13,19.00000000000235,-29.00000000001235,-19.999999999997797,278.9999999999959,297.9999999999983,-87.99999999999919,-191.00000000000784,-442.99999999998363,300.0000000000003,322.9999999999955,-498.0000000000189,-484.9999999999799,-826.9999999999982,-493.0000000000101,-103.00000000000864,0.0,338.99999999999864,-638.9999999999958,-286.00000000000847,-389.99999999999034,,-2934.0000000000205
2015.07.13,30.000000000007798,-38.0000000000047,1.999999999990898,314.0000000000032,314.99999999999864,-113.99999999999189,-231.99999999998778,-411.00000000000136,321.0000000000046,362.99999999999113,-414.0000000000157,-583.0000000000002,-843.9999999999941,-588.9999999999951,-121.00000000001555,46.999999999997044,278.99999999999636,-620.9999999999951,-342.000000000009,-419.9999999999982,,-3058.000000000019
2015.07.13,-3.999999999992898,-67.00000000001705,28.000000000005798,312.9999999999966,293.99999999999426,-93.99999999999409,-215.99999999999397,-340.99999999997976,346.0000000000019,336.9999999999984,-340.0000000000034,-618.9999999999695,-741.9999999999902,-537.9999999999941,-38.0000000000047,15.00000000000945,245.00000000000455,-581.9999999999936,-360.0000000000048,-408.9999999999927,,-2771.99999999992
2015.07.13,-20.999999999993246,-7.0000000000014495,-56.000000000011596,383.99999999999545,341.0000000000024,-7.0000000000014495,-262.999999999991,-337.99999999999386,426.9999999999996,334.00000000000097,-454.00000000000773,-744.9999999999957,-816.0000000000025,-493.99999999999443,60.99999999999994,-54.99999999998284,325.9999999999934,-657.999999999987,-390.0000000000015,-415.99999999999415,,-2846.999999999967
2015.07.13,29.000000000001247,116.99999999998934,-46.0000000000127,378.999999999996,385.99999999999744,32.0000000000098,-269.9999999999925,-390.99999999999113,387.99999999999943,317.0000000000006,-570.0000000000216,-563.0000000000024,-864.0000000000043,-578.9999999999961,-31.000000000003247,-75.99999999998718,302.99999999999727,-697.9999999999933,-392.00000000000347,-477.99999999998954,,-3007.000000000007
2015.07.13,21.00000000000435,57.99999999998029,41.99999999998649,403.99999999999324,356.9999999999962,-7.0000000000014495,-208.99999999999253,-361.99999999999477,417.0000000000007,296.9999999999917,-481.00000000002296,-700.9999999999739,-765.9999999999911,-588.0000000000107,105.99999999998388,-102.00000000000209,228.9999999999992,-651.9999999999868,-487.0000000000041,-499.9999999999893,,-2924.0000000000337
