date,USDCHF,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,GBPAUD,EURJPY,EURCAD,EURAUD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2017.09.25,-127.99999999999478,-100.99999999999554,-55.00000000000682,-28.000000000005798,-41.9999999999976,-84.0000000000063,-150.99999999999002,-100.99999999999909,-109.99999999999899,-87.99999999999919,-121.00000000000443,-31.000000000003247,-96.00000000000364,-136.00000000000279,-167.9999999999904,0.0,-70.99999999999795,-69.00000000000261,-15.999999999993797,-95.00000000000064,-13.999999999980695,,-1704.9999999999743
2017.09.25,-129.00000000000134,-168.0000000000126,-64.99999999999773,-121.99999999999989,-24.999999999997247,-280.00000000000244,-171.00000000001003,-94.99999999999886,-99.00000000000463,-136.99999999999824,-297.00000000000284,-48.000000000003595,-133.00000000000978,-323.99999999999096,-183.99999999998417,7.999999999995566,-57.999999999992724,-281.9999999999965,-122.99999999999534,-386.9999999999929,89.00000000000574,,-3029.99999999999
2017.09.25,-78.00000000000028,-262.00000000000665,-103.00000000000864,-139.00000000000023,11.00000000000545,-284.0000000000065,-239.99999999999577,-43.00000000000637,-75.00000000000284,-100.99999999999554,-289.0000000000059,-86.0000000000083,-397.0000000000198,-435.9999999999919,-343.99999999998875,-9.000000000000341,-24.00000000000091,-292.0000000000016,-153.00000000000313,-385.000000000002,118.00000000001809,,-3611.0000000000214
2017.09.25,-36.999999999998145,-261.0000000000001,70.99999999999795,-164.00000000000858,19.00000000000235,-182.99999999999983,-255.00000000000523,161.99999999999193,-55.000000000005045,-92.99999999999864,-199.00000000000472,202.9999999999976,-481.9999999999993,-478.999999999985,-312.9999999999855,129.99999999999545,83.00000000001262,-263.9999999999958,-161.00000000000003,-285.00000000000193,-14.999999999987246,,-2577.999999999977
2017.09.25,-36.999999999998145,-265.0000000000041,43.99999999999693,-200.00000000000017,2.999999999997449,-124.00000000000189,-248.00000000000378,150.99999999999625,-55.000000000005045,-107.99999999999699,-147.00000000000824,190.00000000000128,-421.0000000000207,-499.000000000005,-318.9999999999804,81.00000000000307,79.00000000000773,-188.0000000000024,-183.99999999999528,-236.00000000000287,-210.99999999998343,,-2694.0000000000055
2017.09.25,-34.99999999999615,-282.0000000000045,88.99999999999864,-195.9999999999962,34.000000000000696,39.00000000000014,-304.9999999999997,194.99999999999318,-69.00000000000794,-207.99999999999707,-4.000000000004,31.000000000003247,-617.0000000000186,-530.9999999999926,-295.0000000000008,93.99999999999409,114.00000000000432,-111.0000000000042,-283.99999999999534,-66.99999999999484,-408.9999999999927,,-2817.000000000011
2017.09.25,7.0000000000014495,-361.0000000000113,212.99999999999386,-181.00000000000892,60.00000000000449,92.99999999999864,-418.0000000000073,257.99999999999557,-26.999999999999247,-305.99999999999517,29.999999999996696,36.999999999998145,-713.9999999999986,-573.9999999999857,-299.99999999998914,212.0000000000033,264.00000000001,-67.99999999999784,-339.0000000000004,9.00000000000345,-622.9999999999958,,-2727.999999999984
2017.09.25,-12.999999999996348,-356.00000000000074,191.99999999999307,-147.00000000000824,141.00000000000225,98.99999999999353,-390.0000000000015,266.9999999999959,3.999999999992898,-263.0000000000021,36.999999999998145,127.00000000001043,-715.0000000000034,-543.999999999989,-194.99999999998963,231.99999999999932,350.9999999999991,-72.99999999999329,-304.00000000000426,82.00000000000429,-720.9999999999939,,-2188.9999999999936
2017.09.25,14.000000000002899,-336.00000000000296,123.99999999999523,-99.00000000000463,119.00000000000244,136.99999999999824,-363.0000000000022,177.99999999999727,48.99999999999905,-268.0000000000016,54.999999999993946,194.99999999998963,-653.9999999999964,-465.99999999998863,-178.99999999999582,209.00000000000318,253.0000000000001,-21.000000000000796,-273.000000000001,140.0000000000068,-636.9999999999986,,-1823.000000000004
2017.09.25,-7.0000000000014495,-329.00000000000153,84.00000000000318,-103.00000000000864,85.00000000000173,189.99999999999017,-365.99999999999966,161.99999999999193,42.999999999993044,-225.99999999999287,139.99999999999568,275.000000000003,-584.0000000000032,-451.0000000000014,-284.9999999999797,200.00000000000284,182.00000000000216,125.0,-207.00000000000162,223.00000000000654,-647.9999999999819,,-1496.9999999999818
