date,USDCHF,GBPUSD,EURUSD,AUDUSD,NZDUSD,GBPCHF,CADCHF,AUDCHF,NZDCHF,GBPCAD,EURCAD,CADJPY,NZDCAD,empty,sum
2018.11.12,-26.0000000000149,-207.00000000000162,-95.00000000000064,-27.999999999994696,-53.00000000000304,-310.9999999999946,-70.99999999999883,-96.00000000000719,-139.99999999999568,-289.0000000000059,-181.00000000000892,-72.00000000000273,-116.00000000000499,,-1685.0000000000339
2018.11.12,44.99999999998394,-150.00000000000568,-75.00000000000284,-44.99999999999504,-46.999999999997044,-292.9999999999877,-116.00000000000499,-126.99999999999933,-146.00000000000168,-234.00000000000088,-138.0000000000159,-70.99999999999795,-117.99999999999588,,-1515.000000000021
2018.11.12,59.99999999999339,-195.00000000001182,-52.000000000007596,-36.999999999998145,-29.000000000001247,-322.9999999999844,-136.99999999999824,-139.00000000000023,-134.99999999999625,-235.00000000000742,-87.99999999999919,-112.00000000000898,-55.000000000005045,,-1477.000000000025
2018.11.12,76.99999999999375,-236.99999999999832,-59.000000000009045,33.000000000005244,-41.9999999999976,-366.999999999984,-161.00000000000003,-181.00000000000892,-136.00000000000279,-182.99999999999983,-2.0000000000131024,-145.00000000001023,-40.00000000000669,,-1443.0000000000314
2018.11.12,68.00000000000139,-276.00000000000955,-73.00000000001194,17.999999999995797,-34.000000000000696,-393.99999999998323,-161.00000000000003,-169.00000000000804,-129.00000000000134,-255.99999999998957,-8.000000000008,-179.00000000000205,-23.00000000000635,,-1616.0000000000234
2018.11.12,59.99999999999339,-296.0000000000074,-70.99999999999883,34.000000000000696,-124.00000000000189,-393.99999999998323,-175.00000000000293,-163.00000000000205,-207.99999999999707,-234.00000000000088,28.000000000005798,-219.99999999999886,-104.99999999999955,,-1867.999999999993
2018.11.12,52.99999999999194,-316.0000000000052,-90.99999999999665,63.00000000000195,-170.99999999999892,-397.99999999998727,-175.00000000000293,-218.00000000000708,-263.99999999999756,-225.00000000000853,26.999999999999247,-243.99999999999977,-173.00000000000094,,-2132.0000000000114
2018.11.12,69.9999999999923,-313.99999999999204,-90.99999999999665,97.00000000000264,-181.9999999999933,-434.000000000001,-200.99999999999562,-260.00000000000466,-276.9999999999939,-201.00000000000674,28.000000000005798,-293.99999999999693,-170.00000000000347,,-2228.9999999999836
2018.11.12,52.99999999999194,-263.99999999999756,-100.99999999999554,102.99999999999754,-224.9999999999974,-400.00000000000034,-233.00000000000543,-295.0000000000008,-332.99999999999443,-161.99999999999548,35.999999999991594,-317.0000000000073,-195.00000000000074,,-2333.0000000000146
2018.11.12,75.99999999998718,-268.0000000000016,-112.000000000001,131.00000000000333,-219.00000000000253,-393.99999999998323,-231.0000000000034,-285.00000000000193,-332.99999999999443,-107.99999999999699,55.99999999998939,-314.00000000000716,-189.00000000000583,,-2190.0000000000186
2018.11.12,68.99999999998573,-278.00000000000045,-110.99999999999443,124.00000000000189,-202.0000000000022,-408.9999999999927,-212.00000000000108,-236.00000000000287,-295.0000000000008,-137.00000000000932,31.000000000003247,-308.00000000000693,-187.00000000000384,,-2151.0000000000236
2018.11.12,90.99999999999665,-287.9999999999994,-119.00000000000244,116.00000000000499,-229.00000000000142,-445.99999999999085,-234.00000000000088,-282.99999999999994,-347.9999999999928,-134.99999999999625,48.99999999998794,-332.9999999999984,-209.9999999999991,,-2368.999999999992
2018.11.12,121.99999999999989,-232.99999999999432,-70.99999999999883,82.99999999999974,-186.99999999999272,-405.9999999999952,-251.00000000000122,-245.0000000000063,-315.9999999999941,-75.00000000000284,96.99999999999153,-329.9999999999983,-162.0000000000066,,-1973.9999999999993
2018.11.12,125.99999999998168,-180.0000000000024,-46.999999999997044,51.99999999999649,-173.9999999999964,-379.99999999998033,-260.00000000000466,-225.00000000000853,-307.0000000000017,-11.999999999989797,117.99999999999588,-331.00000000000307,-136.00000000000279,,-1756.0000000000123
2018.11.12,164.99999999999292,-148.99999999999915,-43.999999999999595,-26.000000000003798,-158.99999999999804,-373.99999999998545,-266.999999999995,-231.99999999999886,-310.9999999999946,25.999999999992696,120.99999999999334,-301.00000000000193,-129.9999999999968,,-1680.999999999994
2018.11.12,164.99999999999292,32.999999999994145,39.999999999995595,-75.9999999999983,-87.99999999999919,-200.00000000000017,-248.99999999999923,-155.00000000000514,-246.99999999999721,201.00000000000674,185.99999999999727,-301.00000000000193,-63.99999999999739,,-755.0000000000119
2018.11.12,186.99999999998164,127.99999999999478,69.9999999999923,-90.0000000000012,-51.99999999999649,-132.99999999998312,-282.99999999999994,-139.00000000000023,-224.000000000002,320.00000000000915,190.00000000000128,-361.0000000000042,-6.0000000000060005,,-393.000000000014
2018.11.12,200.00000000000017,174.00000000000747,72.99999999998974,-192.99999999999872,-36.999999999998145,-178.99999999999582,-380.00000000000256,-191.00000000000784,-273.9999999999965,438.00000000000506,256.99999999999613,-393.0000000000007,21.999999999999797,,-483.0000000000019
2018.11.12,342.9999999999822,343.00000000000443,368.9999999999971,-221.00000000000452,26.999999999999247,-156.99999999998494,-363.0000000000022,-175.00000000000293,-266.999999999995,486.999999999993,496.99999999999187,-338.0000000000081,17.999999999995797,,562.9999999999659
2018.11.12,359.99999999998255,412.9999999999967,414.00000000000324,-253.99999999999866,46.999999999997044,-140.99999999999113,-375.9999999999986,-150.00000000000568,-258.9999999999981,523.9999999999911,539.0000000000006,-353.9999999999992,49.99999999999449,,812.9999999999744
2018.11.12,411.99999999999017,510.99999999999477,567.9999999999907,-312.9999999999966,113.00000000000753,-118.99999999998023,-416.00000000000523,-161.00000000000003,-232.99999999999432,679.9999999999917,741.9999999999982,-326.0000000000076,122.99999999999534,,1580.9999999999845
2018.11.12,368.9999999999971,527.9999999999951,571.9999999999948,-282.0000000000045,97.00000000000264,-24.000000000001798,-380.999999999998,-130.0000000000079,-219.00000000000253,710.0000000000106,740.9999999999917,-237.99999999999955,95.99999999999609,,1838.9999999999739
2018.11.12,317.9999999999961,496.00000000000756,537.9999999999941,-232.99999999999432,17.000000000000348,26.0000000000149,-343.00000000000443,-139.00000000000023,-268.0000000000016,655.0000000000056,672.9999999999902,-203.00000000000296,-21.00000000000435,,1516.0000000000011
