date,GBPUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,AUDCHF,EURGBP,GBPJPY,GBPAUD,EURCAD,CADJPY,AUDJPY,NZDJPY,NZDCAD,empty,sum
2018.11.26,-78.00000000000028,-13.00000000000523,-23.00000000001745,-44.99999999999504,-24.000000000001798,-102.00000000000209,-53.999999999998494,-58.000000000002494,-19.999999999997797,-81.99999999999363,-89.99999999999008,-43.999999999999595,-15.000000000000568,-42.00000000000159,-34.000000000006025,-58.99999999999794,,-783.00000000001
2018.11.26,22.999999999995246,-15.000000000000568,-2.0000000000131024,-87.00000000000374,-104.99999999999955,1.0000000000065512,-22.999999999995246,-92.00000000000318,-39.00000000000014,-103.999999999985,-182.99999999999983,11.00000000000545,-21.000000000000796,-93.99999999999409,-118.99999999999977,-157.99999999999147,,-1006.9999999999793
2018.11.26,2.999999999997449,-24.00000000000091,-22.0000000000109,-102.99999999999754,-158.99999999999804,-49.99999999999449,-43.999999999999595,-134.0000000000008,-53.999999999998494,-104.99999999998977,-231.99999999998778,15.999999999993797,-31.00000000000591,-108.99999999999466,-180.99999999999739,-226.99999999999943,,-1455.9999999999845
2018.11.26,26.999999999999247,-36.000000000001364,12.999999999996348,-58.99999999999794,-153.99999999999858,-21.999999999988695,-46.999999999997044,-103.00000000000864,-92.99999999999864,-149.0000000000009,-161.99999999999548,-18.999999999991246,-9.000000000000341,-72.00000000000273,-179.00000000000205,-236.99999999999832,,-1300.9999999999864
2018.11.26,30.999999999981043,-8.000000000009777,4.000000000004,-95.00000000000064,-185.99999999999727,-26.999999999999247,-55.99999999998939,-126.99999999999933,-109.99999999999899,-123.99999999999523,-229.99999999999687,-41.000000000002146,-54.000000000002046,-137.99999999999102,-231.99999999999932,-257.9999999999916,,-1650.9999999999877
2018.11.26,48.99999999998794,-8.000000000009777,-18.0000000000069,-90.99999999999665,-184.00000000000637,0.0,-46.999999999997044,-114.99999999999844,-143.9999999999997,-132.99999999998136,-259.9999999999936,-25.999999999992696,-88.99999999999864,-138.9999999999958,-236.0000000000042,-266.999999999995,,-1707.9999999999882
2018.11.26,106.99999999999044,57.999999999992724,-45.000000000006146,-117.99999999999588,-175.99999999999838,-7.999999999985796,-72.99999999998974,-194.0000000000053,-137.9999999999937,-122.99999999999045,-360.0000000000048,9.999999999998899,-180.00000000000682,-240.99999999999966,-296.99999999999704,-240.99999999999122,,-2018.9999999999827
2018.11.26,143.99999999998857,169.9999999999875,-40.0000000000178,-90.99999999999665,-163.99999999999747,0.0,-78.99999999998464,-181.00000000000892,-139.00000000000023,13.00000000000523,-343.99999999998875,110.00000000001009,-290.00000000000625,-295.0000000000017,-402.000000000001,-202.9999999999976,,-1791.0000000000095
2018.11.26,168.99999999999693,303.99999999998784,-50.0000000000167,-73.99999999999629,-202.0000000000022,-0.9999999999843467,-102.99999999998644,-178.00000000000037,-132.99999999999423,140.00000000001478,-324.9999999999975,116.00000000000499,-319.0000000000026,-345.9999999999894,-472.999999999999,-249.99999999999466,,-1724.999999999959
2018.11.26,178.99999999999582,295.99999999999227,-38.0000000000047,-97.9999999999981,-214.99999999999852,1.0000000000065512,-108.99999999998133,-208.00000000000819,-132.99999999999423,137.00000000000045,-401.00000000000693,106.00000000000608,-310.0000000000023,-344.99999999999886,-486.0000000000042,-284.9999999999908,,-1908.9999999999873
2018.11.26,139.9999999999846,285.99999999998715,-114.0000000000141,-195.9999999999962,-304.00000000000426,-28.999999999990145,-135.9999999999806,-295.0000000000008,-128.99999999999022,118.99999999999977,-567.0000000000064,124.00000000001299,-341.0000000000082,-464.9999999999892,-585.9999999999985,-361.9999999999957,,-2854.99999999999
2018.11.26,78.00000000000028,290.9999999999968,-111.00000000001664,-217.99999999999596,-322.00000000000006,-61.99999999998429,-137.9999999999937,-304.00000000000426,-124.99999999999733,204.00000000000773,-526.9999999999886,80.00000000001339,-338.99999999999864,-477.99999999999443,-581.0000000000031,-379.9999999999915,,-2931.9999999999504
2018.11.26,41.99999999998649,253.0000000000001,-99.00000000000463,-187.9999999999993,-322.00000000000006,-47.99999999998139,-133.99999999998968,-268.0000000000016,-115.99999999999389,227.00000000000387,-458.9999999999872,75.00000000000284,-308.00000000000693,-417.0000000000016,-564.0000000000072,-385.99999999999744,,-2711.9999999999773
2018.11.26,48.99999999998794,288.99999999998727,-127.00000000001043,-224.9999999999974,-353.0000000000033,-12.999999999996348,-123.99999999999079,-260.00000000000466,-131.99999999999878,260.0000000000193,-509.99999999998823,63.99999999999739,-332.00000000000784,-469.99999999999886,-612.000000000009,-391.9999999999924,,-2888.000000000006
2018.11.26,58.000000000002494,291.9999999999874,-131.99999999999878,-231.0000000000034,-358.9999999999982,8.000000000008,-124.99999999999733,-270.99999999999903,-154.99999999999403,262.00000000000045,-567.0000000000064,45.000000000006146,-371.0000000000093,-489.9999999999949,-629.0000000000049,-398.9999999999938,,-3063.9999999999955
2018.11.26,-1.0000000000065512,287.9999999999967,-150.00000000000568,-249.99999999999466,-372.0000000000057,-21.999999999988695,-133.99999999998968,-265.0000000000041,-141.99999999999767,298.0000000000018,-513.9999999999923,19.999999999997797,-353.00000000000864,-494.99999999999034,-632.000000000005,-405.9999999999952,,-3129.999999999988
2018.11.26,3.999999999981796,282.99999999998704,-192.99999999999872,-222.99999999999542,-385.000000000002,-26.999999999999247,-123.99999999999079,-248.00000000000378,-141.99999999999767,286.00000000000136,-478.0000000000006,56.000000000011596,-382.000000000005,-478.9999999999992,-656.9999999999965,-403.99999999999324,,-3113.0
2018.11.26,7.999999999985796,262.00000000000045,-255.00000000000523,-275.000000000003,-424.00000000000216,7.0000000000014495,-154.99999999999403,-275.99999999999847,-189.99999999999017,274.0000000000009,-600.0000000000006,63.99999999999739,-401.00000000001046,-507.99999999999557,-674.9999999999972,-405.9999999999952,,-3550.0000000000064
2018.11.26,-75.00000000000284,259.00000000000034,-290.9999999999968,-322.00000000000006,-455.0000000000054,-90.99999999999665,-265.99999999998846,-329.00000000000153,-225.99999999999287,278.00000000002,-629.9999999999973,-96.00000000000719,-426.00000000000193,-567.9999999999978,-728.0000000000086,-437.999999999994,,-4403.999999999971
2018.11.26,-50.0000000000167,260.9999999999957,-270.00000000001467,-385.99999999999744,-462.0000000000068,-26.999999999999247,-290.9999999999968,-403.0000000000089,-300.99999999999574,274.0000000000009,-844.0000000000003,-116.99999999998934,-449.0000000000123,-664.999999999992,-742.0000000000044,-444.9999999999954,,-4917.000000000034
2018.11.26,-168.0000000000126,316.99999999999307,-345.0000000000175,-419.9999999999982,-462.0000000000068,-187.99999999998818,-335.9999999999808,-421.0000000000047,-242.99999999999324,331.0000000000173,-845.0000000000068,-123.99999999999079,-557.0000000000022,-772.9999999999961,-814.9999999999977,-436.9999999999985,,-5485.999999999984
2018.11.26,-211.00000000000563,346.9999999999942,-353.0000000000033,-402.00000000000233,-456.00000000000085,-102.00000000000209,-292.9999999999877,-375.0000000000031,-230.99999999999233,563.0000000000166,-719.9999999999873,-119.99999999998678,-549.0000000000066,-743.9999999999998,-787.0000000000061,-390.99999999999693,,-4823.999999999971
2018.11.26,-219.00000000001364,322.9999999999933,-350.00000000000585,-454.9999999999943,-557.0000000000075,-119.99999999998678,-281.99999999998226,-374.0000000000077,-276.9999999999939,493.9999999999998,-787.9999999999887,-164.99999999999292,-520.0000000000102,-753.9999999999907,-865.9999999999997,-517.9999999999962,,-5427.999999999978
2018.11.26,-239.00000000001143,285.99999999998715,-356.00000000000074,-490.00000000000153,-580.0000000000027,-126.99999999998823,-335.9999999999808,-453.0000000000034,-267.99999999999045,521.000000000015,-858.9999999999875,-191.00000000000784,-489.0000000000043,-771.0000000000008,-870.0000000000045,-542.9999999999935,,-5764.999999999975
2018.11.26,-294.0000000000165,286.9999999999919,-309.0000000000037,-483.0000000000001,-551.0000000000015,-295.0000000000008,-332.9999999999833,-460.00000000000483,-227.99999999999488,510.9999999999957,-841.9999999999872,-163.9999999999864,-459.0000000000032,-768.0000000000007,-838.9999999999986,-539.999999999996,,-5766.999999999991
2018.11.26,-290.00000000001245,290.9999999999968,-260.0000000000158,-402.00000000000233,-492.0000000000035,-283.99999999999534,-282.9999999999888,-409.0000000000038,-107.99999999999699,602.0000000000039,-550.000000000006,-103.99999999999298,-436.00000000000705,-688.0000000000024,-780.0000000000011,-479.99999999999153,,-4673.00000000002
