date,EURCHF,NZDCHF,EURCAD,empty,sum
2017.05.15,-104.99999999999955,-36.999999999998145,-56.99999999999594,,-198.99999999999363
2017.05.15,-103.00000000000864,-36.999999999998145,38.0000000000047,,-102.0000000000021
2017.05.15,-124.00000000001299,40.00000000000669,24.999999999986144,,-59.00000000002015
2017.05.15,-129.00000000000134,57.00000000000705,12.999999999996348,,-58.99999999999794
2017.05.15,-106.00000000000608,158.0000000000026,79.99999999999119,,131.9999999999877
2017.05.15,-99.00000000000463,164.00000000000858,95.999999999985,,160.99999999998894
2017.05.15,-124.99999999999733,163.00000000000205,164.99999999999292,,202.99999999999764
2017.05.15,-158.99999999999804,194.0000000000053,65.99999999998829,,100.99999999999554
2017.05.15,-114.99999999999844,236.00000000000287,44.99999999998394,,165.99999999998838
2017.05.15,-138.0000000000159,253.99999999999866,25.999999999992696,,141.99999999997547
2017.05.15,-150.00000000000568,231.99999999999886,0.9999999999843467,,82.99999999997752
2017.05.15,-148.00000000001478,287.0000000000039,-268.0000000000016,,-129.00000000001245
2017.05.15,-114.0000000000141,272.00000000000557,-350.00000000000585,,-192.00000000001438
2017.05.15,-106.00000000000608,256.0000000000007,-316.0000000000052,,-166.00000000001057
2017.05.15,-106.00000000000608,259.0000000000092,-268.0000000000016,,-114.99999999999847
2017.05.15,-121.00000000001555,240.00000000000688,-273.0000000000121,,-154.00000000002078
2017.05.15,-146.00000000000168,243.99999999999977,-226.99999999999943,,-129.00000000000134
2017.05.15,-151.00000000001222,240.00000000000688,-295.0000000000008,,-206.00000000000614
2017.05.15,-199.00000000001583,259.0000000000092,-323.0000000000066,,-263.0000000000132
2017.05.15,-200.00000000000017,370.00000000000364,-736.0000000000033,,-565.9999999999998
2017.05.15,-202.9999999999976,302.0000000000023,-649.999999999995,,-550.9999999999903
2017.05.15,-192.99999999999872,279.00000000000705,-659.0000000000095,,-573.0000000000013
2017.05.15,-155.00000000001623,275.99999999999847,-553.0000000000035,,-432.00000000002126
2017.05.15,-126.0000000000039,257.0000000000072,-478.0000000000006,,-346.99999999999727
2017.05.15,-96.00000000000719,263.0000000000021,-558.9999999999984,,-392.0000000000035
2017.05.15,-90.00000000001229,378.00000000000057,-595.9999999999966,,-308.0000000000083
2017.05.15,-80.99999999999774,348.9999999999993,-572.0000000000169,,-304.00000000001535
2017.05.15,-185.99999999999727,357.00000000000733,-443.99999999999994,,-272.9999999999899
2017.05.15,-204.00000000000418,343.9999999999999,-419.9999999999982,,-280.0000000000025
2017.05.15,-175.99999999999838,342.000000000009,-522.0000000000002,,-355.99999999998965
2017.05.15,-182.0000000000155,333.0000000000055,-514.9999999999987,,-364.00000000000875
2017.05.15,-147.00000000000824,287.0000000000039,-436.00000000001415,,-296.0000000000185
2017.05.15,-114.0000000000141,208.00000000000819,-400.00000000000034,,-306.00000000000625
2017.05.15,-150.00000000000568,131.00000000000333,-39.00000000001125,,-58.00000000001361
2017.05.15,-236.99999999999832,164.00000000000858,-34.000000000000696,,-106.99999999999044
2017.05.15,-209.9999999999991,86.0000000000083,63.99999999999739,,-59.9999999999934
2017.05.15,-174.00000000000747,87.00000000000374,83.9999999999952,,-3.0000000000085407
2017.05.15,-167.00000000000603,53.00000000000304,97.9999999999981,,-16.00000000000489
