date,GBPUSD,USDCAD,GBPCHF,CHFJPY,NZDCHF,EURGBP,GBPJPY,EURJPY,CADJPY,AUDCAD,empty,sum
2021.07.19,-8.000000000008,-51.000000000001044,-59.000000000009045,-75.9999999999934,-190.00000000000128,-156.99999999999602,0.0,0.0,0.0,-109.99999999999899,,-651.0000000000077
2021.07.19,0.0,-80.99999999999774,-97.00000000001374,10.000000000005116,-184.00000000000637,-154.99999999999403,14.999999999986358,159.9999999999966,29.999999999986926,-127.99999999999478,,-430.00000000003166
2021.07.19,-25.999999999992696,-171.99999999999437,-85.00000000000173,1.0000000000047748,-241.00000000000233,-192.99999999999872,15.999999999991132,141.9999999999959,27.000000000001023,-105.99999999999498,,-636.999999999992
2021.07.19,-24.000000000001798,-180.99999999998673,-80.99999999999774,23.000000000010346,-235.00000000000742,-217.99999999999596,-17.00000000002433,145.99999999998658,-12.000000000000455,-86.99999999999264,,-686.0000000000101
2021.07.19,-18.0000000000069,-190.00000000000128,-106.00000000000608,-4.9999999999954525,-204.99999999999963,-231.99999999999886,-96.00000000000364,97.00000000000841,-50.00000000001137,-76.99999999999375,,-882.0000000000085
2021.07.19,-49.00000000001015,-207.00000000000162,-164.00000000000858,-27.000000000001023,-174.00000000000747,-244.99999999999523,-202.0000000000266,26.00000000001046,-111.0000000000042,-53.999999999998494,,-1207.000000000043
2021.07.19,-72.0000000000054,-243.99999999999977,-182.99999999999983,-18.999999999991246,-97.00000000000264,-252.99999999999213,-213.00000000002228,26.00000000001046,-134.00000000000034,-14.999999999998348,,-1204.0000000000016
2021.07.19,-139.00000000000023,-347.9999999999928,-177.00000000000495,-119.99999999999034,-86.0000000000083,-251.99999999999667,-311.00000000000705,-86.00000000001273,-221.00000000000364,0.0,,-1740.0000000000166
2021.07.19,-120.99999999999334,-326.9999999999884,-146.00000000000168,-123.99999999999523,-108.00000000000809,-232.99999999999432,-299.0000000000066,-70.99999999999795,-214.00000000001285,-5.999999999994898,,-1648.9999999999932
2021.07.19,-119.00000000000244,-343.00000000000443,-114.0000000000141,-98.99999999998954,-98.0000000000092,-214.99999999999852,-231.00000000002296,-58.9999999999975,-181.0000000000116,-20.999999999993246,,-1480.0000000000434
2021.07.19,-110.99999999999443,-370.00000000000364,-123.00000000000644,-68.9999999999884,-56.0000000000005,-217.99999999999596,-211.00000000001273,-30.000000000001137,-187.00000000001182,-37.99999999999359,,-1413.0000000000086
2021.07.19,-151.9999999999966,-387.99999999998835,-182.99999999999983,-66.99999999999307,-31.000000000003247,-252.99999999999213,-267.00000000002433,-30.000000000001137,-217.00000000001296,-48.99999999999905,,-1637.0000000000107
