date,2015.01.11,2015.01.18,2015.01.25,2015.02.15,2015.02.22,2015.03.01,2015.03.22,2015.03.29,2015.04.05,2015.04.12,2015.04.19,2015.04.26,2015.05.03,2015.05.10,2015.05.17,2015.05.31,2015.06.07,2015.06.14,2015.06.28,2015.07.05,2015.07.12,2015.07.19,2015.07.26,2015.08.02,2015.08.09,2015.08.16,2015.08.23,2015.08.30,2015.09.06,2015.09.13,2015.09.20,2015.09.27,2015.10.04,2015.10.11,2015.10.18,2015.10.25,2015.11.01,2015.11.08,2015.11.15,2015.11.22,2015.11.29,2015.12.06,2016.01.10,2016.01.17,2016.01.24,2016.01.31,2016.02.07,2016.02.14,2016.02.21,2016.02.28,2016.03.06,2016.03.20,2016.03.27,2016.04.03,2016.04.10,2016.04.17,2016.05.01,2016.05.08,2016.05.15,2016.05.22,2016.05.29,2016.06.05,2016.06.12,2016.06.19,2016.06.26,2016.07.03,2016.07.10,2016.07.17,2016.07.24,2016.07.31,2016.08.07,2016.08.14,2016.08.21,2016.08.28,2016.09.11,2016.09.25,2016.10.09,2016.10.16,2016.10.23,2016.10.30,2016.11.06,2016.11.13,2016.11.20,2016.11.27,2016.12.04,2016.12.11,2016.12.25,2017.01.01,2017.01.08,2017.01.15,2017.01.22,2017.01.29,2017.02.05,2017.02.12,2017.02.19,2017.02.26,2017.03.19,2017.03.26,2017.04.02,2017.04.09,2017.04.16,2017.04.23,2017.04.30,2017.05.07,2017.05.14,2017.05.21,2017.06.04,2017.06.11,2017.06.18,2017.06.25,2017.07.09,2017.07.16,2017.07.23,2017.07.30,2017.08.13,2017.09.10,2017.09.17,2017.09.24,2017.10.01,2017.10.15,2017.10.22,2017.10.29,2017.11.05,2017.11.12,2017.11.19,2017.11.26,2017.12.03,2017.12.10,2017.12.31,2018.01.07,2018.01.14,2018.01.21,2018.01.28,2018.02.04,2018.02.11,2018.02.18,2018.02.25,2018.03.18,2018.03.25,2018.04.01,2018.04.08,2018.04.15,2018.04.22,2018.04.29,2018.05.06,2018.05.13,2018.05.20,2018.05.27,2018.06.03,2018.06.17,2018.06.24,2018.07.01,2018.07.08,2018.07.15,2018.07.22,2018.07.29,2018.08.05,2018.08.12,2018.08.19,2018.08.26,2018.09.02,2018.09.09,2018.09.16,2018.09.23,2018.09.30,2018.10.14,2018.10.21,2018.10.28,2018.11.04,2018.11.11,2018.11.18,2018.12.02,2018.12.09,2019.01.06,2019.01.13,2019.01.20,2019.01.27,2019.02.03,2019.02.10,2019.02.17,2019.02.24,2019.03.03,2019.03.10,2019.03.17,2019.03.24,2019.03.31,2019.04.07,2019.04.14,2019.04.21,2019.05.05,2019.05.12,2019.05.19,2019.05.26,2019.06.02,2019.06.09,2019.06.16,2019.06.23,2019.06.30,2019.07.07,2019.07.14,2019.07.21,2019.07.28,2019.08.04,2019.08.11,2019.08.18,2019.08.25,2019.09.01,2019.09.15,2019.09.22,2019.09.29,2019.10.06,2019.10.13,2019.10.20,2019.10.27,2019.11.03,2019.11.10,2019.11.17,2019.11.24,2019.12.08,2019.12.29,2020.01.05,2020.01.12,2020.01.19,2020.01.26,2020.02.02,2020.02.09,2020.02.16,2020.02.23,2020.03.01,2020.03.08,2020.03.15,2020.03.29,2020.04.05,2020.04.12,2020.04.19,2020.04.26,2020.05.03,2020.05.10,2020.05.17,2020.05.24,2020.05.31,2020.06.07,2020.06.14,2020.06.21,2020.06.28,2020.07.05,2020.07.12,2020.07.19,2020.07.26,2020.08.02,2020.08.09,2020.08.16,2020.08.23,2020.08.30,2020.09.06,2020.09.13,2020.09.20,2020.09.27,2020.10.04,2020.10.11,2020.10.18,2020.10.25,2020.11.01,2020.11.08,2020.11.15,2020.11.22,2020.11.29,2020.12.06,2020.12.27,2021.01.03,2021.01.10,2021.01.17,2021.01.24,2021.01.31,2021.02.07,2021.02.14,2021.02.21,2021.02.28,2021.03.07,2021.03.14,2021.03.21,2021.03.28,2021.04.04,2021.04.11,2021.04.18,2021.04.25,2021.05.02,2021.05.09,2021.05.16,2021.05.23,2021.05.30,2021.06.13,2021.06.20,2021.06.27,2021.07.04,2021.07.11,2021.07.18,2021.07.25,2021.08.01,2021.08.08,2021.08.15,2021.08.22,2021.08.29,2021.09.05,2021.09.12,2021.09.19,2021.09.26,2021.10.03,2021.10.10,2021.10.17,2021.10.24,2021.10.31,2021.11.07,2021.11.14,2021.11.21,empty,sum
MON 00:00,-2867.9999999999905,-3212.000000000009,-6122.999999999976,-1431.0000000000337,-1324.9999999999495,-2022.9999999999989,-2113.000000000045,-4382.000000000074,-1968.9999999999893,-1921.000000000033,-1222.0000000000098,-2014.000000000008,-2871.999999999985,-1496.9999999999982,-1592.9999999999502,-1633.99999999996,-1499.0000000000216,-2072.0000000000064,-1537.0000000000216,-2332.9999999999973,-1434.0000000000473,-1481.9999999999627,-2700.99999999991,-1041.0000000000516,-3217.0000000000086,-2514.9999999999736,-2044.000000000055,-1441.9999999999834,-2012.999999999998,-1434.9999999999684,-2200.9999999999104,-1040.000000000001,-1709.0000000000205,-1814.000000000007,-1944.9999999999875,-2697.000000000005,-1155.9999999999525,-3015.9999999999745,-1707.9999999999643,-1728.9999999999625,-2034.0000000000805,-3202.0000000000045,-4606.000000000023,-2548.000000000094,-2852.9999999999504,-4193.999999999986,-3056.999999999965,-4175.000000000009,-3318.0000000000286,-2549.999999999985,-3299.999999999965,-2110.999999999992,-2771.0000000000077,-3602.999999999936,-2019.9999999999936,-1848.000000000001,-2989.0000000000705,-3567.000000000009,-2259.0000000000546,-1306.0000000000184,-2158.000000000009,-2854.9999999999927,-5942.000000000009,-5961.0000000000055,-3933.000000000069,-2681.000000000061,-2793.999999999962,-1237.9999999999925,-1929.0000000000507,-3753.9999999999577,-2041.0000000000027,-2941.0000000000296,-1841.0000000000452,-1727.0000000000052,-1207.0000000000118,-5937.999999999951,-1880.0000000000289,-1169.0000000000357,-1621.0000000000443,-6335.000000000046,-2863.000000000023,-3955.0000000000127,-2746.000000000055,-7460.000000000024,-3945.000000000017,-3000.0000000000227,-2737.0000000000227,-1839.999999999927,-5638.999999999976,-2626.999999999934,-2238.000000000052,-2923.000000000009,-3975.9999999999945,-2335.00000000004,-1250.0000000000905,-2449.9999999999663,-2345.000000000002,-2795.999999999951,-1524.9999999999857,-2959.999999999976,-2861.9999999999595,-3379.9999999999845,-2023.9999999999695,-1316.9999999999873,-1650.9999999999848,-1758.0000000000136,-2107.00000000001,-1916.0000000000307,-1632.999999999961,-2330.000000000028,-1760.999999999979,-1675.9999999999868,-2279.999999999993,-1949.9999999999632,-2441.999999999948,-2123.0000000000496,-1601.0000000000457,-1220.0000000000614,-1233.999999999974,-1218.9999999999518,-1600.0000000000548,-1657.0000000000357,-1509.9999999999484,-1222.9999999999632,-1452.000000000022,-1619.9999999999727,-1735.999999999945,-2230.999999999931,-2394.0000000000277,-1485.0000000000082,-1464.0000000000102,-1896.0000000000075,-1643.999999999996,-1909.000000000048,-1140.0000000000805,-2422.9999999999523,-3870.999999999999,-2040.9999999999875,-2317.99999999995,-1486.9999999999825,-1646.0000000000264,-2124.999999999975,-1366.9999999999798,-1640.0000000000036,-2303.999999999952,-2415.000000000034,-2711.000000000049,-2327.00000000002,-1216.000000000013,-2922.000000000012,-3637.000000000012,-1701.999999999975,-1607.999999999959,-1735.000000000055,-2176.999999999979,-1558.999999999947,-3195.000000000008,-1185.0000000000168,-2959.9999999999686,-1310.9999999999827,-1168.000000000001,-1409.0000000000389,-1741.99999999995,-2542.000000000011,-2286.9999999999586,-3129.0000000000027,-1380.00000000001,-3221.99999999995,-1408.999999999987,-1476.000000000012,-1192.9999999999975,-2544.999999999958,-1884.0000000000427,-2010.9999999999563,-2755.000000000028,-1240.0000000000312,-1611.0000000000111,-1730.000000000012,-1005.0000000000128,-2708.999999999975,-2381.000000000018,-1295.000000000009,-591.9999999999402,-1540.999999999922,-2280.000000000073,-1954.9999999999288,-1201.0000000000418,-1840.9999999999625,-2239.00000000004,-2478.0000000000573,-1838.9999999999688,-962.9999999999876,-1990.999999999991,-1388.9999999999918,-2053.999999999985,-1731.9999999999966,-4551.0000000000055,-2017.0000000000591,-3455.0000000000523,-3005.99999999995,-2004.000000000016,-3799.999999999952,-2010.000000000001,-3231.9999999999773,-1729.0000000000364,-1894.0000000000405,-2008.0000000000148,-1503.0000000000073,-1523.0000000000105,-2299.0000000000646,-986.9999999999916,-2287.9999999999923,-801.9999999999725,-868.0000000000185,-1978.9999999999743,-2230.999999999996,-1522.000000000005,-692.0000000000034,-1490.9999999999864,-1934.9999999999504,-1583.0000000000184,-1054.9999999999577,-1793.0000000000125,-2104.9999999999764,-1402.9999999999586,-1291.9999999999836,-2587.00000000002,-6935.000000000072,-5779.000000000043,-8374.000000000005,-2222.999999999984,-2635.999999999998,-2588.9999999999586,-2346.9999999999945,-3434.999999999963,-1885.0000000000327,-3866.000000000014,-2583.000000000037,-2188.0000000000136,-3145.9999999999827,-3536.9999999999745,-2497.999999999966,-1480.9999999999957,-3524.000000000045,-1772.9999999999673,-1769.999999999985,-2829.000000000018,-2686.9999999999554,-1571.0000000000225,-2536.999999999956,-1769.9999999999973,-1255.0000000000514,-1527.0000000000168,-1567.0000000000264,-2172.000000000011,-2662.0000000000173,-2168.999999999953,-2047.9999999999836,-1604.0000000000869,-1452.9999999999766,-2421.9999999999745,-2798.999999999957,-3240.999999999983,-1612.9999999999357,-1628.0000000000314,-2105.9999999999245,-2299.0000000000045,-2206.9999999999845,-2205.000000000004,-2782.0000000000027,-1814.9999999999611,-2407.999999999932,-1707.9999999999886,-857.0000000000522,-713.0000000000413,-1429.999999999964,-1619.0000000000175,-1046.9999999999648,-1319.9999999999438,-1733.9999999999905,-2087.0000000000277,-1385.000000000044,-4058.000000000025,-1846.0000000000664,-2246.0000000000555,-4075.0000000000073,-3227.999999999932,-2869.9999999999445,-2013.9999999999852,-2951.000000000027,-3499.000000000028,-2904.0,-4372.000000000068,-3488.999999999977,-2895.9999999999354,-2294.999999999994,-3800.000000000001,-7349.999999999941,-2902.000000000024,-3493.9999999999905,-3252.9999999999995,-2589.999999999986,-2592.999999999964,-2400.999999999959,-2656.999999999985,-3631.000000000019,-3206.999999999987,-2209.999999999984,-3943.000000000021,-2208.000000000019,-1348.9999999999864,-3980.99999999998,-2971.999999999986,-3301.999999999998,-4143.999999999905,,-745608.9999999997
MON 00:30,-2423.9999999999773,-3549.0000000000514,-8231.999999999985,-1396.0000000000098,-354.99999999996845,-2768.000000000018,-1820.0000000000184,-3331.00000000002,-1042.9999999999895,-402.0000000000752,-1358.000000000051,-2182.9999999999923,-2292.999999999994,-517.0000000000505,-2030.0000000000036,-1871.9999999999245,-1226.0000000000027,-1737.0000000000557,-1827.0000000000373,-1187.9999999999382,-900.0000000000101,-1158.9999999999354,-1651.9999999999231,9.99999999997803,-2468.000000000014,-2523.000000000055,-2353.000000000085,-549.9999999999782,-1847.9999999999784,-784.9999999999847,-2469.9999999999345,-1445.000000000021,-1963.999999999975,-676.9999999999787,-2021.0000000000157,-467.00000000007685,-620.9999999999739,-3444.9999999999527,-1226.9999999999632,-1316.0000000000568,-2872.0000000001232,-2603.999999999945,-4521.999999999979,-2467.000000000107,-2268.000000000056,-4071.999999999887,-3539.000000000009,-2423.9999999999977,-3521.000000000067,-2844.000000000045,-3336.999999999986,-2649.9999999999977,-2126.9999999999623,-3100.999999999983,-65.99999999998698,-309.00000000000153,-2920.999999999989,-3110.999999999975,-1009.0000000000524,-1365.9999999999898,-751.0000000000213,-2689.0000000000223,-5229.999999999964,-3708.000000000016,-3311.999999999993,-1947.9999999999973,-3359.000000000007,-571.0000000000343,-2140.9999999999727,-3595.000000000003,-1454.9999999999786,-1966.0000000000264,-2057.000000000018,-622.9999999999944,-1545.9999999999563,-5139.9999999999845,-1732.0000000000357,-1718.0000000000673,-1736.9999999999886,-1963.0000000000475,-1550.0000000000127,-3007.000000000035,-326.0000000000542,-4800.99999999998,-2226.0000000000323,-1816.0000000000548,-2474.0000000000728,-1123.9999999999668,-3046.0000000000005,-1305.999999999927,-1182.999999999996,-1097.999999999999,-3839.9999999999623,-2058.0000000000005,-2079.9999999999723,-1974.9999999999989,-1874.999999999992,-2334.9999999999573,-1464.999999999996,-2632.999999999941,-1223.999999999951,-2816.000000000021,-1172.9999999999786,-892.9999999999962,615.9999999999762,-658.9999999999887,-684.9999999999997,-1678.0000000000032,-1668.0000000000384,-902.0000000000156,-1626.999999999975,-1392.0000000000175,-1719.0000000000216,-1165.9999999999811,-2180.999999999981,-2091.000000000036,-2931.999999999962,-692.0000000000614,-1783.9999999999748,-131.99999999995745,16.9999999999031,-590.0000000000687,-909.0000000000318,-1481.0000000000057,-523.0000000000218,-519.0000000000094,-525.99999999995,-976.9999999999994,-993.0000000000164,-746.0000000000734,-959.9999999999868,-829.0000000000371,-1397.999999999965,-154.00000000004388,-62.00000000007982,-2649.999999999972,-2807.999999999979,-1606.9999999999989,-1895.000000000015,-916.9999999999905,-836.0000000000283,-681.0000000000401,-1046.9999999999268,-1503.9999999999864,-1880.9999999999247,-1458.000000000031,-2501.0000000000064,-1883.0000000000805,-699.000000000045,-2376.0000000000578,-3012.0000000000064,-798.9999999999432,-1551.9999999999995,-1511.9999999999995,-1234.9999999999898,-1323.9999999999793,-2912.9999999999995,-419.00000000003297,-2286.00000000004,-398.0000000000215,-1073.9999999999989,-1552.000000000037,-1090.999999999952,-1945.0000000000057,-1362.9999999999936,-3152.0000000000064,-987.0000000000216,-1756.9999999999582,-428.9999999999674,-1288.000000000057,210.00000000000173,-3109.0000000000146,-971.0000000000184,-1981.999999999964,-1585.0000000000564,-62.00000000003706,-1268.0000000000268,-2674.00000000004,-858.0000000000156,-3069.9999999999463,-1589.0000000000323,-1226.0000000000584,-729.9999999999654,-1517.999999999922,-2091.9999999999395,-1515.9999999999484,-424.0000000000391,-1232.9999999999663,-1576.0000000000114,-3109.000000000019,-1192.9999999999889,-676.0000000000683,-2122.99999999997,-986.9999999999292,-1461.9999999999916,-1587.9999999999743,-3302.999999999997,-1805.0000000000668,-4154.000000000022,-2291.9999999999523,-2140.999999999998,-3022.999999999943,-1574.000000000027,-4206.0,-1270.0000000000564,-1453.9999999999934,-1484.999999999979,-1033.0000000000448,-868.9999999999944,-2387.000000000022,-638.9999999999759,-2270.9999999999786,753.9999999999656,-239.99999999999625,-312.0000000000247,-1738.9999999999886,-909.9999999999856,-179.00000000003888,-1564.9999999999748,-1952.000000000009,-1752.999999999976,-952.0000000000553,-1192.0000000000368,-1765.0000000000482,-1582.9999999999902,-568.9999999999734,-1486.9999999999588,-5920.999999999981,-7296.000000000027,1719.0000000000216,6097.999999999971,-128.99999999994355,-3305.999999999947,-1403.0000000000343,-2078.9999999999573,-1976.999999999983,-4033.999999999975,-1426.9999999999836,-1758.0000000000116,-1607.9999999999752,-1546.9999999999504,-3144.999999999968,-718.9999999999677,-3324.000000000012,-1941.9999999999447,-1733.0000000000068,-1799.000000000006,-512.0000000000365,-1618.0000000000446,-1961.0000000000016,-729.0000000000039,-348.00000000001364,-639.0000000000207,-1249.0000000000264,-2127.9999999999886,-1886.0000000000407,-2563.9999999999677,-2600.0000000000277,-1224.0000000000812,-1967.999999999976,-1784.0000000000723,-1737.0000000000225,-3137.999999999924,818.0000000000168,-821.0000000000224,-374.9999999999525,-2142.999999999991,-1853.9999999999488,-630.9999999999912,-1894.0000000000305,-582.9999999999761,-1792.99999999994,-514.0000000000184,612.9999999999795,877.9999999999832,-519.9999999999112,-1085.00000000005,2926.000000000034,-13.00000000006385,1434.9999999999525,-944.999999999978,456.9999999999657,-2562.0000000000177,-1096.0000000000225,-2452.0000000000705,-2400.000000000033,-2534.9999999999613,-1837.9999999999277,39.99999999998487,-2180.0000000000227,-2871.999999999976,-965.9999999999344,-4668.000000000037,-1954.9999999999168,-1272.9999999999443,-2756.999999999972,-2878.999999999984,-4408.9999999999545,-2608.0000000000086,-2721.000000000051,-2328.9999999999814,-1739.0000000000423,-2383.999999999916,-1449.9999999999334,-2569.9999999999204,-3141.000000000018,-1976.000000000024,-1523.0000000000196,-3995.000000000092,-1527.0000000000132,336.99999999996544,-2595.0000000000005,-2814.999999999924,-2146.9999999999754,-2692.9999999999777,,-536198.0000000006
MON 01:00,-3421.999999999977,-3539.999999999992,-8506.000000000022,-1602.000000000044,-1560.9999999999566,-3967.999999999965,-1969.0000000000323,-3930.999999999998,-1927.0000000000043,-952.0000000000248,-1929.0000000000196,-2918.00000000001,-2031.000000000009,-1289.0000000000227,-1339.0000000000125,-1387.9999999999811,241.99999999998712,-2663.999999999982,-6075.000000000059,-1807.9999999999625,-879.9999999999955,-1691.9999999999702,-1168.999999999921,-160.0000000000148,-1440.9999999999868,-3368.0000000000427,-2115.000000000046,-1639.0000000000005,-2209.9999999999936,-970.999999999958,-2587.9999999999536,-1030.000000000005,-2279.000000000068,-270.00000000003183,-2077.9999999999445,-279.00000000006565,135.0000000000038,-3831.9999999999486,-1545.9999999999595,-2241.00000000005,-4156.000000000078,-3194.9999999999973,-4453.999999999958,-2505.0000000001373,-2558.9999999999886,-6149.999999999965,-6197.9999999999945,-989.9999999999536,-3021.0000000000623,-3011.000000000011,-3377.9999999999723,-4744.000000000032,-2741.000000000001,-3616.9999999999623,-1396.000000000067,-2842.000000000022,-3414.999999999964,-3726.999999999998,-1021.000000000023,-1968.0000000000384,-2306.000000000024,-3469.000000000061,-6522.000000000006,-10085.000000000036,-3520.00000000001,-2923.0000000000264,-9518.999999999993,-730.9999999999769,-3410.999999999992,-2512.0000000000373,-1781.9999999999611,-1776.0000000000368,-2812.000000000031,368.0000000000212,-1464.0000000000075,-4829.000000000036,-2294.999999999991,-1168.0000000000075,-1734.0000000000127,-2764.000000000035,-2448.00000000004,-2990.9999999999764,527.9999999999656,-6791.999999999977,-1769.000000000048,-2293.000000000031,-3630.000000000041,-1412.0000000000236,-3904.0000000000873,-2855.999999999969,-2701.999999999992,-859.9999999999293,-5140.999999999998,-2565.999999999972,-3617.000000000021,-2418.999999999937,-1792.999999999926,-3154.999999999973,-1981.9999999999757,-2853.999999999952,-1065.9999999999368,-2255.0000000000127,-2239.999999999961,-1529.999999999999,-142.0000000000519,248.99999999998144,-544.9999999999799,-1352.00000000007,-1326.0000000000337,-1009.0000000000982,-1653.9999999999757,-1108.9999999999952,-1925.999999999944,305.00000000005207,-2839.999999999965,-2416.999999999986,-2146.000000000118,-871.0000000000651,-1822.9999999999764,-199.9999999999753,998.99999999991,-252.00000000001492,-838.0000000000501,-2580.9999999999877,-445.0000000000073,905.0000000000172,-162.00000000000443,-467.00000000000455,-834.0000000000591,-578.0000000000318,-1254.0000000000002,-137.00000000006884,-3812.999999999955,-874.0000000000209,103.999999999905,-3284.999999999956,-3568.000000000021,-2601.9999999999345,-3035.999999999991,-1239.9999999999875,-1034.9999999999948,-903.9999999999887,-1167.0000000000048,-1168.000000000003,-1584.9999999999377,-1842.000000000069,-2396.9999999999545,-2313.000000000017,-819.0000000000416,-2625.999999999993,-2421.000000000034,-1257.0000000000175,-1752.9999999999743,-1015.0000000000146,-970.0000000000337,-2506.9999999999786,-4329.999999999978,66.99999999996723,-2001.9999999999895,-616.0000000000042,-1814.0000000000248,-1171.0000000000691,-152.00000000001037,-3458.999999999972,-952.999999999952,-1788.0000000000628,-1194.000000000035,-1618.999999999971,-253.99999999998445,-1797.999999999994,551.9999999999809,-3851.999999999989,-1005.0000000000488,-2744.999999999981,-1072.0000000000346,-465.00000000003536,-905.9999999999802,-1230.000000000016,-806.0000000000333,-1787.999999999979,-1957.9999999999816,-125.000000000024,-822.0000000000107,-1461.9999999999502,-1708.999999999986,-1416.9999999999616,-129.00000000005545,-1344.999999999952,-1105.0000000000275,-2865.000000000043,-1177.9999999999527,-612.0000000000236,-1783.9999999999447,-351.0000000000082,-1494.9999999999743,-1508.9999999999843,-3825.00000000003,-2595.0000000001005,-4154.000000000021,-2375.9999999999013,-2025.0000000000337,-2666.9999999999795,-1539.999999999995,-3227.999999999986,-2526.000000000025,-3265.000000000009,-1799.999999999999,-1416.9999999999854,-1230.9999999999825,-2733.000000000023,863.9999999999691,-5411.999999999995,703.0000000000016,204.99999999999423,133.99999999997712,-1667.9999999999625,-1040.9999999999943,-241.00000000004007,-1420.0000000000164,-2183.0000000000045,-2406.000000000008,-1084.000000000041,-2224.0000000000623,-2784.000000000001,-2532.000000000013,-1139.9999999999743,-2046.0000000000423,-9172.999999999998,-3443.999999999999,9431.999999999993,10176.999999999958,-2759.999999999984,-3794.9999999999695,-652.0000000000371,-2477.000000000026,-2530.000000000038,-5569.0000000000055,-2901.999999999928,-1945.0000000000105,-4049.999999999973,-1071.999999999969,-5656.999999999954,-1170.999999999976,-2786.0000000000105,-842.999999999975,-910.000000000011,-1415.0000000000211,-1238.9999999999902,-1249.0000000000132,-2483.0000000000077,1076.0000000000407,-410.0000000000405,-715.0000000000425,-1877.0000000000148,-2061.999999999973,-2494.000000000008,-2274.9999999999345,-1715.0000000000514,-1541.0000000000084,-2055.999999999961,-1287.0000000000753,-2363.0000000000564,-3791.999999999968,-89.99999999995183,-645.9999999999982,-323.9999999999528,-1374.9999999999534,-1879.9999999999263,-711.9999999999858,-1789.9999999999557,-910.9999999999576,-1188.999999999946,-3072.9999999999977,872.9999999999432,1162.999999999981,-227.9999999999708,-609.0000000000119,3213.999999999999,441.9999999999659,1577.999999999966,-1283.0000000000257,86.99999999999145,-1395.9999999999447,-799.0000000000107,-2020.0000000000537,-2403.000000000022,-2539.9999999999523,-1633.9999999999754,-76.00000000006568,-2385.000000000008,-2370.99999999998,-473.9999999999403,-4109.000000000033,-2019.9999999999648,-1781.999999999932,-1439.00000000001,-3255.9999999999845,-3541.9999999999677,-2955.000000000044,-3597.0000000000373,-2855.0000000000136,-2388.999999999972,-1837.9999999999973,-2195.999999999988,-2537.999999999964,-2523.999999999969,-3502.0000000000223,-2140.9999999999927,-2073.000000000051,-1747.0000000000152,-12.00000000003591,-3309.9999999999736,-3128.000000000009,-2273.999999999983,-5646.999999999921,,-602534.000000001
