date,USDCHF,GBPUSD,EURUSD,GBPCHF,EURCHF,CHFJPY,AUDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURNZD,AUDCAD,AUDNZD,empty,sum
2019.08.19,-212.99999999999653,-141.00000000001333,-36.999999999998145,-112.000000000001,-226.99999999999943,-6.000000000000227,-181.9999999999933,-7.0000000000014495,-239.00000000000432,-121.99999999999989,-178.99999999999582,-239.99999999999488,-200.00000000000017,-115.99999999999389,-122.99999999998423,,-2143.999999999977
2019.08.19,-343.9999999999999,-120.00000000000898,-39.999999999995595,-278.9999999999848,-373.00000000000114,-10.99999999999568,-240.99999999999122,105.99999999999498,-210.00000000000796,-175.00000000001404,-225.00000000000853,-242.999999999995,-292.00000000000335,-153.99999999999858,-184.99999999999073,,-2786.0000000000005
2019.08.19,-219.00000000000253,-60.99999999999994,-86.99999999999264,-66.99999999999484,-292.9999999999877,159.9999999999966,-180.99999999999784,135.99999999999167,-218.9999999999941,-106.00000000000608,-109.00000000000354,-349.9999999999943,-310.0000000000103,-122.99999999999534,-181.9999999999933,,-2010.999999999984
2019.08.19,-239.0000000000003,-139.00000000000023,-82.99999999998863,-147.99999999999258,-299.00000000000483,286.9999999999919,-207.99999999999707,110.99999999999443,-332.9999999999984,-242.00000000000887,-167.00000000000603,-387.00000000000045,-270.99999999999903,-161.99999999999548,-154.99999999999403,,-2434.9999999999995
2019.08.19,-265.99999999999955,-117.00000000001154,-29.999999999996696,-176.99999999998272,-295.99999999998516,254.0000000000049,-220.99999999999343,79.99999999999119,-326.9999999999982,-175.99999999999838,-185.99999999999727,-376.99999999999534,-255.00000000000523,-136.99999999999824,-198.99999999999363,,-2429.999999999959
2019.08.19,-290.9999999999968,-131.99999999999878,-18.0000000000069,-241.99999999998667,-309.99999999998806,225.9999999999991,-248.99999999999923,61.999999999995396,-325.9999999999934,-226.00000000001506,-182.0000000000155,-344.99999999999886,-236.99999999999832,-139.99999999999568,-211.99999999998997,,-2621.999999999988
2019.08.19,-287.0000000000039,-131.99999999999878,-1.999999999990898,-230.9999999999812,-299.00000000000483,167.0000000000016,-253.99999999999866,43.999999999999595,-308.9999999999975,-219.00000000001364,-174.00000000000747,-311.00000000000705,-314.99999999999864,-146.99999999999713,-234.99999999998522,,-2703.9999999999845
2019.08.19,-295.99999999999625,-46.0000000000127,5.000000000010552,-159.99999999998238,-285.00000000000193,161.99999999999193,-219.99999999999798,102.99999999999754,-218.9999999999941,-100.99999999999554,-141.00000000001333,-272.99999999999613,-467.0000000000174,-93.99999999999409,-269.9999999999925,,-2301.9999999999945
2019.08.19,-290.9999999999968,29.999999999996696,12.999999999996348,-80.99999999999774,-289.9999999999903,165.99999999999682,-198.99999999999363,159.9999999999935,-123.99999999999523,-70.99999999999883,-77.00000000001594,-271.0000000000008,-466.00000000001086,-108.99999999999244,-297.9999999999983,,-1908.0000000000077
2019.08.19,-282.99999999999994,2.999999999997449,-15.00000000000945,-81.9999999999821,-278.9999999999848,99.99999999999432,-201.99999999999108,153.99999999999858,-56.99999999998795,-106.00000000000608,-182.0000000000155,-197.9999999999933,-596.0000000000188,-114.99999999999844,-297.9999999999983,,-2155.9999999999955
2019.08.19,-241.99999999999778,-51.000000000001044,-8.000000000008,-100.99999999999554,-263.99999999999756,111.99999999999477,-142.99999999999312,125.99999999999278,-56.99999999998795,-177.00000000000495,-246.00000000001288,-159.9999999999966,-568.000000000013,-75.9999999999983,-289.9999999999903,,-2145.00000000001
2019.08.19,-243.99999999999977,-57.00000000001815,-8.000000000008,-116.99999999998934,-273.9999999999965,137.99999999999102,-158.99999999999804,124.99999999999733,-147.99999999999613,-154.0000000000097,-248.00000000000378,-236.0000000000042,-457.00000000001853,-78.00000000000028,-234.99999999998522,,-2152.000000000039
2019.08.19,-309.0000000000037,-67.00000000001705,-18.999999999991246,-181.9999999999933,-329.99999999998585,121.99999999999989,-162.99999999999093,125.99999999999278,-159.9999999999966,-195.9999999999962,-307.00000000001285,-248.00000000000466,-504.0000000000156,-59.99999999999339,-221.99999999998886,,-2518.9999999999973
2019.08.19,-324.9999999999975,-87.99999999999919,-4.000000000004,-237.99999999998266,-347.9999999999928,123.00000000000466,-223.99999999999088,92.99999999999864,-205.0000000000125,-251.00000000000122,-275.000000000003,-254.0000000000049,-463.9999999999977,-143.9999999999997,-232.99999999999432,,-2836.9999999999764
2019.08.19,-317.9999999999961,-93.00000000000975,5.000000000010552,-236.99999999999832,-340.9999999999913,109.99999999999943,-281.99999999999335,92.99999999999864,-210.00000000000796,-243.99999999999977,-164.00000000000858,-242.00000000000443,-348.9999999999993,-213.99999999999199,-266.999999999995,,-2752.999999999987
2019.08.19,-307.99999999999716,-112.000000000001,2.999999999997449,-248.99999999998812,-336.9999999999873,123.00000000000466,-234.00000000000088,70.99999999999883,-223.99999999998954,-260.0000000000158,-212.99999999999653,-234.99999999999943,-397.0000000000029,-139.99999999999568,-268.0000000000016,,-2779.9999999999745
2019.08.19,-300.0000000000003,-127.00000000001043,0.0,-246.99999999999721,-326.0000000000041,112.99999999999955,-256.99999999999613,67.9999999999903,-236.99999999999477,-266.999999999995,-202.9999999999976,-236.0000000000042,-401.00000000000693,-171.99999999999437,-296.9999999999917,,-2889.000000000003
2019.08.19,-332.99999999999443,-151.00000000001222,11.999999999989797,-309.99999999998806,-354.9999999999942,129.0000000000049,-253.99999999999866,21.999999999999797,-325.9999999999934,-337.0000000000095,-258.0000000000027,-256.0000000000002,-339.0000000000004,-169.99999999999238,-291.9999999999812,,-3217.999999999973
2019.08.19,-332.99999999999443,-253.00000000001432,-31.000000000003247,-383.0,-358.9999999999982,120.00000000000455,-273.9999999999965,-29.000000000001247,-412.00000000000614,-429.00000000001273,-401.00000000000693,-316.0000000000025,-346.0000000000019,-178.99999999999582,-248.99999999998812,,-3874.0000000000177
2019.08.19,-278.9999999999959,-241.00000000000233,-25.00000000000835,-339.99999999998477,-319.999999999987,186.9999999999976,-228.99999999999034,-19.00000000000235,-402.9999999999916,-392.9999999999989,-392.00000000001455,-296.0000000000065,-310.0000000000103,-119.99999999999788,-226.99999999999943,,-3406.9999999999923
