,names,week,needed_features,accuracy
0,EURUSD,10,['GBPCHF'],80.0
1,USDCAD,10,['EURUSD'],80.0
2,AUDUSD,10,"['GBPAUD', 'AUDJPY', 'EURCAD', 'USDCAD', 'EURJPY']",80.0
3,NZDUSD,10,['GBPAUD'],80.0
4,GBPCHF,10,['USDJPY'],80.0
5,EURCHF,20,"['EURGBP', 'NZDJPY']",100.0
6,CHFJPY,20,"['USDJPY', 'AUDCAD']",80.0
7,AUDCHF,15,"['EURGBP', 'GBPAUD', 'GBPCAD']",80.0
8,NZDCHF,10,['GBPAUD'],80.0
9,EURGBP,10,"['EURCAD', 'EURAUD']",100.0
10,GBPJPY,10,"['USDJPY', 'EURUSD']",100.0
11,GBPCAD,10,"['EURCAD', 'EURAUD']",100.0
12,EURJPY,10,"['EURGBP', 'USDJPY', 'GBPJPY']",80.0
13,EURAUD,20,"['AUDJPY', 'GBPCAD']",80.0
14,EURNZD,10,['GBPAUD'],80.0
15,AUDJPY,10,"['EURGBP', 'USDJPY', 'GBPJPY']",80.0
16,NZDJPY,10,"['EURGBP', 'AUDCAD', 'GBPAUD']",100.0
17,AUDCAD,10,"['AUDCAD', 'GBPAUD']",100.0
18,NZDCAD,10,"['AUDCAD', 'NZDJPY', 'AUDUSD', 'GBPAUD']",100.0
19,AUDNZD,20,"['EURUSD', 'USDJPY', 'USDCAD']",100.0
