date,GBPUSD,EURUSD,AUDUSD,GBPCHF,EURCHF,AUDCHF,NZDCHF,EURGBP,EURNZD,CADJPY,AUDJPY,AUDNZD,empty,sum
2019.11.04,-53.999999999998494,-8.999999999992347,-7.9999999999968985,-185.99999999999727,-106.99999999999044,-60.00000000000449,-52.000000000007596,-32.999999999994145,-65.00000000000395,-14.000000000010004,-12.000000000000455,-34.99999999998504,,-634.9999999999811
2019.11.04,-73.99999999999629,29.999999999996696,-4.000000000004,-160.00000000000458,-62.99999999999084,-56.0000000000005,-32.0000000000098,-40.99999999999105,-35.00000000000725,-3.0000000000001137,12.999999999991019,-49.99999999999449,,-475.0000000000112
2019.11.04,-129.00000000000134,29.999999999996696,14.999999999998348,-226.99999999999943,-76.0000000000094,-41.000000000002146,-33.000000000005244,-78.00000000000028,-148.99999999999915,-6.000000000000227,28.999999999996362,-78.99999999998464,,-744.0000000000103
2019.11.04,-140.99999999999113,15.00000000000945,-24.999999999997247,-235.00000000000742,-100.99999999999554,-91.00000000000774,-66.00000000001049,-70.99999999999883,-110.00000000001009,4.9999999999954525,-12.000000000000455,-51.99999999998539,,-883.9999999999995
2019.11.04,-130.99999999999224,21.00000000000435,-50.0000000000056,-246.99999999999721,-97.9999999999981,-121.00000000000443,-113.00000000000753,-61.999999999995396,17.000000000000348,9.000000000000341,-37.00000000000614,-41.000000000002146,,-853.0000000000038
2019.11.04,-93.99999999999409,32.0000000000098,-26.000000000003798,-306.00000000000625,-134.99999999999625,-104.00000000000409,-172.00000000000549,-70.99999999999883,-5.000000000010552,4.9999999999954525,-13.999999999995794,39.00000000001125,,-850.9999999999986
2019.11.04,-69.00000000000794,41.000000000002146,22.999999999995246,-293.99999999999426,-171.99999999999437,-104.99999999999955,-221.00000000000452,-67.9999999999903,219.99999999999798,15.999999999991132,37.9999999999967,157.00000000000713,,-434.0000000000007
2019.11.04,-113.00000000000753,5.000000000010552,-28.000000000005798,-303.9999999999932,-181.9999999999933,-134.0000000000008,-279.00000000000705,-39.999999999995595,288.99999999998374,0.0,-10.99999999999568,182.99999999999983,,-614.000000000005
2019.11.04,-99.99999999998899,0.0,-34.000000000000696,-289.0000000000059,-184.99999999999073,-139.00000000000023,-292.00000000000335,-40.99999999999105,401.99999999999125,-20.000000000010232,-25.000000000005684,233.00000000001654,,-489.99999999998926
2019.11.04,-160.99999999998892,-34.000000000000696,-104.99999999999955,-336.00000000000296,-205.00000000001074,-203.00000000000873,-336.00000000000296,-42.999999999993044,458.00000000000284,-48.00000000000182,-100.99999999999909,215.00000000000963,,-898.9999999999958
2019.11.04,-154.99999999999403,-41.99999999998649,-102.99999999999754,-334.00000000001205,-211.00000000000563,-200.00000000000017,-353.0000000000033,-42.999999999993044,522.0000000000002,-42.00000000000159,-97.00000000000841,245.0000000000063,,-812.9999999999955
2019.11.04,-133.99999999998968,-49.99999999999449,-99.00000000000463,-307.99999999999716,-214.00000000000307,-194.0000000000053,-331.0000000000035,-27.999999999994696,509.99999999998823,-31.00000000000591,-94.0000000000083,240.00000000001796,,-733.0000000000006
2019.11.04,-131.99999999999878,-22.999999999995246,-97.00000000000264,-313.00000000000773,-194.0000000000053,-199.00000000000472,-392.00000000000347,-32.999999999994145,558.9999999999984,-27.000000000001023,-91.00000000000819,243.00000000001543,,-699.0000000000074
2019.11.04,-127.99999999999478,-21.999999999988695,-95.00000000000064,-314.99999999999864,-202.9999999999976,-196.00000000000728,-324.00000000000205,-31.999999999998696,512.0000000000014,-22.00000000000557,-88.99999999999864,219.99999999999798,,-693.9999999999931
2019.11.04,-113.00000000000753,-7.0000000000014495,-72.0000000000054,-330.0000000000081,-208.99999999999253,-192.00000000000327,-324.00000000000205,-42.999999999993044,504.9999999999999,-19.000000000005457,-64.00000000000716,223.00000000001762,,-645.0000000000085
2019.11.04,-110.99999999999443,7.0000000000014495,-70.99999999999883,-357.00000000000733,-222.99999999999542,-201.00000000000674,-342.000000000009,-51.99999999999649,466.9999999999952,-28.000000000005798,-72.00000000000273,214.00000000000307,,-769.000000000017
2019.11.04,-93.99999999999409,-11.00000000000545,-102.00000000000209,-302.0000000000023,-209.9999999999991,-221.99999999999997,-358.0000000000028,-23.999999999990695,567.9999999999907,-45.000000000001705,-123.00000000000466,226.99999999999943,,-696.0000000000126
2019.11.04,-93.00000000000975,-21.00000000000435,-102.99999999999754,-296.0000000000074,-211.00000000000563,-217.0000000000005,-385.000000000002,-19.999999999997797,587.0000000000042,-54.000000000002046,-126.99999999999534,239.00000000001143,,-701.0000000000068
