date,AUDUSD,GBPCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURAUD,EURNZD,empty,sum
2017.03.06,-78.99999999999574,-117.00000000001154,-156.00000000000057,-84.99999999999064,-4.000000000019099,-89.00000000000574,-72.0000000000054,-93.00000000000975,,-695.0000000000384
2017.03.06,-64.99999999999284,-98.0000000000203,-170.99999999999892,-110.99999999999443,171.99999999999704,29.999999999996696,5.999999999994898,-110.00000000001009,,-347.00000000002797
2017.03.06,-104.99999999999955,-47.00000000001925,-152.99999999999204,-117.99999999999588,207.9999999999984,82.00000000000429,110.99999999999443,-25.999999999992696,,-48.000000000002274
2017.03.06,-107.00000000000153,-14.000000000002899,-178.00000000000037,-102.99999999999754,28.999999999996362,212.99999999999653,86.99999999999264,-56.99999999999594,,-130.00000000001273
2017.03.06,-104.99999999999955,-58.000000000002494,-170.99999999999892,-115.99999999999389,-149.0000000000009,190.00000000000128,92.00000000000318,-72.0000000000054,,-388.99999999999676
2017.03.06,-5.999999999994898,-24.000000000001798,-146.00000000000168,-92.99999999999864,-158.00000000001546,215.00000000000963,156.00000000000057,-39.999999999995595,,-95.9999999999979
2017.03.06,-20.999999999993246,-45.000000000006146,-95.99999999999609,-90.99999999999665,-183.00000000002115,168.99999999999693,170.99999999998784,60.99999999999994,,-35.00000000002859
2017.03.06,21.999999999999797,-73.00000000001194,-80.00000000000229,-87.99999999999919,-126.00000000000477,158.0000000000137,214.99999999998744,68.00000000000139,,95.99999999998411
2017.03.06,43.999999999999595,-82.00000000000429,4.000000000004,-96.99999999999153,-130.00000000002387,194.0000000000053,283.99999999999534,245.0000000000063,,461.99999999999085
2017.03.06,75.00000000000284,-72.0000000000054,-12.999999999996348,-87.99999999999919,-122.0000000000141,217.0000000000005,286.99999999999284,209.9999999999991,,493.9999999999802
2017.03.06,75.00000000000284,-74.0000000000185,-31.999999999998696,-103.99999999999298,-177.00000000002092,201.00000000000674,296.9999999999917,181.00000000000892,,366.9999999999791
2017.03.06,75.9999999999983,-73.00000000001194,-2.000000000002,-95.99999999999609,-182.00000000001637,202.9999999999976,299.99999999998914,231.0000000000034,,456.9999999999621
2017.03.06,73.00000000000084,-51.000000000001044,21.00000000000435,-64.99999999999284,-111.00000000001842,246.00000000001288,252.99999999999213,256.99999999999613,,622.9999999999941
2017.03.06,104.99999999999955,-53.00000000001415,21.00000000000435,-65.99999999999939,-145.00000000001023,181.00000000000892,273.9999999999965,272.99999999998994,,589.9999999999754
2017.03.06,65.99999999999939,-12.000000000012001,14.999999999998348,-48.99999999999905,-73.0000000000075,218.00000000000708,190.00000000000128,270.99999999999903,,625.9999999999866
2017.03.06,29.000000000001247,0.9999999999843467,24.000000000001798,-33.9999999999896,-43.00000000000637,259.0000000000092,161.99999999999548,279.99999999999136,,677.9999999999875
2017.03.06,8.000000000008,-63.000000000013046,9.00000000000345,-74.99999999999174,-158.00000000001546,192.99999999999872,104.99999999999955,224.000000000002,,242.99999999999145
2017.03.06,-79.99999999999119,-43.00000000001525,-81.9999999999932,-60.99999999999994,-261.0000000000241,168.0000000000126,-70.99999999999883,25.00000000000835,,-405.00000000000153
2017.03.06,-66.99999999999484,-113.00000000000753,-85.00000000000173,-115.99999999999389,-328.00000000000296,63.000000000013046,-56.000000000011596,21.999999999988695,,-680.0000000000107
2017.03.06,-49.99999999999449,-168.0000000000126,-125.99999999999278,-159.9999999999935,-359.00000000000887,-9.999999999998899,-9.000000000014552,-52.99999999999194,,-935.0000000000076
2017.03.06,-76.99999999999375,-324.0000000000132,-132.99999999999423,-430.9999999999925,-638.0000000000052,-173.00000000000094,113.99999999999189,7.0000000000014495,,-1655.0000000000066
