,names,week,needed_features,accuracy
0,USDCHF,50,"['NZDCAD', 'USDJPY']",100.0
1,GBPUSD,15,"['EURGBP', 'GBPCHF', 'CHFJPY']",80.0
2,EURUSD,50,"['NZDCAD', 'GBPUSD']",80.0
3,USDJPY,50,['AUDCAD'],80.0
4,USDCAD,15,['AUDJPY'],80.0
5,AUDUSD,30,['EURNZD'],80.0
6,NZDUSD,20,['EURGBP'],80.0
7,GBPCHF,10,['NZDCAD'],80.0
8,EURCHF,10,['AUDCAD'],80.0
9,CHFJPY,30,['NZDCAD'],80.0
10,CADCHF,20,['EURCAD'],100.0
11,AUDCHF,15,['USDJPY'],80.0
12,EURGBP,10,['NZDCAD'],80.0
13,GBPJPY,15,['EURAUD'],80.0
14,GBPCAD,10,"['USDCAD', 'CADJPY', 'EURJPY']",100.0
15,GBPAUD,15,"['EURUSD', 'EURGBP', 'GBPCHF', 'CHFJPY', 'AUDJPY', 'AUDUSD', 'AUDCAD']",80.0
16,EURCAD,10,['AUDUSD'],100.0
17,EURAUD,10,['NZDJPY'],100.0
18,CADJPY,20,"['EURJPY', 'EURCAD']",80.0
19,NZDJPY,15,['GBPAUD'],80.0
20,NZDCAD,10,"['AUDUSD', 'GBPCAD', 'NZDUSD']",100.0
