date,USDCAD,GBPCHF,EURGBP,GBPJPY,EURJPY,EURNZD,CADJPY,AUDJPY,empty,sum
2021.05.10,-59.99999999999339,-340.9999999999913,-10.999999999994348,-38.000000000010914,-144.00000000000546,-13.000000000018552,-39.99999999999204,-13.00000000000523,,-660.0000000000113
2021.05.10,66.99999999999484,-378.999999999996,51.000000000001044,-64.99999999999773,-138.00000000000523,318.9999999999804,-7.000000000005002,15.000000000000568,,-137.00000000002717
2021.05.10,-25.00000000000835,-385.99999999999744,-70.99999999999883,-241.00000000001387,-186.00000000000705,276.9999999999939,-51.9999999999925,-13.999999999995794,,-698.0000000000199
2021.05.10,29.999999999996696,-381.0000000000091,-92.99999999999864,-318.00000000001205,-112.99999999999955,254.999999999983,-25.000000000005684,4.9999999999954525,,-640.0000000000498
2021.05.10,-25.999999999992696,-383.0,-73.99999999999629,-328.00000000000296,-130.00000000002387,232.99999999999432,-40.99999999999682,-10.000000000005116,,-759.0000000000235
2021.05.10,-103.00000000000864,-469.0000000000083,-124.00000000000189,-468.00000000001774,-177.99999999999727,191.99999999999218,-88.99999999999864,-69.00000000000261,,-1308.0000000000427
2021.05.10,-70.99999999999883,-527.9999999999951,-147.99999999999258,-694.0000000000168,-334.0000000000032,140.99999999999113,-227.99999999999443,-203.00000000000296,,-2065.0000000000127
2021.05.10,-31.000000000003247,-540.9999999999915,-159.9999999999935,-706.9999999999936,-338.0000000000223,264.9999999999819,-239.00000000000432,-203.99999999999352,,-1955.00000000002
2021.05.10,-52.000000000007596,-575.9999999999987,-190.00000000000128,-794.0000000000111,-373.0000000000189,262.999999999991,-319.9999999999932,-200.00000000000284,,-2242.0000000000423
2021.05.10,-56.000000000011596,-575.9999999999987,-188.9999999999947,-789.999999999992,-374.00000000002365,256.99999999999613,-317.99999999999784,-215.99999999999397,,-2262.0000000000164
2021.05.10,-26.999999999999247,-519.0000000000028,-158.0000000000026,-778.9999999999964,-395.00000000001023,357.99999999999164,-304.00000000000205,-216.99999999999875,,-2041.0000000000205
