date,EURUSD,GBPCHF,empty,sum
2019.04.01,-64.99999999998174,-197.00000000000273,,-261.9999999999845
2019.04.01,0.0,-38.99999999998904,,-38.99999999998904
2019.04.01,-25.999999999992696,-117.99999999999588,,-143.99999999998857
2019.04.01,-48.99999999998794,-133.00000000000534,,-181.9999999999933
2019.04.01,-59.99999999999339,-113.00000000000753,,-173.0000000000009
2019.04.01,-37.99999999998249,-103.99999999999298,,-141.99999999997547
2019.04.01,-51.000000000001044,-133.00000000000534,,-184.0000000000064
2019.04.01,-49.99999999999449,-113.99999999999189,,-163.9999999999864
2019.04.01,-7.0000000000014495,-102.00000000000209,,-109.00000000000354
2019.04.01,-10.999999999983245,12.999999999996348,,2.0000000000131024
2019.04.01,-18.999999999991246,39.00000000001125,,20.000000000020002
2019.04.01,9.000000000014552,106.00000000000608,,115.00000000002063
2019.04.01,42.0000000000087,119.00000000000244,,161.00000000001114
2019.04.01,39.00000000001125,141.99999999999767,,181.00000000000892
2019.04.01,53.00000000001415,140.0000000000068,,193.00000000002095
2019.04.01,63.000000000013046,148.99999999999915,,212.0000000000122
2019.04.01,77.00000000001594,214.00000000000307,,291.000000000019
2019.04.01,104.00000000001519,289.0000000000059,,393.0000000000211
2019.04.01,84.0000000000174,306.00000000000625,,390.00000000002365
2019.04.01,59.000000000009045,368.9999999999971,,428.00000000000614
2019.04.01,13.000000000018552,225.99999999999287,,239.00000000001143
2019.04.01,59.000000000009045,246.99999999999721,,306.00000000000625
2019.04.01,81.00000000001995,225.00000000000853,,306.0000000000285
2019.04.01,148.99999999999915,295.0000000000008,,443.99999999999994
2019.04.01,148.00000000001478,324.0000000000132,,472.00000000002797
2019.04.01,101.00000000001774,319.0000000000026,,420.00000000002035
2019.04.01,82.00000000000429,446.9999999999974,,529.0000000000017
2019.04.01,46.0000000000127,516.0000000000053,,562.0000000000181
2019.04.01,31.000000000003247,737.9999999999942,,768.9999999999975
2019.04.01,9.000000000014552,666.000000000011,,675.0000000000256
2019.04.01,33.00000000001635,716.0000000000056,,749.0000000000219
2019.04.01,70.0000000000145,583.0000000000002,,653.0000000000148
2019.04.01,34.000000000000696,713.9999999999924,,747.9999999999931
2019.04.01,89.00000000000574,846.9999999999977,,936.0000000000034
2019.04.01,-144.99999999999514,853.9999999999992,,709.0000000000041
2019.04.01,-70.99999999999883,943.000000000005,,872.0000000000061
2019.04.01,-127.99999999999478,1258.0000000000036,,1130.0000000000089
2019.04.01,-177.99999999998929,1271.0,,1093.0000000000107
2019.04.01,-213.99999999998087,1485.000000000003,,1271.000000000022
2019.04.01,-219.99999999999798,1395.9999999999973,,1175.9999999999993
2019.04.01,-221.99999999998886,1404.0000000000052,,1182.0000000000164
2019.04.01,-207.99999999998596,1493.000000000011,,1285.000000000025
2019.04.01,-200.00000000000017,1499.000000000006,,1299.0000000000057
2019.04.01,-194.99999999998963,1428.000000000007,,1233.0000000000175
2019.04.01,-174.99999999999181,1296.9999999999925,,1122.0000000000007
2019.04.01,-174.99999999999181,1357.9999999999925,,1183.0000000000007
2019.04.01,-175.99999999999838,1340.9999999999923,,1164.9999999999939
2019.04.01,-175.99999999999838,1131.9999999999998,,956.0000000000014
2019.04.02,-272.99999999998994,462.0000000000068,,189.00000000001688
2019.04.02,-276.9999999999939,513.0000000000078,,236.00000000001393
2019.04.02,-243.99999999999977,723.0000000000069,,479.00000000000716
2019.04.02,-232.99999999999432,890.9999999999974,,658.0000000000031
2019.04.02,-204.99999999998852,916.0000000000057,,711.0000000000172
2019.04.02,-214.99999999998744,896.000000000008,,681.0000000000205
2019.04.02,-213.99999999998087,842.0000000000094,,628.0000000000285
2019.04.02,-215.99999999999397,927.9999999999955,,712.0000000000015
2019.04.02,-245.99999999999068,851.0000000000017,,605.000000000011
2019.04.02,-289.9999999999903,856.0000000000123,,566.000000000022
2019.04.02,-234.00000000000088,798.0000000000098,,564.0000000000089
2019.04.02,-249.99999999999466,791.9999999999927,,541.9999999999981
2019.04.02,-244.9999999999841,859.0000000000098,,614.0000000000257
2019.04.02,-268.9999999999859,838.0000000000055,,569.0000000000196
2019.04.02,-303.9999999999932,856.9999999999967,,553.0000000000035
2019.04.02,-299.99999999998914,865.0000000000047,,565.0000000000155
2019.04.02,-251.99999999998556,853.9999999999992,,602.0000000000136
2019.04.02,-191.99999999999218,853.9999999999992,,662.000000000007
2019.04.02,-244.9999999999841,635.0000000000077,,390.00000000002365
2019.04.02,-270.99999999999903,594.0000000000057,,323.00000000000665
2019.04.02,-346.0000000000019,585.0000000000133,,239.00000000001143
2019.04.02,-359.99999999998255,524.9999999999977,,165.00000000001518
2019.04.02,-291.9999999999812,739.0000000000008,,447.0000000000196
2019.04.02,-326.9999999999884,683.0000000000114,,356.00000000002296
2019.04.02,-290.9999999999968,693.0000000000102,,402.0000000000134
2019.04.02,-266.999999999995,734.9999999999968,,468.0000000000018
2019.04.02,-261.0000000000001,700.999999999996,,439.9999999999959
2019.04.02,-272.99999999998994,784.0000000000069,,511.000000000017
2019.04.02,-289.9999999999903,614.0000000000034,,324.00000000001313
2019.04.02,-253.99999999999866,442.00000000000904,,188.00000000001037
2019.04.02,-278.9999999999848,446.0000000000131,,167.00000000002825
2019.04.02,-221.99999999998886,388.0000000000106,,166.0000000000217
2019.04.02,-251.99999999998556,465.0000000000043,,213.00000000001876
2019.04.02,-280.9999999999979,588.9999999999951,,307.9999999999972
2019.04.02,-366.999999999984,581.0000000000093,,214.0000000000253
2019.04.02,-409.99999999999926,436.9999999999985,,26.99999999999926
