date,USDCHF,EURUSD,USDJPY,USDCAD,AUDUSD,CHFJPY,EURGBP,GBPJPY,GBPCAD,EURJPY,EURNZD,CADJPY,AUDJPY,AUDCAD,NZDCAD,empty,sum
2016.12.19,-29.999999999996696,-100.0000000000112,-85.00000000000796,-102.99999999998644,-95.00000000000064,-222.99999999999898,-192.99999999999872,-151.00000000001046,-194.0000000000053,0.0,-322.00000000000006,-80.0000000000125,-140.00000000000057,-148.0000000000037,-85.00000000000173,,-1949.000000000035
2016.12.19,9.999999999998899,-111.00000000001664,-80.0000000000125,-75.99999999998718,-28.000000000005798,-212.0000000000033,-158.99999999999804,-112.99999999999955,-150.00000000000568,46.00000000000648,-233.00000000001654,-74.00000000001228,-107.99999999998988,-21.999999999999797,-99.00000000000463,,-1409.0000000000462
2016.12.19,4.000000000004,-192.00000000001438,-220.00000000001307,-43.999999999999595,-97.00000000000264,-257.000000000005,-146.00000000000168,-118.99999999999977,-249.00000000001032,4.0000000000048885,-348.00000000001495,-123.00000000000466,-113.99999999999011,-97.00000000000264,-63.99999999999739,,-2062.0000000000473
2016.12.19,18.0000000000069,-132.00000000002098,-227.00000000000387,-87.99999999999919,-141.00000000000225,-262.00000000000045,-114.00000000000298,-145.00000000001023,-277.00000000001614,-48.99999999999238,-297.0000000000139,-154.00000000001057,-52.99999999999727,-168.99999999999693,-48.000000000003595,,-2138.000000000064
2016.12.19,-31.000000000003247,-215.00000000000963,-333.0000000000126,-139.9999999999846,-116.00000000000499,-296.0000000000065,-170.99999999999892,-250.0,-341.00000000001353,-66.0000000000025,-243.00000000001543,-219.0000000000083,-143.00000000000068,-155.00000000000514,-127.99999999999478,,-2847.00000000006
2016.12.19,-62.000000000006494,-289.0000000000059,-388.00000000000523,-76.99999999999375,-180.0000000000024,-311.00000000000705,-214.99999999999852,-283.9999999999918,-345.0000000000175,-54.000000000002046,-266.999999999995,-256.0000000000002,-161.00000000000136,-214.00000000000307,-192.99999999999872,,-3296.0000000000296
2016.12.19,-80.99999999999774,-273.0000000000121,-508.0000000000098,-41.99999999998649,-311.00000000000574,-403.0000000000058,-207.99999999999707,-438.99999999999295,-218.00000000000708,-155.9999999999917,-172.0000000000166,-273.00000000001035,-93.99999999999409,-300.0000000000003,-231.99999999999886,,-3710.0000000000273
2016.12.19,-136.00000000000279,-312.00000000000114,-535.0000000000108,53.00000000001415,-317.0000000000006,-371.9999999999999,-207.00000000000162,-439.9999999999977,-167.00000000000603,-170.99999999999227,-65.00000000000395,-277.000000000001,-113.99999999999011,-272.00000000000557,-241.99999999999778,,-3573.9999999999973
2016.12.19,-120.99999999999334,-295.0000000000008,-469.0000000000083,41.000000000002146,-263.0000000000021,-341.0000000000082,-210.99999999999451,-408.9999999999918,-214.00000000000307,-153.99999999999636,-131.00000000001444,-264.00000000001,-98.99999999998954,-246.00000000000176,-216.0000000000051,,-3392.0000000000177
2016.12.19,-69.9999999999923,-238.0000000000049,-447.00000000000273,-49.99999999999449,-229.99999999999687,-340.0000000000034,-256.0000000000007,-437.0000000000118,-133.00000000000534,-150.99999999999625,-60.99999999999994,-264.00000000001,-115.99999999999966,-243.00000000000432,-280.9999999999979,,-3317.0000000000205
2016.12.19,-42.0000000000087,-203.00000000001984,-381.0000000000002,-70.99999999999883,-168.00000000000148,-305.0000000000068,-241.00000000000233,-442.0000000000073,-135.00000000001845,-116.99999999999022,8.999999999992347,-274.0000000000009,-149.0000000000009,-219.99999999999798,-304.9999999999997,,-3044.0000000000614
2016.12.19,-49.00000000001015,-219.00000000001364,-392.0000000000101,-69.9999999999923,-178.99999999999582,-343.9999999999941,-261.99999999999557,-474.9999999999943,-133.00000000000534,-140.00000000000057,-39.999999999995595,-288.0000000000109,-137.00000000000045,-233.00000000000543,-304.00000000000426,,-3265.0000000000277
2016.12.19,-73.99999999999629,-232.00000000000998,-698.0000000000075,-69.9999999999923,-200.00000000000017,-591.0000000000082,-322.9999999999955,-936.000000000007,-149.00000000002134,-415.9999999999968,-90.99999999999665,-496.9999999999999,-314.9999999999977,-253.0000000000032,-268.99999999999704,,-5114.00000000003
2016.12.19,-69.00000000000794,-241.00000000000233,-649.0000000000009,-102.99999999998644,-126.0000000000039,-540.9999999999968,-326.0000000000041,-844.9999999999989,-106.00000000000608,-344.99999999999886,-116.00000000000499,-483.0000000000041,-358.99999999999466,-180.0000000000024,-226.00000000000398,,-4715.0000000000155
2016.12.19,-87.99999999999919,-259.0000000000092,-776.0000000000105,-78.00000000000028,-126.99999999999933,-638.9999999999958,-287.0000000000039,-936.000000000007,-149.00000000002134,-456.00000000000307,-158.99999999999804,-559.0000000000117,-427.99999999999727,-165.00000000000404,-227.99999999999488,,-5334.0000000000555
2016.12.19,-110.99999999999443,-283.000000000011,-736.0000000000042,-82.00000000000429,-139.99999999999568,-572.0000000000027,-275.99999999999847,-841.0000000000082,-194.0000000000053,-390.99999999999113,-277.00000000001614,-549.0000000000066,-436.9999999999976,-189.00000000000583,-185.99999999999727,,-5264.000000000038
2016.12.19,-129.00000000000134,-304.00000000001535,-750.0,-106.00000000000608,-141.00000000000225,-576.0000000000076,-297.00000000000284,-856.9999999999993,-242.00000000000887,-393.0000000000007,-294.0000000000165,-552.0000000000067,-444.9999999999932,-200.00000000000017,-236.00000000000287,,-5522.000000000063
