date,GBPUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,AUDJPY,NZDJPY,NZDCAD,AUDNZD,empty,sum
2017.08.14,-142.99999999998204,-69.99999999999318,-19.999999999997797,-5.999999999994898,-15.999999999993797,-307.00000000001285,-128.000000000017,-106.99999999999932,-32.999999999994145,-48.99999999999905,-90.0000000000012,-52.000000000007596,-234.00000000000088,-38.0000000000047,-76.99999999999818,-31.000000000003247,-9.000000000014552,-38.0000000000047,-37.9999999999967,-13.999999999995794,-106.00000000000608,-24.000000000001798,,-1630.0000000000198
2017.08.14,-206.99999999997942,-109.99999999999943,-18.999999999991246,-68.00000000000139,-154.99999999999403,-307.99999999999716,-129.00000000000134,-102.00000000000387,-28.999999999990145,-13.00000000000745,-158.0000000000026,-60.99999999999994,-316.99999999998954,86.99999999999264,-86.00000000001273,-60.99999999999994,-97.9999999999981,8.000000000008,-18.000000000000682,-146.0000000000008,-243.00000000000432,-36.0000000000138,,-2268.9999999999873
2017.08.14,-220.99999999998232,-58.9999999999975,38.0000000000047,-53.00000000000304,-121.00000000000443,-304.00000000001535,-41.000000000002146,0.0,11.00000000000545,8.999999999992347,-136.99999999999824,-17.000000000000348,-472.00000000000574,249.00000000001032,-58.9999999999975,24.999999999986144,-22.999999999995246,75.00000000000284,-14.000000000010004,-171.99999999999704,-277.000000000005,4.999999999988347,,-1558.0000000000236
2017.08.14,-193.99999999998306,-6.000000000000227,84.0000000000174,-58.000000000002494,-236.99999999999832,-295.0000000000008,-31.000000000003247,87.99999999999386,4.999999999999449,10.999999999994348,-248.99999999999923,-9.00000000000345,-452.00000000000796,222.00000000001108,2.999999999985903,65.00000000000395,-76.0000000000094,-79.99999999999119,21.000000000000796,-289.0000000000015,-404.99999999999983,-79.00000000000685,,-1961.0000000000002
2017.08.14,-181.9999999999933,-15.999999999991132,78.00000000000028,-93.99999999999409,-153.00000000000313,-293.99999999999426,17.000000000000348,57.00000000000216,-22.999999999995246,7.0000000000014495,-190.99999999999673,10.999999999994348,-367.0000000000062,113.00000000000753,6.000000000000227,70.99999999999883,-78.00000000000028,65.00000000000395,1.9999999999953388,-183.00000000000693,-302.0000000000023,-8.000000000008,,-1463.999999999987
2017.08.14,-152.99999999998093,-39.00000000000148,45.000000000006146,-134.99999999999625,-136.00000000000279,-326.0000000000041,61.99999999998429,24.00000000000091,-66.99999999999484,97.9999999999981,-190.99999999999673,51.99999999999649,-313.00000000000773,42.999999999993044,-15.00000000001478,79.99999999999119,-127.00000000001043,1.0000000000065512,61.99999999999761,-185.00000000000227,-268.0000000000016,-148.00000000001478,,-1636.0000000000546
2017.08.14,-195.9999999999962,55.999999999997385,36.0000000000138,-278.9999999999959,-153.00000000000313,-363.0000000000022,48.000000000003595,126.99999999999534,-71.99999999999429,166.99999999999494,-221.00000000000452,20.999999999993246,-343.99999999998875,-201.00000000000674,90.00000000000341,52.99999999999194,-398.00000000000944,-14.999999999987246,218.00000000000352,-314.00000000000716,-264.0000000000087,-229.00000000001253,,-2233.00000000002
2017.08.14,-187.99999999998818,115.99999999999966,45.000000000006146,-282.0000000000045,-156.00000000000057,-381.0000000000091,51.99999999998539,164.99999999999204,-88.99999999999464,263.99999999999756,-253.99999999999866,39.999999999995595,-331.999999999999,-218.00000000000708,179.00000000000205,70.99999999999883,-385.99999999999744,22.999999999995246,362.99999999999955,-341.99999999999875,-278.00000000000045,-287.000000000015,,-1875.0000000000414
2017.08.14,-204.99999999998852,224.00000000000375,45.000000000006146,-258.0000000000027,-138.00000000000477,-452.00000000000796,122.99999999998423,185.00000000000227,-119.99999999999788,305.99999999999517,-265.99999999999955,7.0000000000014495,-370.00000000000364,-188.00000000001037,256.9999999999766,25.999999999992696,-398.9999999999938,29.00000000001235,442.99999999999784,-361.0000000000042,-286.00000000000847,-275.000000000003,,-1673.0000000000523
2017.08.14,-228.99999999999034,210.99999999999852,63.000000000013046,-275.99999999999847,-126.0000000000039,-446.0000000000131,147.99999999999258,216.99999999999875,-83.9999999999952,276.9999999999939,-214.00000000000307,20.999999999993246,-391.000000000008,-143.99999999998857,328.00000000000296,109.00000000000354,-312.00000000000114,-17.999999999984695,420.0000000000017,-328.00000000000296,-243.99999999999977,-278.00000000000045,,-1295.9999999999914
2017.08.14,-256.99999999999613,192.99999999999784,73.00000000001194,-229.99999999999687,-102.00000000000209,-507.9999999999973,164.99999999999292,197.9999999999933,-78.00000000000028,200.00000000000017,-190.99999999999673,7.0000000000014495,-503.99999999999335,-35.999999999991594,336.9999999999891,174.99999999999181,-268.0000000000016,-134.99999999999625,331.99999999999363,-284.9999999999966,-226.99999999999943,-216.00000000001617,,-1357.0000000000123
2017.08.14,-303.9999999999932,198.0000000000075,95.00000000000064,-166.99999999999494,-87.00000000000374,-558.0000000000141,211.99999999998997,156.99999999999648,-100.00000000000009,229.00000000000142,-219.99999999999798,0.0,-520.9999999999936,140.0000000000068,346.99999999998,188.9999999999947,-140.0000000000068,-78.00000000000028,325.9999999999934,-280.00000000000114,-216.0000000000051,-189.00000000001694,,-967.0000000000571
