date,AUDUSD,NZDUSD,CHFJPY,NZDCHF,AUDJPY,empty,sum
2021.02.08,-65.99999999999939,-92.99999999999864,-100.99999999999909,-158.99999999999804,-103.00000000000864,,-522.0000000000038
2021.02.08,-70.99999999999883,-95.00000000000064,-243.99999999999977,-161.00000000000003,-169.00000000001114,,-740.0000000000105
2021.02.08,-124.99999999999733,-216.0000000000051,-234.99999999999943,-264.999999999993,-212.0000000000033,,-1052.9999999999982
2021.02.08,-158.0000000000026,-273.9999999999965,-201.99999999999818,-317.0000000000006,-230.00000000000398,,-1181.0000000000018
2021.02.08,-141.00000000000225,-265.0000000000041,-237.00000000000898,-317.9999999999961,-261.0000000000099,,-1222.0000000000214
2021.02.08,-102.99999999999754,-226.99999999999943,-219.0000000000083,-339.99999999999585,-248.00000000000466,,-1137.000000000006
2021.02.08,-66.99999999999484,-184.00000000000637,-183.9999999999975,-324.9999999999975,-228.00000000000864,,-988.0000000000048
2021.02.08,-122.99999999999534,-214.99999999999852,-182.00000000000216,-324.9999999999975,-271.0000000000008,,-1115.9999999999943
2021.02.08,-126.99999999999933,-216.0000000000051,-180.99999999999739,-329.999999999997,-279.0000000000106,,-1133.0000000000095
2021.02.08,-90.0000000000012,-158.99999999999804,-164.00000000000148,-297.9999999999983,-240.0000000000091,,-951.0000000000081
2021.02.08,-97.00000000000264,-157.00000000000713,-159.9999999999966,-287.9999999999994,-212.0000000000033,,-914.000000000009
2021.02.08,-95.99999999999609,-140.0000000000068,-186.00000000000705,-249.99999999999466,-233.0000000000041,,-905.0000000000086
2021.02.08,-129.9999999999968,-165.00000000000404,-198.99999999999807,-268.99999999999704,-273.00000000001035,,-1036.0000000000064
2021.02.08,-107.00000000000153,-150.00000000000568,-225.9999999999991,-257.9999999999916,-264.00000000001,,-1005.000000000008
2021.02.08,-117.99999999999588,-179.00000000000693,-246.9999999999999,-264.999999999993,-263.00000000000523,,-1072.000000000001
2021.02.08,-117.99999999999588,-182.99999999999983,-242.00000000000443,-274.9999999999919,-270.00000000001023,,-1088.0000000000023
2021.02.08,-119.99999999999788,-158.0000000000026,-252.00000000000955,-262.999999999991,-281.0000000000059,,-1074.0000000000068
2021.02.08,-102.99999999999754,-146.00000000000168,-240.99999999999966,-251.99999999999667,-274.0000000000009,,-1015.9999999999965
2021.02.08,-131.99999999999878,-185.99999999999727,-228.9999999999992,-297.9999999999983,-283.00000000000125,,-1127.9999999999948
2021.02.08,-151.00000000000114,-234.99999999999633,-256.0000000000002,-303.9999999999932,-279.0000000000106,,-1225.0000000000014
2021.02.08,-148.99999999999915,-221.00000000000452,-243.0000000000092,-307.99999999999716,-286.00000000000136,,-1207.0000000000114
2021.02.08,-17.999999999995797,-97.9999999999981,-304.00000000000205,-268.0000000000016,-256.0000000000002,,-943.9999999999977
2021.02.08,-21.999999999999797,-139.00000000000023,-290.9999999999968,-281.99999999999335,-256.0000000000002,,-989.9999999999905
2021.02.08,-5.999999999994898,-107.99999999999699,-228.00000000000864,-312.00000000000114,-237.99999999999955,,-892.0000000000011
2021.02.08,-9.00000000000345,-104.99999999999955,-210.99999999999852,-304.9999999999997,-240.99999999999966,,-871.0000000000009
2021.02.08,78.00000000000028,-29.999999999996696,-270.00000000001023,-215.99999999999397,-160.0000000000108,,-598.0000000000114
2021.02.08,26.000000000003798,-46.999999999997044,-262.00000000000045,-215.99999999999397,-205.0000000000125,,-704.0000000000002
2021.02.08,34.000000000000696,-51.000000000001044,-289.0000000000015,-217.99999999999596,-199.00000000001228,,-723.00000000001
2021.02.08,75.9999999999983,17.000000000000348,-240.0000000000091,-198.99999999999363,-172.00000000001125,,-518.0000000000153
2021.02.08,18.0000000000069,-2.999999999997449,-168.99999999999693,-258.9999999999981,-175.00000000001137,,-587.999999999997
2021.02.08,9.999999999998899,-12.000000000000899,-100.00000000000853,-259.9999999999936,-202.0000000000124,,-564.0000000000165
2021.02.08,-102.00000000000209,-131.99999999999878,-128.0000000000001,-280.9999999999979,-255.00000000000966,,-898.0000000000085
2021.02.08,-114.00000000000298,-173.9999999999964,-133.00000000000978,-279.99999999999136,-219.0000000000083,,-920.0000000000088
2021.02.08,-329.999999999997,-329.999999999997,-218.00000000000352,-346.9999999999973,-383.0000000000098,,-1608.0000000000045
2021.02.08,-434.000000000001,-445.0000000000065,-201.99999999999818,-425.99999999999307,-466.99999999999875,,-1973.9999999999973
2021.02.08,-483.99999999999557,-472.00000000000574,-100.00000000000853,-464.9999999999932,-431.0000000000116,,-1952.0000000000148
2021.02.08,-448.000000000004,-439.0000000000005,-36.000000000001364,-453.99999999999886,-387.00000000000045,,-1764.0000000000052
2021.02.08,-368.00000000000165,-395.0000000000009,-21.000000000000796,-402.9999999999978,-320.0000000000074,,-1507.0000000000086
2021.02.08,-404.99999999999983,-411.0000000000058,-61.99999999999761,-402.9999999999978,-362.99999999999955,,-1644.0000000000007
2021.02.08,-390.99999999999693,-411.0000000000058,-61.00000000000705,-415.99999999999415,-344.99999999999886,,-1624.0000000000027
2021.02.08,-368.00000000000165,-392.9999999999989,-48.00000000000182,-393.9999999999944,-302.0000000000067,,-1505.0000000000036
2021.02.08,-343.9999999999999,-368.9999999999971,-40.00000000000625,-373.00000000000114,-290.00000000000625,,-1416.000000000011
2021.02.08,-356.9999999999962,-379.0000000000071,-54.000000000002046,-390.99999999999693,-326.0000000000076,,-1507.00000000001
2021.02.08,-381.99999999999346,-400.00000000000034,-49.99999999999716,-412.00000000000125,-341.0000000000082,,-1585.0000000000005
2021.02.08,-387.99999999999943,-400.00000000000034,-46.00000000000648,-393.9999999999944,-339.00000000001285,,-1567.0000000000136
2021.02.08,-402.00000000000233,-411.0000000000058,-39.00000000000148,-417.99999999999613,-338.0000000000081,,-1608.000000000014
2021.02.08,-395.0000000000009,-421.0000000000047,-45.000000000001705,-439.0000000000005,-352.00000000000387,,-1652.0000000000118
2021.02.08,-383.0,-350.00000000000585,-28.999999999996362,-371.99999999999454,-352.00000000000387,,-1486.0000000000007
2021.02.09,-366.9999999999951,-392.9999999999989,-36.000000000001364,-351.99999999999676,-333.0000000000126,,-1481.000000000005
