date,AUDUSD,NZDUSD,CHFJPY,NZDCHF,AUDJPY,empty,sum
2021.02.08,-21.999999999999797,-70.99999999999883,-63.00000000000239,-92.99999999999864,-87.0000000000033,,-336.00000000000296
2021.02.08,-24.999999999997247,-46.00000000000159,-158.00000000000125,-117.00000000000044,-97.99999999999898,,-443.9999999999995
2021.02.08,-93.99999999999409,-175.00000000000293,-177.0000000000067,-239.99999999999577,-187.00000000001182,,-873.0000000000114
2021.02.08,-124.00000000000189,-253.0000000000032,-182.00000000000216,-300.99999999999574,-202.0000000000124,,-1062.0000000000155
2021.02.08,-97.9999999999981,-221.00000000000452,-198.0000000000075,-303.9999999999932,-228.00000000000864,,-1049.0000000000118
2021.02.08,-24.999999999997247,-167.00000000000603,-165.00000000000625,-318.99999999999153,-206.00000000000307,,-882.0000000000042
2021.02.08,-43.999999999999595,-143.9999999999997,-139.00000000001,-304.9999999999997,-211.00000000001273,,-843.0000000000218
2021.02.08,-122.99999999999534,-212.99999999999653,-180.99999999999739,-322.9999999999955,-270.00000000001023,,-1109.999999999995
2021.02.08,-41.000000000002146,-121.00000000000443,-145.00000000001023,-271.9999999999945,-201.00000000000762,,-780.000000000019
2021.02.08,-83.9999999999952,-151.9999999999966,-121.00000000000932,-283.99999999999534,-212.0000000000033,,-852.9999999999998
2021.02.08,-54.999999999993946,-121.00000000000443,-159.9999999999966,-230.99999999999233,-173.00000000000182,,-739.9999999999891
2021.02.08,-92.00000000000318,-136.99999999999824,-164.00000000000148,-247.99999999999267,-221.00000000000364,,-861.9999999999992
2021.02.08,-104.99999999999955,-145.00000000000622,-195.0000000000074,-256.99999999999613,-259.00000000000034,,-961.0000000000097
2021.02.08,-56.99999999999594,-112.99999999999643,-219.99999999999886,-235.99999999999176,-230.00000000000398,,-855.9999999999869
2021.02.08,-107.00000000000153,-170.99999999999892,-225.00000000000853,-261.99999999999557,-259.00000000000034,,-1024.000000000005
2021.02.08,-87.99999999999919,-151.9999999999966,-206.00000000000307,-262.999999999991,-245.00000000000455,,-953.9999999999944
2021.02.08,-75.9999999999983,-104.00000000000409,-231.99999999999932,-215.99999999999397,-249.00000000000944,,-877.0000000000051
2021.02.08,-93.99999999999409,-136.00000000000279,-210.00000000000796,-244.99999999999523,-252.00000000000955,,-937.0000000000095
2021.02.08,-93.99999999999409,-172.00000000000549,-219.0000000000083,-275.99999999999847,-257.000000000005,,-1018.0000000000114
2021.02.08,-95.00000000000064,-162.0000000000066,-183.00000000000693,-273.9999999999965,-243.99999999999977,,-958.0000000000105
2021.02.08,7.9999999999968985,-60.99999999999994,-164.00000000000148,-246.00000000000176,-202.0000000000124,,-665.0000000000186
2021.02.08,-4.999999999999449,-96.00000000000719,-265.00000000000057,-254.99999999999412,-250.0,,-871.0000000000014
2021.02.08,68.00000000000139,-26.999999999999247,-197.00000000000273,-215.99999999999397,-159.00000000000603,,-531.0000000000006
