date,USDCAD,NZDUSD,EURCHF,CHFJPY,CADCHF,NZDCHF,EURGBP,GBPCAD,GBPAUD,EURJPY,EURNZD,CADJPY,NZDJPY,AUDCAD,AUDNZD,empty,sum
2017.04.24,-36.999999999998145,-20.0000000000089,-114.99999999999844,-40.99999999999682,-95.00000000000064,-246.00000000000176,-90.99999999999665,-43.00000000001525,0.0,-37.9999999999967,-227.99999999998377,-55.999999999997385,-22.999999999996135,-19.999999999997797,-272.00000000000557,,-1324.9999999999936
2017.04.24,192.99999999999872,39.00000000000014,-120.99999999999334,64.99999999999773,-111.00000000000554,-283.99999999999534,-24.999999999997247,201.99999999999108,364.00000000000875,162.9999999999967,-268.0000000000016,61.00000000000705,70.00000000000739,70.0000000000145,-421.0000000000047,,-2.999999999975728
2017.04.24,167.00000000000603,39.00000000000014,12.999999999996348,132.000000000005,-4.999999999999449,-153.99999999999858,-7.0000000000014495,79.99999999999119,364.00000000000875,365.99999999999966,-264.9999999999819,151.00000000001046,168.00000000000637,-236.99999999999832,-262.999999999991,,549.0000000000532
2017.04.24,226.99999999999943,41.9999999999976,35.00000000000725,418.99999999999693,-12.000000000000899,-178.00000000000037,2.999999999997449,128.99999999997914,513.9999999999923,670.0000000000017,-272.99999999998994,356.00000000000875,349.00000000000375,-219.99999999999798,-279.99999999999136,,1781.0000000000032
2017.04.24,208.99999999999253,20.999999999993246,53.999999999998494,397.00000000000557,-39.00000000000014,-214.99999999999852,-9.999999999998899,131.99999999999878,429.99999999999704,650.0000000000057,-309.99999999998806,323.0000000000075,335.00000000000796,-70.99999999999883,-241.00000000000233,,1665.0000000000198
2017.04.24,222.99999999999542,34.99999999999615,65.00000000000395,471.9999999999942,-58.99999999999794,-253.0000000000032,172.00000000000549,274.9999999999808,767.9999999999909,774.0000000000009,-395.99999999999636,311.9999999999976,352.00000000000387,-145.99999999997948,-319.0000000000026,,2274.9999999999895
2017.04.24,198.99999999999363,-16.0000000000049,24.000000000001798,597.999999999999,-207.99999999999707,-405.9999999999952,161.00000000000003,100.99999999999554,448.9999999999883,831.0000000000031,-839.9999999999964,362.99999999999955,326.9999999999982,-68.99999999998573,-306.00000000000625,,1207.9999999999936
2017.04.24,180.0000000000024,9.999999999998899,165.9999999999995,615.9999999999997,-197.00000000000273,-386.9999999999929,251.00000000000122,126.99999999998823,350.9999999999902,1019.999999999996,-872.9999999999905,335.9999999999985,320.99999999999795,6.000000000017103,-198.00000000000927,,1728.9999999999943
2017.04.24,265.0000000000041,32.999999999994145,121.99999999999989,617.0000000000044,-178.00000000000037,-322.9999999999955,153.99999999999858,-58.000000000002494,333.9999999999899,1019.0000000000055,-673.9999999999968,332.9999999999984,317.99999999999784,-90.99999999999665,-187.00000000000384,,1683.9999999999973
2017.04.24,302.0000000000023,114.99999999999844,41.99999999998649,787.9999999999967,-246.99999999999721,-353.0000000000033,202.0000000000022,27.999999999983594,434.000000000001,1134.0000000000005,-634.9999999999856,411.00000000000136,480.000000000004,-80.99999999999774,-164.99999999999292,,2455.0
2017.04.24,333.9999999999899,140.99999999999113,29.999999999996696,915.0000000000063,-346.0000000000019,-464.9999999999932,241.00000000000233,-84.0000000000174,306.9999999999906,1191.9999999999932,-800.0000000000007,411.00000000000136,486.0000000000042,-14.999999999987246,-134.99999999999625,,2211.999999999979
2017.04.24,333.0000000000055,143.9999999999997,-35.00000000000725,990.9999999999997,-370.00000000000364,-469.99999999999267,217.99999999999596,-96.00000000000719,306.00000000000625,1180.9999999999973,-733.9999999999902,393.0000000000007,453.00000000000296,-45.99999999999049,-154.0000000000097,,2114.0000000000073
