date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,NZDUSD,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURCAD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2016.05.09,-24.000000000001798,-36.0000000000138,-52.000000000007596,-92.00000000001296,-170.99999999998784,-29.000000000001247,-34.000000000006025,-2.999999999997449,-26.000000000003798,-20.0000000000089,-49.99999999999449,-222.0000000000084,-208.99999999999253,-215.00000000000963,-306.00000000000625,-6.000000000000227,-41.00000000001103,-64.99999999999773,-134.0000000000008,-231.99999999999886,-254.999999999983,,-2222.0000000000446
2016.05.09,75.9999999999983,40.99999999997994,-26.0000000000149,-213.00000000000807,-185.99999999999727,-19.00000000000235,-159.00000000000603,135.00000000000733,5.999999999994898,0.0,-42.999999999993044,-344.99999999999886,-239.99999999999577,-234.00000000000088,-252.0000000000078,113.99999999999011,-41.00000000001103,-6.000000000000227,-190.99999999999673,-234.99999999999633,-227.99999999998377,,-2046.0000000000423
2016.05.09,50.0000000000056,11.999999999989797,-51.000000000001044,-158.00000000000125,-231.99999999998778,48.99999999999905,-154.00000000001057,192.00000000000327,112.99999999999643,81.9999999999932,-29.000000000001247,-296.99999999999704,-323.99999999999096,-252.0000000000078,-140.99999999999113,223.99999999998954,114.99999999999488,111.0000000000042,-72.0000000000054,-134.99999999999625,-243.99999999999977,,-1141.0000000000146
2016.05.09,53.999999999998494,97.9999999999981,-28.000000000005798,-224.00000000000375,-268.0000000000016,136.99999999999824,-219.99999999999886,201.00000000000674,168.99999999999693,141.99999999999767,-60.99999999999994,-471.00000000000364,-241.99999999998667,-313.99999999999204,80.99999999999774,292.0000000000016,259.00000000000034,236.99999999999477,32.999999999994145,-29.999999999996696,-259.9999999999936,,-414.99999999999784
2016.05.09,51.000000000001044,140.99999999999113,-66.00000000001049,-295.0000000000017,-224.99999999998633,144.99999999999514,-303.0000000000115,198.00000000000927,200.00000000000017,162.99999999999093,-83.9999999999952,-622.9999999999905,-153.00000000000313,-273.0000000000121,104.99999999999955,303.99999999998784,286.9999999999919,272.99999999999613,48.000000000003595,-14.000000000002899,-235.99999999999176,,-357.0000000000388
2016.05.09,51.000000000001044,123.99999999999079,-40.0000000000178,-316.0000000000025,-192.99999999999872,114.99999999999844,-293.00000000000637,193.00000000000983,190.00000000000128,151.00000000000114,-134.0000000000008,-611.9999999999948,-88.99999999998354,-348.9999999999993,117.99999999999588,338.99999999999864,314.9999999999977,304.9999999999926,66.99999999999484,19.999999999997797,-205.99999999999508,,-244.00000000001893
2016.05.09,80.99999999999774,12.999999999996348,26.999999999999247,-521.0000000000008,-141.99999999999767,135.99999999999167,-406.0000000000059,185.00000000000182,156.99999999999602,169.99999999999238,-117.99999999999588,-802.9999999999973,-126.0000000000039,-304.9999999999997,191.99999999999218,302.99999999999727,285.99999999998715,301.9999999999925,29.999999999996696,43.999999999999595,-194.99999999998963,,-690.00000000005
2016.05.09,131.00000000000333,-66.00000000001049,82.99999999998863,-555.0000000000068,-48.000000000003595,35.999999999991594,-440.00000000001194,158.0000000000026,158.99999999999804,117.99999999999588,-80.99999999999774,-788.0000000000109,-121.99999999999989,-239.00000000001143,26.999999999999247,351.99999999998965,338.99999999999864,338.99999999999864,53.00000000000304,9.999999999998899,-279.99999999999136,,-814.0000000000758
2016.05.09,80.99999999999774,26.999999999999247,-30.0000000000189,-467.00000000001296,-136.99999999998712,66.99999999999484,-414.0000000000015,155.00000000000514,185.00000000000182,121.99999999999989,-73.99999999999629,-769.0000000000055,-132.99999999998312,-229.99999999999687,9.999999999998899,368.9999999999998,378.9999999999907,340.0000000000034,88.99999999999464,5.999999999994898,-276.9999999999939,,-701.0000000000152
2016.05.09,2.000000000002,54.99999999998284,-106.00000000000608,-350.0000000000085,-170.99999999998784,137.9999999999937,-335.9999999999985,114.00000000000298,217.99999999999596,152.99999999999204,-20.999999999993246,-596.0000000000036,-119.00000000000244,-161.00000000001114,82.00000000000429,250.99999999999056,341.99999999999875,302.99999999999727,158.0000000000026,41.9999999999976,-294.9999999999786,,-297.0000000000296
2016.05.09,22.999999999995246,35.999999999991594,-90.00000000001229,-293.00000000000637,-173.00000000000094,124.99999999999733,-275.0000000000057,135.00000000000733,187.00000000000384,131.99999999999878,-17.000000000000348,-489.0000000000043,-166.99999999998383,-178.00000000001148,22.0000000000109,262.999999999991,313.99999999999295,271.0000000000008,151.9999999999966,61.999999999995396,-250.99999999997902,,-211.00000000002274
2016.05.09,41.9999999999976,25.999999999992696,-36.0000000000138,-274.0000000000009,-121.99999999999989,92.99999999999864,-281.0000000000059,117.00000000000044,143.9999999999997,100.99999999999554,-13.999999999991797,-425.00000000001137,-99.00000000000463,-137.00000000000932,-35.00000000000725,241.99999999999022,251.99999999999534,228.9999999999992,105.99999999999498,36.0000000000027,-250.99999999997902,,-286.00000000005696
2016.05.09,44.99999999999504,80.99999999999774,-42.0000000000087,-314.00000000000716,-160.00000000000458,117.00000000000044,-321.00000000001216,164.00000000000858,170.99999999999892,113.99999999999189,-35.999999999991594,-563.999999999993,-126.99999999998823,-188.00000000001037,17.000000000000348,303.99999999998784,295.99999999999227,253.0000000000001,53.999999999998494,0.0,-259.9999999999936,,-396.00000000003763
