date,EURGBP,GBPJPY,empty,sum
2020.08.10,-35.00000000000725,-144.00000000000546,,-179.0000000000127
2020.08.10,-12.000000000000899,-157.99999999998704,,-169.99999999998795
2020.08.10,12.999999999996348,-102.00000000000387,,-89.00000000000752
2020.08.10,47.9999999999925,30.000000000001137,,77.99999999999363
2020.08.10,56.99999999999594,32.00000000001069,,89.00000000000662
2020.08.10,46.999999999997044,36.000000000001364,,82.99999999999841
2020.08.10,19.999999999997797,-13.00000000000523,,6.999999999992568
2020.08.10,25.999999999992696,-16.999999999995907,,8.999999999996788
2020.08.10,25.999999999992696,21.99999999999136,,47.999999999984055
2020.08.10,20.999999999993246,-20.000000000010232,,0.9999999999830145
2020.08.10,9.999999999998899,-69.99999999999318,,-59.99999999999428
2020.08.10,-7.0000000000014495,-92.99999999998931,,-99.99999999999076
2020.08.10,-13.00000000000745,-87.99999999999386,,-101.00000000000131
2020.08.10,-14.000000000002899,-91.00000000000819,,-105.00000000001108
2020.08.10,-11.00000000000545,-102.00000000000387,,-113.00000000000932
2020.08.10,-11.00000000000545,-74.99999999998863,,-85.99999999999409
2020.08.10,0.999999999995449,-30.000000000001137,,-29.000000000005688
2020.08.10,-1.0000000000065512,-36.000000000001364,,-37.000000000007915
2020.08.10,18.999999999991246,-55.999999999983174,,-36.99999999999193
2020.08.10,-62.000000000006494,-12.000000000000455,,-74.00000000000695
2020.08.10,-168.00000000000148,-282.99999999998704,,-450.9999999999885
2020.08.10,-141.00000000000225,-317.99999999998363,,-458.9999999999859
2020.08.10,-104.00000000000409,-203.00000000000296,,-307.00000000000705
2020.08.10,-206.00000000000617,-331.99999999999363,,-537.9999999999998
2020.08.10,-246.00000000000176,-395.9999999999866,,-641.9999999999884
2020.08.10,-211.00000000000563,-329.00000000000773,,-540.0000000000134
2020.08.10,-172.00000000000549,-227.00000000000387,,-399.0000000000093
2020.08.10,-80.00000000000229,-150.00000000000568,,-230.00000000000796
2020.08.10,-75.00000000000284,-135.99999999999568,,-210.99999999999852
