date,EURGBP,GBPJPY,empty,sum
2020.08.10,34.000000000000696,-37.00000000000614,,-3.0000000000054428
2020.08.10,29.999999999996696,-33.999999999991815,,-3.9999999999951186
2020.08.10,49.99999999999449,88.99999999999864,,138.99999999999312
2020.08.10,61.999999999995396,76.99999999999818,,138.99999999999358
2020.08.10,66.99999999999484,103.00000000000864,,170.00000000000347
2020.08.10,54.999999999993946,82.99999999999841,,137.99999999999235
2020.08.10,24.999999999997247,18.000000000000682,,42.999999999997925
2020.08.10,51.000000000001044,62.00000000001182,,113.00000000001288
2020.08.10,27.999999999994696,54.000000000002046,,81.99999999999675
2020.08.10,25.999999999992696,-13.00000000000523,,12.999999999987466
2020.08.10,13.999999999991797,-61.9999999999834,,-47.9999999999916
2020.08.10,-2.000000000002,-58.9999999999975,,-60.9999999999995
2020.08.10,-6.0000000000060005,-85.00000000000796,,-91.00000000001396
2020.08.10,7.0000000000014495,-82.99999999999841,,-75.99999999999696
2020.08.10,-9.00000000000345,-67.00000000000728,,-76.00000000001073
2020.08.10,15.999999999993797,7.000000000005002,,22.9999999999988
2020.08.10,2.000000000002,-19.000000000005457,,-17.000000000003457
2020.08.10,20.999999999993246,-26.999999999986812,,-5.999999999993566
2020.08.10,51.000000000001044,70.99999999999795,,121.999999999999
2020.08.10,-62.000000000006494,-6.000000000000227,,-68.00000000000672
2020.08.10,-119.99999999999788,-270.9999999999866,,-390.9999999999845
2020.08.10,-89.00000000000574,-145.99999999998658,,-234.99999999999233
2020.08.10,-92.00000000000318,-156.0000000000059,,-248.0000000000091
2020.08.10,-197.00000000000273,-324.99999999998863,,-521.9999999999914
2020.08.10,-187.9999999999993,-268.0000000000007,,-456.0
2020.08.10,-156.00000000000057,-189.99999999999773,,-345.9999999999983
2020.08.10,-73.00000000000084,-79.00000000000773,,-152.00000000000858
2020.08.10,-29.000000000001247,-37.00000000000614,,-66.00000000000739
2020.08.10,-75.00000000000284,-111.99999999999477,,-186.9999999999976
2020.08.10,-70.0000000000034,-153.99999999999636,,-223.99999999999977
2020.08.10,-72.0000000000054,-129.99999999999545,,-202.00000000000085
