date,USDCHF,EURUSD,USDCAD,AUDUSD,NZDUSD,EURJPY,EURCAD,EURAUD,empty,sum
2018.07.23,-54.00000000000959,-22.999999999995246,-95.00000000000064,-50.0000000000056,0.0,-74.99999999998863,-89.00000000000574,-85.00000000000173,,-471.00000000000716
2018.07.23,-90.0000000000012,-31.000000000003247,-113.00000000000753,-16.0000000000049,55.000000000005045,-86.99999999998909,-141.00000000001333,-127.99999999999478,,-551.000000000009
2018.07.23,-57.00000000000705,-31.000000000003247,-114.0000000000141,4.999999999999449,77.00000000000485,-133.99999999998613,-121.99999999999989,-83.9999999999952,,-460.00000000000125
2018.07.23,-37.00000000000925,-1.999999999990898,-42.0000000000087,30.999999999992145,145.00000000000622,-108.00000000000409,-100.0000000000112,-60.99999999999994,,-174.0000000000257
2018.07.23,-6.0000000000060005,66.00000000001049,53.999999999998494,98.99999999999353,213.00000000000762,-85.00000000000796,-131.99999999999878,-42.999999999993044,,166.00000000000438
2018.07.23,46.999999999997044,89.00000000000574,41.99999999998649,84.99999999999064,237.00000000000944,45.99999999999227,-107.99999999999699,-87.99999999999919,,349.9999999999854
2018.07.23,65.99999999999939,80.99999999999774,19.999999999997797,64.99999999999284,247.00000000000833,191.0000000000025,-161.99999999999548,-184.00000000000637,,323.9999999999968
2018.07.23,73.00000000000084,140.0000000000068,35.999999999991594,65.99999999999939,235.00000000000742,265.99999999999113,-182.0000000000155,-214.99999999998744,,418.99999999999426
2018.07.23,29.999999999996696,78.00000000000028,-13.000000000018552,-14.000000000002899,204.00000000000418,140.99999999999113,-205.00000000001074,-285.99999999998624,,-65.00000000002615
2018.07.23,104.99999999999955,141.00000000001333,1.999999999990898,30.999999999992145,214.00000000000307,281.0000000000059,-219.00000000001364,-275.9999999999874,,279.00000000000387
2018.07.23,48.99999999999905,97.00000000001374,-40.0000000000178,-4.999999999999449,204.99999999999963,338.99999999999864,-239.00000000001143,-331.999999999999,,73.99999999998346
2018.07.23,40.99999999999105,67.00000000001705,-59.000000000009045,-6.0000000000060005,165.00000000000404,360.99999999999,-224.000000000002,-279.99999999999136,,64.99999999999369
2018.07.23,39.999999999995595,63.000000000013046,-72.0000000000054,-9.999999999998899,169.00000000000804,385.9999999999957,-209.9999999999991,-245.0000000000063,,121.00000000000267
2018.07.23,60.99999999999994,97.00000000001374,-38.0000000000047,52.99999999999194,231.0000000000034,406.0000000000059,-238.0000000000049,-182.99999999999983,,389.0000000000055
2018.07.23,81.9999999999932,80.99999999999774,-50.0000000000167,34.99999999999615,204.00000000000418,381.0000000000002,-235.00000000000742,-190.00000000000128,,307.9999999999661
2018.07.23,59.99999999999339,56.99999999999594,-66.00000000001049,17.000000000000348,208.00000000000819,430.0000000000068,-188.9999999999947,-181.9999999999933,,335.00000000000625
2018.07.23,57.99999999999139,46.999999999997044,-68.00000000000139,23.999999999990695,228.00000000000597,387.00000000000045,-178.99999999999582,-158.99999999999804,,337.9999999999902
2018.07.23,14.999999999998348,-43.999999999999595,-101.00000000001774,-1.0000000000065512,216.0000000000051,397.99999999999613,-163.00000000000205,-133.99999999998968,,185.99999999998394
2018.07.23,0.999999999995449,-41.99999999998649,-90.00000000001229,0.999999999995449,199.00000000000472,432.9999999999927,-124.99999999999733,-129.99999999998568,,247.00000000000654
2018.07.23,-30.000000000007798,-98.99999999998244,-120.00000000000898,-35.00000000000725,155.00000000000514,457.9999999999984,-87.00000000001484,-103.99999999999298,,137.99999999998923
2018.07.23,-31.000000000003247,-120.99999999999334,-130.0000000000079,-85.00000000000173,131.00000000000333,364.0000000000043,-194.0000000000053,-192.99999999999872,,-259.0000000000026
2018.07.23,46.999999999997044,22.0000000000109,-148.99999999999915,-9.00000000000345,247.00000000000833,304.00000000000205,-348.9999999999993,-285.99999999998624,,-172.99999999996987
2018.07.23,76.99999999999375,1.0000000000065512,-131.99999999999878,-59.000000000009045,246.00000000000176,414.99999999999204,-236.00000000001398,-299.99999999998914,,11.999999999983118
2018.07.23,-1.0000000000065512,-220.99999999998232,-186.0000000000195,-131.00000000000333,184.00000000000637,420.99999999999227,-120.00000000000898,-289.0000000000059,,-343.00000000002797
2018.07.23,-46.00000000000159,-292.9999999999877,-278.00000000000045,-182.00000000000438,133.00000000000534,552.9999999999973,-9.000000000014552,-177.99999999998929,,-299.99999999999534
2018.07.23,-120.00000000000898,-397.99999999998727,-254.00000000002086,-197.00000000000273,120.00000000000898,578.000000000003,90.99999999999665,-129.99999999998568,,-309.9999999999969
2018.07.23,-87.99999999999919,-314.99999999999864,-254.00000000002086,-192.99999999999872,116.00000000000499,503.0000000000143,58.000000000002494,-139.00000000000023,,-311.9999999999958
2018.07.23,-71.00000000000995,-242.99999999999324,-143.00000000000423,-129.00000000000134,136.00000000000279,449.0000000000123,31.000000000003247,-194.99999999998963,,-164.99999999998008
2018.07.23,-2.000000000002,-136.00000000000279,-131.00000000001444,-121.99999999999989,162.0000000000066,412.00000000000614,-19.00000000001345,-231.0000000000034,,-67.00000000002322
2018.07.23,50.99999999998994,-115.99999999998278,-131.00000000001444,-130.0000000000079,165.9999999999995,432.00000000001637,-62.000000000006494,-302.0000000000023,,-92.00000000000807
2018.07.23,4.999999999999449,-143.99999999998857,-139.00000000000023,-186.00000000000838,155.00000000000514,367.999999999995,-11.00000000000545,-339.99999999998477,,-291.99999999998784
2018.07.23,0.0,-143.99999999998857,-170.00000000000347,-303.0000000000088,29.000000000001247,198.0000000000075,-93.99999999999409,-638.9999999999895,,-1122.999999999976
