date,USDCHF,GBPUSD,USDJPY,USDCAD,GBPCHF,EURCHF,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,empty,sum
2019.07.15,-151.9999999999966,-269.9999999999925,-43.99999999999693,-65.00000000000395,-333.9999999999899,-96.00000000000719,-109.99999999999899,-82.00000000000429,-148.99999999999915,158.99999999999804,-221.00000000000364,-297.9999999999983,-113.00000000000753,-88.00000000000807,-104.99999999999955,-72.99999999999329,-44.00000000001114,-34.99999999999659,-70.99999999999883,,-2191.0000000000077
2019.07.15,-166.99999999999494,-320.00000000000915,-39.99999999999204,-28.000000000005798,-375.9999999999986,-145.00000000001734,-128.99999999999022,-126.99999999999933,-168.00000000000148,78.99999999999574,-305.0000000000068,-412.9999999999967,-299.00000000000483,-43.99999999999693,29.00000000001235,-85.99999999999852,-82.99999999999841,-90.00000000000341,-94.00000000000519,,-2806.0000000000114
2019.07.15,-139.00000000000023,-354.9999999999942,3.0000000000001137,8.999999999992347,-402.9999999999978,-144.0000000000108,-149.99999999999457,-141.00000000000225,-217.0000000000005,115.99999999999389,-341.0000000000082,-425.0000000000087,-316.99999999998954,-36.000000000001364,39.999999999995595,-97.99999999999898,-88.99999999999864,-122.99999999999045,-97.9999999999981,,-2908.0000000000127
2019.07.15,-148.99999999999915,-334.00000000001205,-31.999999999996476,-25.00000000000835,-387.99999999998835,-134.00000000001188,-141.99999999999767,-141.00000000000225,-204.00000000000418,118.99999999999133,-358.0000000000041,-435.0000000000076,-320.9999999999935,-58.9999999999975,5.999999999994898,-105.99999999999454,-96.00000000000364,-121.99999999999989,-102.00000000000209,,-3023.0000000000373
2019.07.15,-175.00000000000293,-303.9999999999932,-48.00000000000182,-59.000000000009045,-395.99999999999636,-154.0000000000097,-145.9999999999906,-141.00000000000225,-211.00000000000563,129.9999999999968,-348.0000000000132,-442.00000000000904,-336.00000000000296,-64.00000000000716,-7.999999999985796,-97.99999999999898,-85.00000000000796,-119.99999999999034,-97.9999999999981,,-3103.0000000000286
2019.07.15,-143.00000000000423,-303.0000000000088,17.000000000010118,-76.0000000000094,-354.9999999999942,-120.00000000000898,-110.99999999999443,-98.99999999999353,-187.9999999999993,131.99999999999878,-266.00000000001955,-459.99999999999375,-380.00000000000256,6.999999999990791,-17.999999999984695,-37.9999999999967,-21.000000000000796,-73.99999999999807,-87.99999999999919,,-2584.0000000000086
2019.07.15,-136.00000000000279,-273.0000000000121,-12.000000000000455,-73.00000000001194,-312.00000000000114,-106.00000000000608,-104.99999999999955,-122.99999999999534,-241.99999999999778,148.99999999999915,-265.0000000000148,-421.0000000000047,-258.0000000000027,-16.000000000005343,141.00000000001333,-57.999999999992724,-73.99999999999807,-155.00000000000114,-126.0000000000039,,-2465.0000000000387
2019.07.15,-124.99999999999733,-283.000000000011,26.00000000001046,-62.000000000006494,-312.00000000000114,-130.0000000000079,-105.99999999999498,-109.99999999999899,-273.9999999999965,171.99999999999437,-234.00000000000887,-419.9999999999982,-293.99999999999426,-14.000000000010004,187.00000000000384,-39.99999999999204,-39.00000000000148,-174.99999999999716,-107.00000000000153,,-2340.000000000009
2019.07.15,-126.0000000000039,-263.00000000001324,-0.999999999990564,-111.00000000001664,-292.9999999999877,-120.00000000000898,-75.9999999999983,-92.00000000000318,-311.00000000000574,175.99999999999838,-245.00000000000455,-456.9999999999963,-313.99999999999204,-34.99999999999659,300.00000000001137,-26.999999999986812,-39.00000000000148,-233.99999999999466,-119.00000000000244,,-2386.9999999999927
2019.07.15,-163.00000000000205,-232.00000000000998,-30.000000000001137,-124.99999999999733,-309.0000000000037,-126.0000000000039,-91.99999999999208,-143.00000000000423,-367.0000000000062,168.00000000000148,-253.00000000001432,-438.00000000000506,-198.99999999999363,-31.00000000000591,431.0000000000036,-41.99999999998738,-106.00000000000875,-284.9999999999966,-162.0000000000066,,-2504.0000000000337
